t,ap,cp,v
1738576319,2088.88,2064.45,1700
1738576379,2088.44,2061.55,1728
1738576438,2088.44,2061.55,1728
1738576498,2088.25,2060.15,1740
1738576559,2088.25,2060.15,1740
1738576619,2088.09,2058.05,1749
1738576678,2087.34,2054.90,1790
1738576739,2087.25,2048.15,1794
1738576799,2087.22,2055.80,1796
1738576859,2087.20,2060.45,1797
1738576919,2087.20,2060.45,1797
1738576978,2086.90,2059.00,1817
1738577038,2086.90,2059.00,1817
1738577097,2086.71,2056.05,1828
1738577157,2086.71,2056.05,1828
1738577217,2086.71,2056.05,1828
1738577277,2086.71,2056.05,1828
1738577337,2085.76,2056.05,1890
1738577398,2085.76,2056.05,1890
1738577459,2085.76,2056.05,1890
1738577519,2085.76,2056.05,1890
1738577578,2085.76,2056.05,1890
1738577638,2085.29,2055.60,1920
1738577698,2085.29,2055.60,1920
1738577759,2084.80,2052.00,1952
1738577818,2084.25,2049.70,1983
1738577877,2084.25,2049.70,1983
1738577939,2084.25,2049.70,1983
1738577999,2084.23,2047.00,1984
1738578057,2084.00,2040.25,1995
1738578119,2084.00,2040.25,1995
1738578177,2084.00,2040.25,1995
1738578239,2081.95,2051.00,2124
1738578297,2080.78,2055.95,2226
1738578359,2080.32,2058.70,2274
1738578418,2080.32,2058.70,2274
1738578479,2080.03,2058.15,2301
1738578539,2080.03,2058.15,2301
1738578599,2080.02,2061.40,2302
1738578659,2080.02,2061.40,2302
1738578717,2079.96,2065.95,2312
1738578777,2079.95,2063.95,2313
1738578839,2079.95,2063.95,2313
1738578898,2079.91,2060.95,2318
1738578955,2079.91,2060.95,2318
1738579019,2079.80,2065.45,2336
1738579077,2079.80,2065.45,2336
1738579139,2079.73,2062.30,2346
1738579197,2079.73,2062.30,2346
1738579256,2079.73,2062.30,2346
1738579317,2079.73,2062.30,2346
1738579379,2079.73,2062.30,2346
1738579430,2079.73,2062.30,2346
1738579499,2079.71,2072.55,2350
1738579557,2079.48,2068.55,2400
1738579615,2079.48,2068.55,2400
1738579678,2079.48,2068.90,2401
1738579738,2079.31,2067.15,2435
1738579799,2079.22,2061.95,2447
1738579859,2078.79,2067.95,2520
1738579919,2078.42,2074.00,2621
1738579979,2078.44,2082.35,2632
1738580039,2078.37,2064.05,2658
1738580099,2077.12,2062.00,2863
1738580155,2077.12,2062.00,2863
1738580219,2077.12,2066.65,2865
1738580279,2077.12,2066.65,2865
1738580339,2076.47,2068.20,3116
1738580399,2076.31,2064.90,3163
1738580458,2076.10,2075.70,3255
1738580518,2076.06,2063.85,3267
1738580571,2076.06,2063.85,3267
1738580637,2076.06,2063.85,3267
1738580698,2076.06,2063.85,3267
1738580758,2076.06,2063.85,3267
1738580818,2076.06,2063.85,3267
1738580872,2076.06,2063.85,3267
1738580935,2076.02,2064.95,3278
1738580999,2076.02,2064.95,3278
1738581059,2076.02,2064.95,3278
1738581116,2076.02,2064.95,3278
1738581179,2076.02,2064.95,3278
1738581237,2076.02,2064.95,3278
1738581294,2076.02,2064.95,3278
1738581345,2076.02,2064.95,3278
1738581418,2076.02,2064.95,3278
1738581476,2076.02,2064.95,3278
1738581535,2076.02,2064.95,3278
1738581593,2076.02,2064.95,3278
1738581657,2076.02,2064.95,3278
1738581716,2075.99,2067.65,3289
1738581773,2075.99,2067.65,3289
1738581837,2075.98,2064.40,3293
1738581899,2075.89,2064.40,3318
1738581958,2075.89,2064.40,3318
1738582019,2075.89,2064.40,3318
1738582076,2075.79,2064.40,3346
1738582137,2075.79,2064.40,3346
1738582185,2075.79,2064.40,3346
1738582254,2075.79,2064.40,3346
1738582317,2075.77,2062.70,3353
1738582378,2075.77,2062.70,3353
1738582439,2075.76,2067.70,3355
1738582495,2075.66,2064.25,3401
1738582556,2075.66,2064.25,3401
1738582619,2075.66,2064.25,3401
1738582679,2075.66,2064.25,3401
1738582739,2075.53,2064.70,3441
1738582799,2075.53,2064.70,3441
1738582856,2075.53,2064.70,3441
1738582917,2075.53,2064.70,3441
1738582976,2075.46,2063.90,3462
1738583036,2075.45,2067.15,3467
1738583099,2075.45,2067.15,3467
1738583154,2075.41,2062.35,3477
1738583212,2075.41,2062.35,3477
1738583278,2075.41,2062.35,3477
1738583338,2075.40,2065.15,3478
1738583399,2075.40,2065.15,3478
1738583454,2075.40,2065.15,3478
1738583513,2075.40,2065.15,3478
1738583579,2075.40,2065.15,3478
1738583638,2075.40,2065.15,3478
1738583699,2075.40,2065.15,3478
1738583759,2075.40,2065.15,3478
1738583816,2075.40,2065.15,3478
1738583879,2075.40,2065.15,3478
1738583939,2075.40,2065.15,3478
1738583999,2075.40,2065.15,3478
1738584059,2075.39,2071.95,3491
1738584114,2075.39,2071.95,3491
1738584178,2075.39,2071.95,3491
1738584232,2075.37,2069.95,3498
1738584299,2075.37,2069.95,3498
1738584357,2075.37,2069.95,3498
1738584418,2075.37,2069.95,3498
1738584475,2075.37,2069.95,3498
1738584534,2075.37,2069.95,3498
1738584598,2075.37,2069.95,3498
1738584654,2075.37,2069.95,3498
1738584719,2075.37,2069.95,3498
1738584777,2075.36,2067.90,3504
1738584834,2075.36,2067.90,3504
1738584898,2075.30,2067.95,3532
1738584959,2075.30,2067.95,3532
1738585003,2075.30,2067.95,3532
1738585077,2075.30,2067.95,3532
1738585139,2075.29,2064.85,3537
1738585199,2075.29,2066.55,3538
1738585252,2075.28,2062.55,3540
1738585317,2075.12,2063.45,3590
1738585377,2075.12,2063.45,3590
1738585437,2075.11,2064.05,3595
1738585496,2075.11,2064.05,3595
1738585558,2075.11,2064.05,3595
1738585611,2075.11,2064.05,3595
1738585678,2075.11,2064.05,3595
1738585735,2075.11,2064.05,3595
1738585798,2075.11,2064.05,3595
1738585859,2075.11,2064.05,3595
1738585919,2075.11,2064.05,3595
1738585975,2075.11,2064.05,3595
1738586036,2075.11,2064.05,3595
1738586099,2075.11,2064.05,3595
1738586146,2075.11,2064.05,3595
1738586216,2075.11,2064.05,3595
1738586266,2075.11,2064.05,3595
1738586338,2075.11,2064.05,3595
