t,ap,cp,v
1738596599,5215.80,5206.00,35396
1738596648,5215.80,5206.00,35396
1738596677,5215.80,5206.00,35396
1738596839,5215.80,5206.00,35396
1738597201,5215.80,5206.00,35396
1738597319,5215.80,5199.80,35403
1738597405,5215.80,5199.80,35404
1738597440,5215.80,5199.80,35411
1738597515,5215.80,5199.80,35411
1738597579,5215.80,5199.80,35411
1738597744,5215.80,5199.80,35411
1738597839,5215.80,5199.80,35411
1738598211,5215.80,5199.80,35411
1738598390,5215.80,5199.80,35411
1738598401,5215.80,5199.80,35411
1738598487,5215.80,5199.80,35411
t,ap,cp,v
1738573634,5460.05,5460.05,132
1738573727,5460.05,5460.05,132
1738573740,5460.05,5460.05,132
1738573918,5460.05,5460.05,132
1738573940,5460.05,5460.05,132
1738574159,5338.86,5326.70,1509
1738574219,5320.46,5285.85,2357
1738574279,5314.42,5297.85,3154
1738574339,5309.95,5299.80,3804
1738574399,5310.85,5296.35,4519
1738574459,5309.43,5305.00,4903
1738574519,5309.64,5309.85,5086
1738574579,5310.74,5308.80,5759
1738574639,5310.75,5305.05,5852
1738574698,5310.88,5320.00,5951
1738574759,5310.78,5317.95,6061
1738574819,5310.56,5332.80,6233
1738574879,5310.54,5299.45,6374
1738574939,5310.28,5294.35,6469
1738574999,5310.04,5283.00,6541
1738575059,5307.85,5258.80,6868
1738575119,5306.13,5256.15,7104
1738575179,5303.48,5240.00,7483
1738575239,5298.82,5200.70,7933
1738575298,5294.82,5202.05,8279
1738575359,5292.73,5185.00,8447
1738575419,5277.68,5154.75,9640
1738575479,5271.15,5167.00,10211
1738575539,5269.79,5152.95,10335
1738575599,5265.80,5140.00,10695
1738575659,5262.19,5151.00,11056
1738575719,5259.92,5197.85,11324
1738575779,5259.30,5184.10,11415
1738575839,5257.28,5175.05,11700
1738575899,5256.56,5158.50,11797
1738575959,5255.17,5151.75,11957
1738576017,5254.15,5145.30,12075
1738576079,5252.09,5152.50,12331
1738576139,5251.49,5152.85,12402
1738576199,5248.45,5146.95,12789
1738576259,5247.73,5159.90,12886
1738576319,5245.83,5138.15,13120
1738576379,5245.13,5132.85,13204
1738576439,5243.30,5129.15,13416
1738576499,5242.77,5130.60,13482
1738576559,5240.80,5110.15,13708
1738576619,5238.95,5117.60,13908
1738576679,5237.39,5114.50,14091
1738576739,5236.38,5141.95,14235
1738576799,5235.30,5145.70,14402
1738576859,5234.80,5150.15,14482
1738576919,5226.44,5172.20,16305
1738576979,5226.05,5156.55,16407
1738577039,5225.84,5167.05,16466
1738577099,5225.44,5164.50,16566
1738577159,5224.99,5171.70,16687
1738577219,5221.87,5191.50,17923
1738577279,5221.51,5182.70,18128
1738577339,5221.21,5190.15,18313
1738577399,5221.16,5189.95,18343
1738577459,5221.09,5198.25,18396
1738577519,5221.01,5210.00,18504
1738577579,5220.93,5190.00,18603
1738577639,5220.82,5197.45,18674
1738577699,5220.74,5184.70,18717
1738577759,5220.63,5178.75,18766
1738577819,5220.16,5160.00,18932
1738577879,5220.11,5178.00,18957
1738577939,5219.45,5146.10,19125
1738577999,5218.99,5148.80,19237
1738578059,5218.50,5132.60,19352
1738578119,5218.39,5150.10,19380
1738578179,5218.30,5158.90,19408
1738578238,5218.22,5160.00,19436
1738578299,5218.13,5165.90,19466
1738578359,5218.02,5158.00,19499
1738578419,5217.85,5144.40,19551
1738578479,5217.47,5150.00,19648
1738578539,5217.35,5160.00,19694
1738578599,5216.94,5154.25,19807
1738578659,5216.88,5158.25,19827
1738578719,5216.54,5145.80,19930
1738578779,5215.80,5147.90,20124
1738578839,5215.71,5161.25,20152
1738578899,5215.66,5153.45,20166
1738578959,5215.28,5145.75,20282
1738579019,5215.06,5140.00,20341
1738579079,5214.88,5130.75,20389
1738579139,5212.97,5124.60,20833
1738579199,5211.73,5132.90,21144
1738579259,5211.48,5143.25,21219
1738579319,5211.39,5148.20,21247
1738579379,5211.16,5149.85,21324
1738579439,5210.99,5154.35,21380
1738579499,5210.80,5163.45,21450
1738579559,5210.66,5161.00,21514
1738579619,5210.49,5188.65,21615
1738579679,5210.39,5185.00,21693
1738579739,5210.19,5166.50,21805
1738579799,5210.15,5164.60,21826
1738579859,5209.80,5167.25,21989
1738579919,5209.62,5178.05,22090
1738579979,5209.49,5168.10,22166
1738580039,5209.29,5179.00,22306
1738580099,5209.21,5182.80,22379
1738580159,5209.16,5219.95,22538
1738580219,5209.19,5218.30,22591
1738580279,5209.19,5208.75,22596
1738580336,5209.25,5220.60,22757
1738580399,5209.37,5230.50,22877
1738580459,5209.67,5225.00,23168
1738580519,5209.70,5209.00,23238
1738580579,5209.68,5201.05,23281
1738580639,5209.67,5208.70,23291
1738580699,5209.67,5210.00,23370
1738580759,5209.64,5195.75,23421
1738580819,5209.57,5208.80,23519
1738580879,5209.57,5203.85,23533
1738580939,5209.57,5225.25,23552
1738580999,5209.60,5227.00,23601
1738581059,5209.61,5225.00,23613
1738581119,5209.66,5228.90,23671
1738581179,5209.68,5216.80,23705
1738581239,5209.69,5218.70,23729
1738581299,5209.69,5215.00,23745
1738581359,5209.70,5214.70,23755
1738581419,5209.70,5227.65,23767
1738581479,5209.72,5225.00,23781
1738581539,5209.73,5224.65,23807
1738581599,5209.90,5244.75,23949
1738581659,5210.10,5247.00,24082
1738581719,5210.15,5245.05,24121
1738581779,5210.19,5246.00,24144
1738581839,5210.35,5239.55,24248
1738581899,5210.38,5238.75,24276
1738581959,5210.45,5223.25,24380
1738582019,5210.48,5227.55,24443
1738582079,5210.48,5210.00,24546
1738582139,5210.44,5210.65,24750
1738582199,5210.48,5228.00,24816
1738582259,5210.48,5240.85,24820
1738582319,5210.49,5228.00,24833
1738582379,5210.50,5225.35,24844
1738582439,5210.50,5223.95,24853
1738582499,5210.50,5222.70,24863
1738582559,5210.52,5215.05,24917
1738582619,5210.53,5221.65,25021
1738582679,5210.67,5240.85,25143
1738582739,5210.74,5235.80,25217
1738582799,5210.75,5235.80,25218
1738582859,5210.83,5233.20,25310
1738582919,5210.87,5243.25,25341
1738582979,5210.90,5239.25,25362
1738583039,5211.09,5262.00,25484
1738583099,5211.46,5276.55,25649
1738583159,5211.69,5274.00,25750
1738583219,5212.17,5285.00,25936
1738583279,5213.43,5305.00,26308
1738583339,5213.72,5290.45,26400
1738583399,5213.85,5295.15,26446
1738583459,5213.99,5286.05,26492
1738583519,5214.14,5294.00,26544
1738583579,5214.43,5302.20,26634
1738583639,5214.90,5299.25,26766
1738583699,5214.96,5301.65,26787
1738583759,5215.19,5301.60,26861
1738583819,5215.37,5296.70,26919
1738583879,5215.58,5303.35,26981
1738583939,5215.98,5304.05,27102
1738583999,5216.00,5293.90,27109
1738584059,5216.32,5299.10,27208
1738584119,5216.32,5300.15,27210
1738584179,5216.77,5282.35,27389
1738584239,5216.99,5265.05,27512
1738584299,5217.03,5267.05,27538
1738584359,5217.07,5273.40,27558
1738584419,5217.44,5312.65,27680
1738584479,5217.50,5298.85,27700
1738584539,5217.50,5281.85,27702
1738584599,5217.56,5305.00,27721
1738584659,5218.01,5295.45,27900
1738584719,5218.02,5290.40,27905
1738584779,5218.15,5277.95,27966
1738584839,5218.20,5279.75,27987
