t,ap,cp,v
1738576345,1128.15,1128.15,300
1738576458,1128.15,1128.15,300
1738576654,1128.15,1128.15,300
1738576731,1128.15,1128.15,300
1738576751,1128.15,1128.15,300
1738577474,1128.15,1128.15,300
1738579610,1128.15,1128.15,300
1738581289,1128.15,1128.15,300
1738581360,1128.15,1128.15,300
1738581450,1128.15,1128.15,300
1738582854,1128.15,1128.15,300
1738586355,1128.15,1128.15,300
1738586433,1128.15,1128.15,300
1738587553,1128.15,1128.15,300
1738587863,1128.15,1128.15,300
1738589233,1128.15,1128.15,300
1738590300,1128.15,1128.15,300
1738596395,1128.15,1128.15,300
1738596602,1128.15,1128.15,300
1738596664,1128.15,1128.15,300
1738597201,1128.15,1128.15,300
1738597355,1128.15,1128.15,300
1738598403,1128.15,1128.15,300
1738598496,1128.15,1128.15,300
1738574248,1128.15,1128.15,150
1738574339,1128.15,1128.15,150
1738574397,1128.15,1128.15,150
1738574511,1128.15,1128.15,150
1738574549,1128.15,1128.15,150
1738574755,1128.15,1128.15,150
1738574784,1128.15,1128.15,150
1738574823,1128.15,1128.15,150
1738574930,1128.15,1128.15,150
1738575041,1128.15,1128.15,300
1738575147,1128.15,1128.15,300
1738575290,1128.15,1128.15,300
1738575408,1128.15,1128.15,300
1738575471,1128.15,1128.15,300
1738575881,1128.15,1128.15,300
1738575971,1128.15,1128.15,300
1738576141,1128.15,1128.15,300
1738576242,1128.15,1128.15,300
1738576345,1128.15,1128.15,300
1738576458,1128.15,1128.15,300
1738576654,1128.15,1128.15,300
1738576731,1128.15,1128.15,300
1738576751,1128.15,1128.15,300
1738577474,1128.15,1128.15,300
1738579610,1128.15,1128.15,300
1738581289,1128.15,1128.15,300
1738581360,1128.15,1128.15,300
1738581450,1128.15,1128.15,300
1738582854,1128.15,1128.15,300
1738586355,1128.15,1128.15,300
1738586433,1128.15,1128.15,300
1738587553,1128.15,1128.15,300
1738587863,1128.15,1128.15,300
1738589233,1128.15,1128.15,300
1738590300,1128.15,1128.15,300
1738596395,1128.15,1128.15,300
1738596602,1128.15,1128.15,300
1738596664,1128.15,1128.15,300
1738597201,1128.15,1128.15,300
1738597355,1128.15,1128.15,300
1738598403,1128.15,1128.15,300
1738598496,1128.15,1128.15,300
1738574248,1128.15,1128.15,150
1738574339,1128.15,1128.15,150
1738574397,1128.15,1128.15,150
1738574511,1128.15,1128.15,150
1738574549,1128.15,1128.15,150
1738574755,1128.15,1128.15,150
1738574784,1128.15,1128.15,150
1738574823,1128.15,1128.15,150
1738574930,1128.15,1128.15,150
1738575041,1128.15,1128.15,300
1738575147,1128.15,1128.15,300
1738575290,1128.15,1128.15,300
1738575408,1128.15,1128.15,300
1738575471,1128.15,1128.15,300
1738575881,1128.15,1128.15,300
1738575971,1128.15,1128.15,300
1738576141,1128.15,1128.15,300
1738576242,1128.15,1128.15,300
1738576345,1128.15,1128.15,300
1738576458,1128.15,1128.15,300
1738576654,1128.15,1128.15,300
1738576731,1128.15,1128.15,300
1738576751,1128.15,1128.15,300
1738577474,1128.15,1128.15,300
1738579610,1128.15,1128.15,300
1738581289,1128.15,1128.15,300
1738581360,1128.15,1128.15,300
1738581450,1128.15,1128.15,300
1738582854,1128.15,1128.15,300
1738586355,1128.15,1128.15,300
1738586433,1128.15,1128.15,300
1738587553,1128.15,1128.15,300
1738587863,1128.15,1128.15,300
1738589233,1128.15,1128.15,300
1738590300,1128.15,1128.15,300
1738596395,1128.15,1128.15,300
1738596602,1128.15,1128.15,300
1738596664,1128.15,1128.15,300
1738597201,1128.15,1128.15,300
1738597355,1128.15,1128.15,300
1738598403,1128.15,1128.15,300
1738598496,1128.15,1128.15,300
