t,ap,cp,v
1738574159,1153.35,1135.25,832
1738574219,1147.91,1143.75,1420
1738574279,1145.43,1140.00,1940
1738574339,1145.19,1136.50,2082
1738574398,1145.09,1142.25,2169
1738574458,1144.83,1141.90,2259
1738574519,1144.76,1140.40,2342
1738574579,1144.51,1144.60,2620
1738574637,1144.54,1145.10,2792
1738574699,1144.57,1147.90,2841
1738574759,1144.48,1141.10,2965
1738574819,1147.47,1157.70,3941
1738574879,1149.36,1166.40,4376
1738574939,1150.19,1168.00,4681
1738574999,1152.34,1167.45,5291
1738575059,1152.62,1166.05,5392
1738575119,1152.82,1166.85,5477
1738575179,1152.97,1166.15,5536
1738575239,1153.03,1160.35,5586
1738575299,1153.03,1160.35,5586
1738575359,1153.14,1166.10,5660
1738575419,1153.26,1165.05,5709
1738575479,1153.28,1164.90,5721
1738575539,1153.35,1163.35,5770
1738575599,1153.38,1159.55,5806
1738575657,1153.38,1159.55,5806
1738575719,1153.43,1162.20,5838
1738575779,1153.48,1162.65,5862
1738575839,1153.51,1165.60,5879
1738575899,1153.54,1165.90,5896
1738575959,1153.61,1160.30,5951
1738576019,1153.58,1151.95,6565
1738576079,1153.61,1164.35,6599
1738576139,1154.08,1162.40,6883
1738576197,1154.13,1164.25,6914
1738576258,1154.24,1169.05,6969
1738576319,1158.14,1171.25,9134
1738576379,1158.18,1177.55,9150
1738576439,1158.81,1177.60,9410
1738576499,1159.95,1182.00,9874
1738576559,1160.08,1180.00,9940
1738576619,1161.10,1189.00,10369
1738576679,1162.24,1194.00,10838
1738576739,1166.60,1200.05,12257
1738576799,1167.47,1203.30,12564
1738576859,1167.74,1202.05,12658
1738576919,1167.98,1202.05,12754
1738576979,1168.21,1200.65,12855
1738577039,1169.68,1201.25,13401
1738577099,1170.54,1201.50,13733
1738577159,1171.48,1210.00,14111
1738577218,1172.73,1207.75,14578
1738577279,1173.09,1211.95,14723
1738577339,1173.51,1209.05,14890
1738577399,1173.77,1211.95,15004
1738577459,1173.81,1208.55,15019
1738577519,1174.17,1209.00,15180
1738577579,1174.23,1211.85,15204
1738577639,1174.38,1210.00,15267
1738577699,1174.46,1210.90,15302
1738577759,1174.92,1209.00,15512
1738577819,1175.60,1209.50,15808
1738577879,1175.88,1207.60,15937
1738577939,1175.91,1210.00,15956
1738577999,1176.03,1209.15,16011
1738578059,1176.08,1209.95,16034
1738578119,1176.89,1210.95,16429
1738578179,1178.09,1211.95,17024
1738578238,1178.09,1211.95,17024
1738578299,1178.14,1205.85,17051
1738578359,1178.80,1209.10,17417
1738578419,1179.12,1212.25,17581
1738578479,1179.14,1212.30,17594
1738578539,1179.27,1211.95,17667
1738578599,1179.51,1210.00,17800
1738578659,1179.76,1211.65,17947
1738578718,1180.02,1208.75,18095
1738578778,1180.51,1211.30,18354
1738578839,1180.62,1211.00,18417
1738578899,1180.79,1212.40,18511
1738578959,1180.79,1216.50,18512
1738579019,1181.54,1214.10,18942
1738579079,1181.63,1215.00,18995
1738579137,1181.63,1215.00,18995
1738579197,1181.84,1213.80,19114
1738579259,1182.77,1218.15,19630
1738579319,1182.95,1215.50,19740
1738579376,1183.02,1214.95,19787
1738579439,1183.03,1215.50,19794
1738579499,1183.23,1214.95,19914
1738579559,1183.24,1215.50,19920
1738579618,1183.51,1215.00,20097
1738579678,1183.61,1215.00,20161
1738579738,1183.68,1215.00,20203
1738579799,1185.30,1219.05,21193
1738579859,1185.39,1216.00,21249
1738579919,1185.39,1219.10,21251
1738579979,1185.48,1221.35,21303
1738580039,1185.57,1222.75,21362
1738580099,1185.60,1221.85,21377
1738580158,1186.05,1221.85,21659
1738580219,1186.35,1219.30,21855
1738580279,1186.49,1219.05,21940
1738580339,1186.96,1216.65,22273
1738580399,1187.39,1198.05,22713
1738580459,1187.45,1203.90,22798
1738580519,1187.53,1203.90,22910
1738580578,1187.54,1210.90,22913
1738580639,1187.77,1220.00,23081
1738580699,1187.79,1215.00,23095
1738580759,1187.82,1214.00,23123
1738580818,1187.84,1214.85,23139
1738580879,1187.87,1217.05,23165
1738580939,1187.87,1212.00,23166
1738580999,1187.88,1211.55,23174
1738581059,1187.88,1211.55,23174
1738581119,1187.93,1212.75,23224
1738581179,1187.95,1213.80,23238
1738581239,1187.95,1215.00,23241
1738581299,1187.98,1217.00,23262
1738581359,1189.50,1214.55,24921
1738581419,1189.58,1214.10,25001
1738581479,1189.74,1216.15,25148
1738581537,1189.77,1214.55,25180
1738581599,1189.78,1214.45,25190
1738581659,1189.80,1214.00,25210
1738581719,1189.86,1211.80,25275
1738581779,1189.86,1212.30,25283
1738581839,1189.91,1211.65,25340
1738581898,1189.97,1210.60,25406
1738581959,1190.16,1210.00,25656
1738582019,1190.21,1208.00,25723
1738582078,1190.22,1211.65,25731
1738582139,1190.22,1211.65,25731
1738582199,1190.33,1207.55,25900
1738582259,1190.34,1202.00,25916
1738582319,1190.39,1200.60,26018
1738582379,1190.45,1206.70,26118
1738582439,1190.55,1200.00,26381
1738582499,1190.59,1200.00,26481
1738582558,1190.59,1197.25,26482
1738582619,1190.59,1198.20,26485
1738582679,1190.60,1198.00,26511
1738582737,1190.62,1198.50,26586
1738582799,1190.62,1193.20,26592
1738582858,1190.62,1193.35,26598
1738582919,1190.63,1198.90,26625
1738582979,1190.63,1198.90,26635
1738583039,1190.66,1193.70,26835
1738583097,1190.66,1195.85,26849
1738583158,1190.68,1194.80,27204
1738583219,1190.68,1191.35,27226
1738583279,1190.68,1193.15,27234
1738583339,1190.68,1193.15,27234
1738583399,1190.68,1189.55,27279
1738583459,1190.68,1189.55,27279
1738583519,1190.68,1189.55,27279
1738583579,1190.68,1195.55,27287
1738583637,1190.69,1196.00,27312
1738583699,1190.69,1196.00,27312
1738583759,1190.69,1192.50,27315
1738583817,1190.69,1192.00,27380
1738583879,1190.69,1191.20,27395
1738583939,1190.70,1195.50,27455
1738583998,1190.70,1195.50,27455
1738584059,1190.71,1195.95,27517
1738584119,1190.71,1195.95,27517
1738584179,1190.71,1195.95,27517
1738584239,1190.71,1195.95,27517
1738584299,1190.79,1197.25,27690
1738584359,1190.79,1197.25,27690
1738584416,1190.79,1197.25,27700
1738584478,1190.79,1197.25,27700
1738584538,1190.79,1197.25,27701
1738584599,1190.79,1197.25,27701
1738584659,1190.79,1195.95,27705
1738584718,1190.79,1195.95,27710
1738584779,1190.79,1192.40,27728
1738584835,1190.79,1192.45,27729
1738584896,1190.79,1192.45,27729
1738584958,1190.80,1194.70,27754
1738585019,1190.80,1192.35,27798
1738585079,1190.80,1189.00,27846
1738585139,1190.80,1188.00,27848
1738585196,1190.77,1188.00,28079
1738585259,1190.78,1201.85,28118
1738585319,1190.80,1201.00,28192
1738585379,1190.86,1198.40,28372
1738585439,1190.88,1200.00,28458
1738585499,1190.90,1201.80,28497
1738585559,1190.94,1204.55,28587
1738585619,1190.99,1210.00,28662
1738585679,1191.01,1210.95,28696
1738585739,1191.01,1210.95,28696
1738585798,1191.05,1213.00,28758
1738585859,1191.05,1213.00,28758
1738585919,1191.05,1213.00,28758
1738585979,1191.09,1209.65,28808
1738586039,1191.09,1209.65,28808
1738586099,1191.11,1206.00,28847
1738586159,1191.11,1206.00,28847
1738586219,1191.13,1208.15,28884
1738586279,1191.14,1206.05,28908
1738586339,1191.14,1205.50,28909
1738586398,1191.14,1207.40,28910
1738586458,1191.16,1207.70,28951
1738586519,1191.17,1204.45,28957
1738586579,1191.18,1204.10,28976
1738586639,1191.18,1204.10,28976
1738586699,1191.18,1204.10,28976
1738586758,1191.21,1208.30,29035
1738586819,1191.22,1208.10,29045
1738586879,1191.22,1204.25,29047
1738586939,1191.22,1206.70,29053
1738586999,1191.22,1204.40,29054
1738587059,1191.22,1208.10,29055
1738587119,1191.22,1208.10,29055
1738587178,1191.22,1208.10,29055
1738587239,1191.22,1206.70,29059
1738587299,1191.22,1206.70,29061
1738587359,1191.22,1206.70,29061
1738587419,1191.22,1205.70,29062
1738587479,1191.23,1204.35,29082
1738587539,1191.23,1200.00,29087
1738587599,1191.24,1196.35,29127
1738587659,1191.24,1196.20,29128
1738587719,1191.25,1198.95,29189
1738587779,1191.27,1202.55,29272
1738587838,1191.27,1202.55,29272
1738587899,1191.27,1202.55,29272
1738587959,1191.27,1202.55,29272
1738588019,1191.28,1202.35,29288
1738588079,1191.28,1201.00,29302
1738588138,1191.28,1201.00,29302
1738588197,1191.28,1198.60,29307
1738588259,1191.29,1197.20,29352
1738588319,1191.29,1197.20,29352
1738588379,1191.29,1197.20,29352
1738588439,1191.29,1197.20,29357
1738588499,1191.29,1196.70,29372
1738588559,1191.29,1196.70,29372
1738588619,1191.30,1196.95,29377
1738588679,1191.30,1196.95,29381
1738588739,1191.30,1191.90,29382
