t,ap,cp,v
1738574459,608.29,613.85,2261
1738574519,608.64,611.55,2502
1738574579,608.67,614.05,2517
1738574639,609.27,614.00,2814
1738574698,609.48,614.10,2959
1738574759,612.03,614.00,5349
1738574819,612.08,616.95,5405
1738574879,612.28,617.85,5611
1738574939,612.33,616.30,5668
1738574999,612.33,616.00,5670
1738575059,612.36,616.00,5720
1738575119,612.39,616.20,5762
1738575179,612.49,614.75,5962
1738575239,612.55,612.75,6264
1738575298,612.56,612.00,6431
1738575359,612.56,611.85,6490
1738575419,612.56,613.20,6495
1738575479,612.56,611.85,6518
1738575539,612.55,611.20,6551
1738575599,612.54,611.00,6601
1738575659,612.16,611.15,8631
1738575719,612.16,611.45,8654
1738575779,612.16,612.00,8659
1738575839,612.16,612.00,8669
1738575899,612.15,611.65,8758
1738575959,612.12,610.00,8931
1738576017,612.12,610.55,8933
1738576079,612.09,609.20,9055
1738576139,612.01,607.00,9231
1738576199,612.00,606.05,9238
1738576259,612.00,606.05,9238
1738576319,612.00,606.05,9238
1738576379,612.00,605.05,9242
1738576439,612.00,606.45,9249
1738576499,611.99,607.10,9253
1738576559,611.99,607.10,9253
1738576619,611.99,607.05,9267
1738576679,611.98,607.05,9287
1738576739,611.98,607.05,9287
1738576799,611.97,607.20,9300
1738576859,611.97,606.75,9302
1738576919,611.97,608.80,9307
1738576977,611.96,608.20,9335
1738577039,611.95,607.75,9336
1738577099,611.95,607.40,9338
1738577159,611.90,607.80,9442
1738577219,611.89,606.75,9465
1738577279,611.89,606.75,9465
1738577338,611.89,606.75,9465
1738577399,611.89,606.75,9465
1738577459,611.83,606.70,9565
1738577519,611.83,607.25,9571
1738577579,611.82,607.90,9594
1738577639,611.81,606.50,9602
1738577699,611.81,605.55,9611
1738577759,611.81,604.95,9616
1738577819,611.80,605.05,9630
1738577878,611.78,604.85,9662
1738577939,611.62,604.20,9875
1738577999,611.62,604.90,9876
1738578059,611.57,606.50,9976
1738578119,611.51,605.85,10091
1738578179,611.48,606.15,10131
1738578239,611.48,606.15,10131
1738578299,611.43,606.45,10260
1738578359,611.37,605.70,10368
1738578419,611.34,605.75,10423
1738578479,611.34,606.55,10424
1738578539,611.33,606.20,10438
1738578599,611.33,605.85,10443
1738578659,611.33,606.80,10450
1738578719,611.30,608.00,10552
1738578779,611.26,607.00,10654
1738578839,611.26,607.00,10654
1738578898,611.26,607.00,10654
1738578959,611.26,607.00,10654
1738579019,611.26,607.00,10654
1738579079,611.25,607.05,10668
1738579139,611.25,608.35,10678
1738579199,611.25,608.35,10678
1738579259,611.25,608.35,10678
1738579319,611.10,605.45,11023
1738579378,611.06,606.00,11126
1738579439,611.06,606.00,11126
1738579499,611.06,606.00,11126
1738579559,611.06,607.55,11136
1738579619,611.06,607.10,11147
1738579678,611.06,607.10,11147
1738579739,611.03,609.10,11262
1738579799,611.02,609.00,11308
1738579859,611.00,610.00,11628
1738579919,611.00,610.00,11628
1738579979,611.00,610.00,11628
1738580039,611.00,610.00,11628
1738580098,610.99,610.85,11828
1738580159,610.99,610.85,11828
1738580219,610.99,610.85,11828
1738580279,610.99,610.85,11828
1738580333,610.99,610.85,11828
1738580399,610.99,610.85,11828
1738580459,610.99,610.85,11828
1738580519,611.00,612.00,11949
1738580579,611.00,612.00,11960
1738580638,611.00,612.00,11995
1738580699,611.01,611.60,12198
1738580759,611.01,612.70,12230
1738580819,611.02,612.70,12257
1738580879,611.03,613.35,12291
1738580936,611.03,613.35,12291
1738580999,611.03,612.65,12317
1738581059,611.04,612.15,12417
1738581119,611.04,612.95,12419
1738581179,611.04,611.90,12429
1738581239,611.04,611.60,12529
1738581299,611.06,612.20,12745
1738581359,611.06,612.60,12755
1738581419,611.07,612.50,12805
1738581479,611.07,613.20,12807
1738581539,611.07,613.65,12809
1738581599,611.07,613.65,12809
1738581659,611.07,613.65,12809
1738581719,611.07,613.65,12809
1738581779,611.07,613.65,12809
1738581837,611.07,613.65,12809
1738581898,611.07,613.65,12809
1738581959,611.07,612.00,12810
1738582019,611.07,612.00,12810
1738582079,611.07,612.10,12811
1738582138,611.07,611.35,12821
1738582198,611.07,610.60,12833
1738582259,611.07,610.60,12833
1738582316,611.06,610.35,12975
1738582379,611.06,610.35,12975
1738582438,611.05,610.65,13045
1738582498,611.06,611.30,13141
1738582559,611.06,610.85,13146
1738582619,611.06,609.90,13154
1738582679,611.06,609.95,13156
1738582739,611.06,609.95,13156
1738582799,611.05,610.55,13245
1738582859,611.05,609.90,13261
1738582917,611.05,609.80,13293
1738582978,611.05,609.80,13293
1738583039,611.05,609.80,13293
1738583099,611.05,609.80,13303
1738583159,611.05,610.30,13312
1738583217,611.05,610.30,13312
1738583279,611.05,610.35,13317
1738583339,611.04,609.50,13399
1738583399,611.03,609.60,13499
1738583459,611.03,609.60,13499
1738583519,611.03,610.45,13500
1738583579,611.02,609.75,13604
1738583639,611.02,609.75,13604
1738583699,611.02,609.75,13604
1738583759,611.02,609.75,13604
1738583819,611.01,609.75,13638
1738583878,611.01,609.75,13638
1738583939,611.01,610.15,13639
1738583998,611.01,610.15,13639
1738584058,611.01,610.15,13639
1738584119,611.01,610.15,13639
1738584172,611.01,609.75,13641
1738584239,611.01,609.75,13641
1738584299,611.01,609.75,13641
1738584359,611.01,609.75,13641
1738584419,611.01,609.75,13641
1738584479,611.01,609.75,13641
1738584537,611.01,610.00,13691
1738584599,611.01,610.00,13691
1738584659,611.01,609.90,13726
1738584719,611.01,609.90,13726
1738584778,611.01,609.90,13726
1738584839,610.98,609.60,14054
1738584893,610.98,609.60,14054
1738584959,610.97,609.50,14083
1738585018,610.97,609.50,14083
1738585079,610.97,609.75,14094
1738585139,610.97,609.75,14094
1738585198,610.97,609.75,14094
1738585259,610.97,609.50,14104
1738585319,610.97,609.50,14104
1738585379,610.97,609.50,14104
1738585439,610.97,609.55,14110
1738585499,610.97,610.50,14114
1738585556,610.97,610.50,14114
1738585618,610.97,610.55,14130
1738585679,610.97,610.70,14131
1738585739,610.97,609.55,14181
1738585796,610.97,609.55,14181
1738585859,610.97,609.55,14181
1738585919,610.97,609.80,14183
1738585979,610.96,609.50,14235
1738586039,610.96,609.50,14235
1738586099,610.95,610.05,14435
1738586159,610.95,610.05,14435
1738586216,610.95,610.05,14435
1738586279,610.95,610.05,14435
1738586337,610.95,610.05,14436
1738586399,610.95,610.30,14441
1738586459,610.95,610.30,14441
1738586519,610.93,610.50,14643
1738586571,610.91,609.25,14860
1738586637,610.91,609.25,14860
1738586699,610.91,609.65,14945
1738586759,610.91,609.65,14945
1738586819,610.91,609.65,14945
1738586878,610.91,609.65,14945
1738586939,610.91,609.65,14945
1738586999,610.90,609.80,14960
1738587055,610.90,609.80,14960
1738587119,610.90,609.80,14960
1738587178,610.90,609.80,14960
1738587239,610.90,609.80,14960
1738587299,610.90,609.80,14960
1738587359,610.90,609.80,14960
1738587419,610.90,609.80,14960
1738587479,610.90,609.80,14960
1738587539,610.90,609.80,14960
1738587595,610.90,609.60,14985
1738587659,610.90,610.60,14986
1738587719,610.90,610.60,14986
1738587779,610.90,610.60,14986
1738587839,610.90,610.95,14993
1738587898,610.90,611.15,15073
1738587959,610.90,609.75,15078
1738588019,610.90,609.70,15138
1738588078,610.90,610.15,15140
1738588137,610.90,610.15,15140
1738588199,610.89,609.50,15170
1738588259,610.89,609.50,15170
1738588319,610.89,609.50,15170
1738588378,610.89,609.50,15170
1738588439,610.89,609.50,15170
1738588499,610.89,610.55,15188
1738588559,610.89,610.10,15189
1738588619,610.89,610.10,15189
1738588679,610.89,610.10,15189
1738588737,610.89,610.10,15189
1738588798,610.89,610.10,15189
1738588857,610.89,610.10,15189
1738588919,610.89,610.20,15194
1738588979,610.89,609.30,15236
1738589037,610.87,608.00,15426
1738589099,610.87,607.65,15434
1738589159,610.85,608.05,15534
1738589218,610.85,608.05,15534
1738589279,610.85,606.85,15537
1738589339,610.85,606.85,15537
1738589399,610.85,606.85,15537
1738589459,610.85,606.85,15537
1738589519,610.84,605.40,15545
1738589579,610.83,605.90,15596
1738589639,610.83,606.25,15597
1738589697,610.83,606.25,15597
1738589759,610.83,606.25,15597
1738589819,610.83,606.25,15597
1738589879,610.82,607.95,15638
1738589939,610.82,607.95,15638
1738589999,610.82,607.95,15638
1738590059,610.82,607.50,15641
1738590119,610.82,607.50,15641
1738590179,610.80,607.40,15701
1738590239,610.80,607.40,15701
1738590298,610.80,607.40,15701
1738590359,610.80,607.15,15702
1738590419,610.80,607.10,15703
1738590479,610.80,607.10,15703
1738590536,610.80,607.10,15703
1738590599,610.80,605.70,15727
1738590659,610.80,605.70,15727
1738590719,610.79,605.25,15741
1738590779,610.79,605.25,15741
1738590839,610.78,605.10,15782
1738590899,610.78,605.10,15782
1738590959,610.78,605.10,15782
1738591016,610.78,605.10,15782
1738591079,610.76,604.85,15822
1738591137,610.76,604.95,15831
1738591199,610.72,604.00,15931
1738591259,610.68,604.90,16031
1738591319,610.68,604.90,16031
1738591379,610.68,604.90,16031
1738591435,610.68,604.90,16031
1738591497,610.67,605.25,16045
1738591559,610.67,605.50,16047
1738591619,610.67,605.50,16047
1738591677,610.67,605.50,16047
1738591739,610.67,605.50,16047
1738591795,610.67,606.10,16049
1738591859,610.64,606.15,16149
1738591919,610.64,605.60,16153
1738591979,610.64,605.60,16153
1738592039,610.64,604.75,16165
1738592099,610.64,604.70,16169
1738592159,610.64,604.70,16169
1738592219,610.64,604.85,16171
1738592278,610.64,604.85,16171
1738592339,610.64,604.20,16175
1738592398,610.63,604.05,16177
1738592459,610.62,603.10,16197
1738592519,610.59,602.45,16279
1738592579,610.59,602.45,16279
1738592639,610.58,603.20,16289
1738592699,610.58,602.95,16290
1738592759,610.58,602.95,16290
1738592819,610.57,602.95,16309
1738592879,610.57,602.95,16309
1738592939,610.57,602.95,16309
1738592999,610.57,602.95,16309
1738593059,610.56,603.10,16347
1738593119,610.55,602.50,16366
1738593179,610.55,602.50,16366
1738593239,610.54,601.35,16382
1738593298,610.54,601.35,16382
1738593359,610.54,601.35,16382
1738593419,610.53,602.20,16392
1738593479,610.53,601.85,16403
1738593539,610.52,603.20,16425
1738593599,610.51,603.65,16445
1738593659,610.51,602.90,16447
1738593719,610.51,602.90,16447
1738593779,610.51,602.90,16447
1738593839,610.51,602.90,16447
1738593899,610.51,602.90,16447
1738593958,610.50,602.75,16457
1738594019,610.50,603.20,16461
1738594079,609.39,602.55,18725
1738594139,609.39,602.55,18725
1738594199,609.39,602.55,18725
1738594259,609.39,602.55,18725
1738594319,609.38,601.80,18748
1738594379,609.38,601.80,18748
1738594435,609.38,601.80,18748
1738594499,609.35,603.35,18858
1738594559,609.35,603.35,18858
1738594619,609.35,603.35,18858
1738594679,609.35,602.45,18861
1738594739,609.34,603.15,18892
1738594799,609.34,603.15,18892
1738594856,609.34,603.15,18892
1738594919,609.29,604.30,19063
1738594979,609.29,603.95,19064
1738595038,609.29,603.95,19064
1738595097,609.29,604.10,19069
1738595159,609.29,604.15,19084
1738595217,609.29,604.15,19084
1738595279,609.29,604.15,19084
1738595339,609.29,604.15,19084
1738595399,609.29,604.15,19084
1738595459,609.29,604.80,19085
1738595519,609.28,604.15,19125
1738595579,609.28,604.15,19125
1738595639,609.28,604.15,19125
1738595699,609.28,604.15,19125
1738595759,609.27,604.80,19131
1738595819,609.27,604.25,19156
1738595879,609.27,604.25,19156
1738595938,609.26,604.80,19186
1738595999,609.25,604.80,19223
1738596059,609.24,605.50,19267
1738596119,609.24,604.75,19294
1738596179,609.24,604.95,19298
1738596239,609.12,603.30,19785
1738596299,609.11,603.55,19810
1738596359,609.11,603.55,19810
1738596419,609.11,603.55,19810
1738596479,609.10,604.05,19863
1738596539,609.09,604.10,19903
1738596595,609.08,605.35,19934
1738596602,609.08,605.35,19934
1738596676,609.08,605.35,19934
1738597202,609.08,605.35,19934
1738597593,609.08,605.35,19934
1738598401,609.08,605.35,19934
1738598485,609.08,605.35,19934
1738573635,606.00,606.00,20
1738573741,606.00,606.00,20
1738574159,602.73,603.55,147
1738574219,603.98,605.25,879
1738574279,605.37,608.65,1389
1738574339,605.49,607.65,1508
1738574399,606.12,613.50,1687
1738574459,608.29,613.85,2261
1738574519,608.64,611.55,2502
1738574579,608.67,614.05,2517
1738574639,609.27,614.00,2814
1738574698,609.48,614.10,2959
1738574759,612.03,614.00,5349
1738574819,612.08,616.95,5405
1738574879,612.28,617.85,5611
1738574939,612.33,616.30,5668
1738574999,612.33,616.00,5670
1738575059,612.36,616.00,5720
1738575119,612.39,616.20,5762
1738575179,612.49,614.75,5962
1738575239,612.55,612.75,6264
1738575298,612.56,612.00,6431
1738575359,612.56,611.85,6490
1738575419,612.56,613.20,6495
1738575479,612.56,611.85,6518
1738575539,612.55,611.20,6551
1738575599,612.54,611.00,6601
1738575659,612.16,611.15,8631
1738575719,612.16,611.45,8654
1738575779,612.16,612.00,8659
1738575839,612.16,612.00,8669
1738575899,612.15,611.65,8758
1738575959,612.12,610.00,8931
1738576017,612.12,610.55,8933
1738576079,612.09,609.20,9055
1738576139,612.01,607.00,9231
1738576199,612.00,606.05,9238
1738576259,612.00,606.05,9238
1738576319,612.00,606.05,9238
1738576379,612.00,605.05,9242
1738576439,612.00,606.45,9249
1738576499,611.99,607.10,9253
1738576559,611.99,607.10,9253
1738576619,611.99,607.05,9267
1738576679,611.98,607.05,9287
1738576739,611.98,607.05,9287
1738576799,611.97,607.20,9300
1738576859,611.97,606.75,9302
1738576919,611.97,608.80,9307
1738576977,611.96,608.20,9335
1738577039,611.95,607.75,9336
1738577099,611.95,607.40,9338
1738577159,611.90,607.80,9442
1738577219,611.89,606.75,9465
1738577279,611.89,606.75,9465
1738577338,611.89,606.75,9465
1738577399,611.89,606.75,9465
1738577459,611.83,606.70,9565
1738577519,611.83,607.25,9571
1738577579,611.82,607.90,9594
1738577639,611.81,606.50,9602
1738577699,611.81,605.55,9611
1738577759,611.81,604.95,9616
1738577819,611.80,605.05,9630
1738577878,611.78,604.85,9662
1738577939,611.62,604.20,9875
1738577999,611.62,604.90,9876
1738578059,611.57,606.50,9976
1738578119,611.51,605.85,10091
1738578179,611.48,606.15,10131
1738578239,611.48,606.15,10131
1738578299,611.43,606.45,10260
1738578359,611.37,605.70,10368
1738578419,611.34,605.75,10423
1738578479,611.34,606.55,10424
1738578539,611.33,606.20,10438
1738578599,611.33,605.85,10443
1738578659,611.33,606.80,10450
1738578719,611.30,608.00,10552
1738578779,611.26,607.00,10654
1738578839,611.26,607.00,10654
1738578898,611.26,607.00,10654
1738578959,611.26,607.00,10654
1738579019,611.26,607.00,10654
1738579079,611.25,607.05,10668
1738579139,611.25,608.35,10678
1738579199,611.25,608.35,10678
1738579259,611.25,608.35,10678
1738579319,611.10,605.45,11023
1738579378,611.06,606.00,11126
1738579439,611.06,606.00,11126
1738579499,611.06,606.00,11126
1738579559,611.06,607.55,11136
1738579619,611.06,607.10,11147
1738579678,611.06,607.10,11147
1738579739,611.03,609.10,11262
1738579799,611.02,609.00,11308
1738579859,611.00,610.00,11628
1738579919,611.00,610.00,11628
1738579979,611.00,610.00,11628
1738580039,611.00,610.00,11628
1738580098,610.99,610.85,11828
1738580159,610.99,610.85,11828
1738580219,610.99,610.85,11828
1738580279,610.99,610.85,11828
1738580333,610.99,610.85,11828
1738580399,610.99,610.85,11828
1738580459,610.99,610.85,11828
1738580519,611.00,612.00,11949
1738580579,611.00,612.00,11960
1738580638,611.00,612.00,11995
1738580699,611.01,611.60,12198
1738580759,611.01,612.70,12230
1738580819,611.02,612.70,12257
1738580879,611.03,613.35,12291
1738580936,611.03,613.35,12291
1738580999,611.03,612.65,12317
1738581059,611.04,612.15,12417
1738581119,611.04,612.95,12419
1738581179,611.04,611.90,12429
1738581239,611.04,611.60,12529
1738581299,611.06,612.20,12745
1738581359,611.06,612.60,12755
1738581419,611.07,612.50,12805
1738581479,611.07,613.20,12807
1738581539,611.07,613.65,12809
1738581599,611.07,613.65,12809
1738581659,611.07,613.65,12809
1738581719,611.07,613.65,12809
1738581779,611.07,613.65,12809
1738581837,611.07,613.65,12809
1738581898,611.07,613.65,12809
1738581959,611.07,612.00,12810
1738582019,611.07,612.00,12810
1738582079,611.07,612.10,12811
1738582138,611.07,611.35,12821
1738582198,611.07,610.60,12833
1738582259,611.07,610.60,12833
1738582316,611.06,610.35,12975
1738582379,611.06,610.35,12975
1738582438,611.05,610.65,13045
1738582498,611.06,611.30,13141
1738582559,611.06,610.85,13146
1738582619,611.06,609.90,13154
1738582679,611.06,609.95,13156
1738582739,611.06,609.95,13156
1738582799,611.05,610.55,13245
1738582859,611.05,609.90,13261
1738582917,611.05,609.80,13293
1738582978,611.05,609.80,13293
1738583039,611.05,609.80,13293
1738583099,611.05,609.80,13303
1738583159,611.05,610.30,13312
1738583217,611.05,610.30,13312
1738583279,611.05,610.35,13317
1738583339,611.04,609.50,13399
1738583399,611.03,609.60,13499
1738583459,611.03,609.60,13499
1738583519,611.03,610.45,13500
1738583579,611.02,609.75,13604
1738583639,611.02,609.75,13604
1738583699,611.02,609.75,13604
1738583759,611.02,609.75,13604
1738583819,611.01,609.75,13638
1738583878,611.01,609.75,13638
1738583939,611.01,610.15,13639
1738583998,611.01,610.15,13639
1738584058,611.01,610.15,13639
1738584119,611.01,610.15,13639
1738584172,611.01,609.75,13641
1738584239,611.01,609.75,13641
1738584299,611.01,609.75,13641
1738584359,611.01,609.75,13641
1738584419,611.01,609.75,13641
1738584479,611.01,609.75,13641
1738584537,611.01,610.00,13691
1738584599,611.01,610.00,13691
1738584659,611.01,609.90,13726
1738584719,611.01,609.90,13726
1738584778,611.01,609.90,13726
1738584839,610.98,609.60,14054
1738584893,610.98,609.60,14054
1738584959,610.97,609.50,14083
1738585018,610.97,609.50,14083
1738585079,610.97,609.75,14094
1738585139,610.97,609.75,14094
1738585198,610.97,609.75,14094
1738585259,610.97,609.50,14104
1738585319,610.97,609.50,14104
1738585379,610.97,609.50,14104
1738585439,610.97,609.55,14110
1738585499,610.97,610.50,14114
1738585556,610.97,610.50,14114
1738585618,610.97,610.55,14130
1738585679,610.97,610.70,14131
1738585739,610.97,609.55,14181
1738585796,610.97,609.55,14181
1738585859,610.97,609.55,14181
1738585919,610.97,609.80,14183
1738585979,610.96,609.50,14235
1738586039,610.96,609.50,14235
1738586099,610.95,610.05,14435
1738586159,610.95,610.05,14435
1738586216,610.95,610.05,14435
1738586279,610.95,610.05,14435
1738586337,610.95,610.05,14436
1738586399,610.95,610.30,14441
1738586459,610.95,610.30,14441
1738586519,610.93,610.50,14643
1738586571,610.91,609.25,14860
1738586637,610.91,609.25,14860
1738586699,610.91,609.65,14945
1738586759,610.91,609.65,14945
1738586819,610.91,609.65,14945
1738586878,610.91,609.65,14945
1738586939,610.91,609.65,14945
1738586999,610.90,609.80,14960
1738587055,610.90,609.80,14960
1738587119,610.90,609.80,14960
1738587178,610.90,609.80,14960
1738587239,610.90,609.80,14960
1738587299,610.90,609.80,14960
1738587359,610.90,609.80,14960
1738587419,610.90,609.80,14960
1738587479,610.90,609.80,14960
1738587539,610.90,609.80,14960
1738587595,610.90,609.60,14985
1738587659,610.90,610.60,14986
1738587719,610.90,610.60,14986
1738587779,610.90,610.60,14986
1738587839,610.90,610.95,14993
1738587898,610.90,611.15,15073
1738587959,610.90,609.75,15078
1738588019,610.90,609.70,15138
1738588078,610.90,610.15,15140
1738588137,610.90,610.15,15140
1738588199,610.89,609.50,15170
1738588259,610.89,609.50,15170
1738588319,610.89,609.50,15170
1738588378,610.89,609.50,15170
1738588439,610.89,609.50,15170
1738588499,610.89,610.55,15188
1738588559,610.89,610.10,15189
1738588619,610.89,610.10,15189
1738588679,610.89,610.10,15189
1738588737,610.89,610.10,15189
1738588798,610.89,610.10,15189
1738588857,610.89,610.10,15189
1738588919,610.89,610.20,15194
1738588979,610.89,609.30,15236
1738589037,610.87,608.00,15426
1738589099,610.87,607.65,15434
1738589159,610.85,608.05,15534
1738589218,610.85,608.05,15534
1738589279,610.85,606.85,15537
1738589339,610.85,606.85,15537
1738589399,610.85,606.85,15537
1738589459,610.85,606.85,15537
1738589519,610.84,605.40,15545
1738589579,610.83,605.90,15596
1738589639,610.83,606.25,15597
1738589697,610.83,606.25,15597
1738589759,610.83,606.25,15597
1738589819,610.83,606.25,15597
1738589879,610.82,607.95,15638
1738589939,610.82,607.95,15638
1738589999,610.82,607.95,15638
1738590059,610.82,607.50,15641
1738590119,610.82,607.50,15641
1738590179,610.80,607.40,15701
1738590239,610.80,607.40,15701
1738590298,610.80,607.40,15701
1738590359,610.80,607.15,15702
1738590419,610.80,607.10,15703
1738590479,610.80,607.10,15703
1738590536,610.80,607.10,15703
1738590599,610.80,605.70,15727
1738590659,610.80,605.70,15727
1738590719,610.79,605.25,15741
1738590779,610.79,605.25,15741
1738590839,610.78,605.10,15782
1738590899,610.78,605.10,15782
1738590959,610.78,605.10,15782
1738591016,610.78,605.10,15782
1738591079,610.76,604.85,15822
1738591137,610.76,604.95,15831
1738591199,610.72,604.00,15931
1738591259,610.68,604.90,16031
1738591319,610.68,604.90,16031
1738591379,610.68,604.90,16031
1738591435,610.68,604.90,16031
1738591497,610.67,605.25,16045
1738591559,610.67,605.50,16047
1738591619,610.67,605.50,16047
1738591677,610.67,605.50,16047
1738591739,610.67,605.50,16047
1738591795,610.67,606.10,16049
1738591859,610.64,606.15,16149
1738591919,610.64,605.60,16153
1738591979,610.64,605.60,16153
1738592039,610.64,604.75,16165
1738592099,610.64,604.70,16169
1738592159,610.64,604.70,16169
1738592219,610.64,604.85,16171
1738592278,610.64,604.85,16171
1738592339,610.64,604.20,16175
1738592398,610.63,604.05,16177
1738592459,610.62,603.10,16197
1738592519,610.59,602.45,16279
1738592579,610.59,602.45,16279
1738592639,610.58,603.20,16289
1738592699,610.58,602.95,16290
1738592759,610.58,602.95,16290
1738592819,610.57,602.95,16309
1738592879,610.57,602.95,16309
1738592939,610.57,602.95,16309
1738592999,610.57,602.95,16309
1738593059,610.56,603.10,16347
1738593119,610.55,602.50,16366
1738593179,610.55,602.50,16366
1738593239,610.54,601.35,16382
1738593298,610.54,601.35,16382
1738593359,610.54,601.35,16382
1738593419,610.53,602.20,16392
1738593479,610.53,601.85,16403
1738593539,610.52,603.20,16425
1738593599,610.51,603.65,16445
1738593659,610.51,602.90,16447
1738593719,610.51,602.90,16447
1738593779,610.51,602.90,16447
1738593839,610.51,602.90,16447
1738593899,610.51,602.90,16447
1738593958,610.50,602.75,16457
1738594019,610.50,603.20,16461
1738594079,609.39,602.55,18725
1738594139,609.39,602.55,18725
1738594199,609.39,602.55,18725
1738594259,609.39,602.55,18725
1738594319,609.38,601.80,18748
1738594379,609.38,601.80,18748
1738594435,609.38,601.80,18748
1738594499,609.35,603.35,18858
1738594559,609.35,603.35,18858
1738594619,609.35,603.35,18858
1738594679,609.35,602.45,18861
1738594739,609.34,603.15,18892
1738594799,609.34,603.15,18892
1738594856,609.34,603.15,18892
1738594919,609.29,604.30,19063
1738594979,609.29,603.95,19064
1738595038,609.29,603.95,19064
1738595097,609.29,604.10,19069
1738595159,609.29,604.15,19084
1738595217,609.29,604.15,19084
1738595279,609.29,604.15,19084
1738595339,609.29,604.15,19084
1738595399,609.29,604.15,19084
1738595459,609.29,604.80,19085
1738595519,609.28,604.15,19125
1738595579,609.28,604.15,19125
1738595639,609.28,604.15,19125
1738595699,609.28,604.15,19125
1738595759,609.27,604.80,19131
1738595819,609.27,604.25,19156
1738595879,609.27,604.25,19156
1738595938,609.26,604.80,19186
1738595999,609.25,604.80,19223
1738596059,609.24,605.50,19267
1738596119,609.24,604.75,19294
1738596179,609.24,604.95,19298
1738596239,609.12,603.30,19785
1738596299,609.11,603.55,19810
1738596359,609.11,603.55,19810
1738596419,609.11,603.55,19810
1738596479,609.10,604.05,19863
1738596539,609.09,604.10,19903
1738596595,609.08,605.35,19934
1738596602,609.08,605.35,19934
1738596676,609.08,605.35,19934
1738597202,609.08,605.35,19934
1738597593,609.08,605.35,19934
1738598401,609.08,605.35,19934
1738598485,609.08,605.35,19934
1738573635,606.00,606.00,20
1738573741,606.00,606.00,20
1738574159,602.73,603.55,147
1738574219,603.98,605.25,879
1738574279,605.37,608.65,1389
1738574339,605.49,607.65,1508
1738574399,606.12,613.50,1687
1738574459,608.29,613.85,2261
1738574519,608.64,611.55,2502
1738574579,608.67,614.05,2517
1738574639,609.27,614.00,2814
1738574698,609.48,614.10,2959
1738574759,612.03,614.00,5349
1738574819,612.08,616.95,5405
1738574879,612.28,617.85,5611
1738574939,612.33,616.30,5668
1738574999,612.33,616.00,5670
1738575059,612.36,616.00,5720
1738575119,612.39,616.20,5762
1738575179,612.49,614.75,5962
1738575239,612.55,612.75,6264
1738575298,612.56,612.00,6431
1738575359,612.56,611.85,6490
1738575419,612.56,613.20,6495
1738575479,612.56,611.85,6518
1738575539,612.55,611.20,6551
1738575599,612.54,611.00,6601
1738575659,612.16,611.15,8631
1738575719,612.16,611.45,8654
1738575779,612.16,612.00,8659
1738575839,612.16,612.00,8669
1738575899,612.15,611.65,8758
1738575959,612.12,610.00,8931
1738576017,612.12,610.55,8933
1738576079,612.09,609.20,9055
1738576139,612.01,607.00,9231
1738576199,612.00,606.05,9238
1738576259,612.00,606.05,9238
1738576319,612.00,606.05,9238
1738576379,612.00,605.05,9242
1738576439,612.00,606.45,9249
1738576499,611.99,607.10,9253
1738576559,611.99,607.10,9253
1738576619,611.99,607.05,9267
1738576679,611.98,607.05,9287
1738576739,611.98,607.05,9287
1738576799,611.97,607.20,9300
1738576859,611.97,606.75,9302
1738576919,611.97,608.80,9307
1738576977,611.96,608.20,9335
1738577039,611.95,607.75,9336
1738577099,611.95,607.40,9338
1738577159,611.90,607.80,9442
1738577219,611.89,606.75,9465
1738577279,611.89,606.75,9465
1738577338,611.89,606.75,9465
1738577399,611.89,606.75,9465
1738577459,611.83,606.70,9565
1738577519,611.83,607.25,9571
1738577579,611.82,607.90,9594
1738577639,611.81,606.50,9602
1738577699,611.81,605.55,9611
1738577759,611.81,604.95,9616
1738577819,611.80,605.05,9630
1738577878,611.78,604.85,9662
1738577939,611.62,604.20,9875
1738577999,611.62,604.90,9876
1738578059,611.57,606.50,9976
1738578119,611.51,605.85,10091
1738578179,611.48,606.15,10131
1738578239,611.48,606.15,10131
1738578299,611.43,606.45,10260
1738578359,611.37,605.70,10368
1738578419,611.34,605.75,10423
1738578479,611.34,606.55,10424
1738578539,611.33,606.20,10438
1738578599,611.33,605.85,10443
1738578659,611.33,606.80,10450
1738578719,611.30,608.00,10552
1738578779,611.26,607.00,10654
1738578839,611.26,607.00,10654
1738578898,611.26,607.00,10654
1738578959,611.26,607.00,10654
1738579019,611.26,607.00,10654
1738579079,611.25,607.05,10668
1738579139,611.25,608.35,10678
1738579199,611.25,608.35,10678
1738579259,611.25,608.35,10678
1738579319,611.10,605.45,11023
1738579378,611.06,606.00,11126
1738579439,611.06,606.00,11126
1738579499,611.06,606.00,11126
1738579559,611.06,607.55,11136
1738579619,611.06,607.10,11147
1738579678,611.06,607.10,11147
1738579739,611.03,609.10,11262
1738579799,611.02,609.00,11308
1738579859,611.00,610.00,11628
1738579919,611.00,610.00,11628
1738579979,611.00,610.00,11628
1738580039,611.00,610.00,11628
1738580098,610.99,610.85,11828
1738580159,610.99,610.85,11828
1738580219,610.99,610.85,11828
1738580279,610.99,610.85,11828
1738580333,610.99,610.85,11828
1738580399,610.99,610.85,11828
1738580459,610.99,610.85,11828
1738580519,611.00,612.00,11949
1738580579,611.00,612.00,11960
1738580638,611.00,612.00,11995
1738580699,611.01,611.60,12198
1738580759,611.01,612.70,12230
1738580819,611.02,612.70,12257
1738580879,611.03,613.35,12291
