t,ap,cp,v
1738590299,13.47,13.47,1244
1738590328,13.47,13.47,1244
1738590618,13.47,13.47,1249
1738590917,13.47,13.47,1249
1738593716,13.47,13.47,1249
1738594170,13.47,13.47,1249
1738594239,13.47,13.47,1249
1738595373,13.47,13.47,2249
1738596394,13.47,13.47,2249
1738596603,13.47,13.47,2249
1738596675,13.47,13.47,2249
1738597200,13.47,13.47,2249
1738598400,13.47,13.47,2249
1738573635,13.47,13.47,250
1738573741,13.47,13.47,250
1738574101,13.47,13.47,250
1738574204,13.47,13.47,250
1738574331,13.47,13.47,250
1738574525,13.47,13.47,252
1738574629,13.47,13.47,252
1738574715,13.47,13.47,252
1738574777,13.47,13.47,252
1738574877,13.47,13.47,252
1738574970,13.47,13.47,252
1738575188,13.47,13.47,252
1738575242,13.47,13.47,252
1738575340,13.47,13.47,252
1738575598,13.47,13.47,252
1738575706,13.47,13.47,262
1738575736,13.47,13.47,262
1738576260,13.47,13.47,267
1738576361,13.47,13.47,267
1738576410,13.47,13.47,267
1738576487,13.47,13.47,267
1738576731,13.47,13.47,267
1738576762,13.47,13.47,268
1738577361,13.47,13.47,268
1738577522,13.47,13.47,269
1738577797,13.47,13.47,279
1738577823,13.47,13.47,279
1738577964,13.47,13.47,279
1738578049,13.47,13.47,279
1738578347,13.47,13.47,279
1738578474,13.47,13.47,279
1738578480,13.47,13.47,279
1738578599,13.47,13.47,279
1738578882,13.47,13.47,279
1738578914,13.47,13.47,279
1738579003,13.47,13.47,304
1738579033,13.47,13.47,304
1738579132,13.47,13.47,304
1738579456,13.47,13.47,304
1738580192,13.47,13.47,304
1738580787,13.47,13.47,304
1738580831,13.47,13.47,304
1738581042,13.47,13.47,313
1738581285,13.47,13.47,313
1738582737,13.47,13.47,943
1738583666,13.47,13.47,1043
1738584932,13.47,13.47,1043
1738585010,13.47,13.47,1043
1738585236,13.47,13.47,1043
1738585572,13.47,13.47,1043
1738586600,13.47,13.47,1048
1738586691,13.47,13.47,1048
1738586700,13.47,13.47,1048
1738587102,13.47,13.47,1048
1738587234,13.47,13.47,1148
1738587553,13.47,13.47,1148
1738588318,13.47,13.47,1198
1738589583,13.47,13.47,1198
1738589897,13.47,13.47,1199
1738590107,13.47,13.47,1244
1738590299,13.47,13.47,1244
1738590328,13.47,13.47,1244
1738590618,13.47,13.47,1249
1738590917,13.47,13.47,1249
1738593716,13.47,13.47,1249
1738594170,13.47,13.47,1249
1738594239,13.47,13.47,1249
1738595373,13.47,13.47,2249
1738596394,13.47,13.47,2249
1738596603,13.47,13.47,2249
1738596675,13.47,13.47,2249
1738597200,13.47,13.47,2249
1738598400,13.47,13.47,2249
1738573635,13.47,13.47,250
1738573741,13.47,13.47,250
1738574101,13.47,13.47,250
1738574204,13.47,13.47,250
1738574331,13.47,13.47,250
1738574525,13.47,13.47,252
1738574629,13.47,13.47,252
1738574715,13.47,13.47,252
1738574777,13.47,13.47,252
1738574877,13.47,13.47,252
1738574970,13.47,13.47,252
1738575188,13.47,13.47,252
1738575242,13.47,13.47,252
1738575340,13.47,13.47,252
1738575598,13.47,13.47,252
1738575706,13.47,13.47,262
1738575736,13.47,13.47,262
1738576260,13.47,13.47,267
1738576361,13.47,13.47,267
1738576410,13.47,13.47,267
1738576487,13.47,13.47,267
1738576731,13.47,13.47,267
1738576762,13.47,13.47,268
1738577361,13.47,13.47,268
1738577522,13.47,13.47,269
1738577797,13.47,13.47,279
1738577823,13.47,13.47,279
1738577964,13.47,13.47,279
1738578049,13.47,13.47,279
1738578347,13.47,13.47,279
1738578474,13.47,13.47,279
1738578480,13.47,13.47,279
1738578599,13.47,13.47,279
1738578882,13.47,13.47,279
1738578914,13.47,13.47,279
1738579003,13.47,13.47,304
1738579033,13.47,13.47,304
1738579132,13.47,13.47,304
1738579456,13.47,13.47,304
1738580192,13.47,13.47,304
1738580787,13.47,13.47,304
1738580831,13.47,13.47,304
1738581042,13.47,13.47,313
1738581285,13.47,13.47,313
1738582737,13.47,13.47,943
1738583666,13.47,13.47,1043
1738584932,13.47,13.47,1043
1738585010,13.47,13.47,1043
1738585236,13.47,13.47,1043
1738585572,13.47,13.47,1043
1738586600,13.47,13.47,1048
1738586691,13.47,13.47,1048
1738586700,13.47,13.47,1048
1738587102,13.47,13.47,1048
1738587234,13.47,13.47,1148
1738587553,13.47,13.47,1148
1738588318,13.47,13.47,1198
1738589583,13.47,13.47,1198
1738589897,13.47,13.47,1199
1738590107,13.47,13.47,1244
1738590299,13.47,13.47,1244
1738590328,13.47,13.47,1244
1738590618,13.47,13.47,1249
1738590917,13.47,13.47,1249
1738593716,13.47,13.47,1249
1738594170,13.47,13.47,1249
1738594239,13.47,13.47,1249
1738595373,13.47,13.47,2249
1738596394,13.47,13.47,2249
1738596603,13.47,13.47,2249
1738596675,13.47,13.47,2249
1738597200,13.47,13.47,2249
1738598400,13.47,13.47,2249
1738573635,13.47,13.47,250
1738573741,13.47,13.47,250
1738574101,13.47,13.47,250
1738574204,13.47,13.47,250
1738574331,13.47,13.47,250
1738574525,13.47,13.47,252
1738574629,13.47,13.47,252
1738574715,13.47,13.47,252
1738574777,13.47,13.47,252
1738574877,13.47,13.47,252
1738574970,13.47,13.47,252
1738575188,13.47,13.47,252
1738575242,13.47,13.47,252
1738575340,13.47,13.47,252
1738575598,13.47,13.47,252
1738575706,13.47,13.47,262
1738575736,13.47,13.47,262
1738576260,13.47,13.47,267
1738576361,13.47,13.47,267
1738576410,13.47,13.47,267
1738576487,13.47,13.47,267
1738576731,13.47,13.47,267
1738576762,13.47,13.47,268
1738577361,13.47,13.47,268
1738577522,13.47,13.47,269
1738577797,13.47,13.47,279
1738577823,13.47,13.47,279
1738577964,13.47,13.47,279
1738578049,13.47,13.47,279
1738578347,13.47,13.47,279
1738578474,13.47,13.47,279
1738578480,13.47,13.47,279
1738578599,13.47,13.47,279
1738578882,13.47,13.47,279
1738578914,13.47,13.47,279
1738579003,13.47,13.47,304
1738579033,13.47,13.47,304
1738579132,13.47,13.47,304
1738579456,13.47,13.47,304
1738580192,13.47,13.47,304
1738580787,13.47,13.47,304
1738580831,13.47,13.47,304
1738581042,13.47,13.47,313
1738581285,13.47,13.47,313
1738582737,13.47,13.47,943
1738583666,13.47,13.47,1043
1738584932,13.47,13.47,1043
1738585010,13.47,13.47,1043
1738585236,13.47,13.47,1043
1738585572,13.47,13.47,1043
1738586600,13.47,13.47,1048
1738586691,13.47,13.47,1048
1738586700,13.47,13.47,1048
1738587102,13.47,13.47,1048
1738587234,13.47,13.47,1148
1738587553,13.47,13.47,1148
1738588318,13.47,13.47,1198
1738589583,13.47,13.47,1198
1738589897,13.47,13.47,1199
1738590107,13.47,13.47,1244
1738590299,13.47,13.47,1244
1738590328,13.47,13.47,1244
1738590618,13.47,13.47,1249
1738590917,13.47,13.47,1249
1738593716,13.47,13.47,1249
1738594170,13.47,13.47,1249
1738594239,13.47,13.47,1249
1738595373,13.47,13.47,2249
1738596394,13.47,13.47,2249
1738596603,13.47,13.47,2249
1738596675,13.47,13.47,2249
1738597200,13.47,13.47,2249
1738598400,13.47,13.47,2249
1738573635,13.47,13.47,250
1738573741,13.47,13.47,250
1738574101,13.47,13.47,250
1738574204,13.47,13.47,250
1738574331,13.47,13.47,250
1738574525,13.47,13.47,252
1738574629,13.47,13.47,252
1738574715,13.47,13.47,252
1738574777,13.47,13.47,252
1738574877,13.47,13.47,252
1738574970,13.47,13.47,252
1738575188,13.47,13.47,252
1738575242,13.47,13.47,252
1738575340,13.47,13.47,252
1738575598,13.47,13.47,252
1738575706,13.47,13.47,262
1738575736,13.47,13.47,262
1738576260,13.47,13.47,267
1738576361,13.47,13.47,267
1738576410,13.47,13.47,267
1738576487,13.47,13.47,267
1738576731,13.47,13.47,267
1738576762,13.47,13.47,268
1738577361,13.47,13.47,268
1738577522,13.47,13.47,269
1738577797,13.47,13.47,279
1738577823,13.47,13.47,279
1738577964,13.47,13.47,279
1738578049,13.47,13.47,279
1738578347,13.47,13.47,279
1738578474,13.47,13.47,279
1738578480,13.47,13.47,279
1738578599,13.47,13.47,279
1738578882,13.47,13.47,279
1738578914,13.47,13.47,279
1738579003,13.47,13.47,304
1738579033,13.47,13.47,304
1738579132,13.47,13.47,304
1738579456,13.47,13.47,304
1738580192,13.47,13.47,304
1738580787,13.47,13.47,304
1738580831,13.47,13.47,304
1738581042,13.47,13.47,313
1738581285,13.47,13.47,313
1738582737,13.47,13.47,943
1738583666,13.47,13.47,1043
1738584932,13.47,13.47,1043
1738585010,13.47,13.47,1043
1738585236,13.47,13.47,1043
1738585572,13.47,13.47,1043
1738586600,13.47,13.47,1048
1738586691,13.47,13.47,1048
1738586700,13.47,13.47,1048
1738587102,13.47,13.47,1048
1738587234,13.47,13.47,1148
1738587553,13.47,13.47,1148
1738588318,13.47,13.47,1198
1738589583,13.47,13.47,1198
1738589897,13.47,13.47,1199
1738590107,13.47,13.47,1244
1738590299,13.47,13.47,1244
1738590328,13.47,13.47,1244
1738590618,13.47,13.47,1249
1738590917,13.47,13.47,1249
1738593716,13.47,13.47,1249
1738594170,13.47,13.47,1249
1738594239,13.47,13.47,1249
1738595373,13.47,13.47,2249
1738596394,13.47,13.47,2249
1738596603,13.47,13.47,2249
1738596675,13.47,13.47,2249
1738597200,13.47,13.47,2249
1738598400,13.47,13.47,2249
