t,ap,cp,v
1738573634,289.50,289.50,252
1738573682,289.50,289.50,252
1738573740,289.50,289.50,252
1738574159,289.23,288.20,778
1738574219,288.31,286.70,1573
1738574279,288.31,287.00,1578
1738574339,288.30,288.00,1628
1738574399,288.27,288.15,1673
1738574458,288.16,286.95,2009
1738574518,287.89,286.55,2297
1738574579,287.80,286.95,2487
1738574638,287.78,287.90,2836
1738574697,287.74,286.80,3044
1738574759,287.79,289.05,3987
1738574819,287.88,289.25,4217
1738574879,287.91,289.75,4286
1738574939,288.06,288.40,5231
1738574999,288.06,288.25,5400
1738575059,288.02,287.20,5625
1738575119,288.01,286.90,5798
1738575179,287.99,286.10,5856
1738575238,287.99,285.50,5864
1738575298,287.95,285.75,5975
1738575359,287.86,285.35,6215
1738575419,287.57,285.10,6883
1738575479,287.56,285.00,6892
1738575539,287.56,284.90,6896
1738575599,287.46,284.25,7117
1738575659,287.41,285.00,7258
1738575719,287.41,284.50,7265
1738575779,287.11,285.10,8274
1738575839,287.00,285.05,8724
1738575899,287.00,284.00,8734
1738575959,286.88,283.30,9035
1738576017,286.82,284.25,9207
1738576079,286.81,284.00,9254
1738576139,286.79,284.75,9329
1738576199,286.79,284.55,9333
1738576259,286.79,284.55,9333
1738576318,286.76,284.45,9451
1738576378,286.74,284.00,9512
1738576437,286.74,284.00,9512
1738576499,286.71,284.10,9612
1738576559,286.63,283.55,9877
1738576619,286.63,283.50,9888
1738576679,286.43,282.30,10361
1738576739,286.43,282.30,10361
1738576799,286.32,282.50,10664
1738576859,286.29,282.55,10768
1738576919,286.24,282.85,10913
1738576979,286.22,282.80,10985
1738577039,286.18,282.45,11095
1738577099,286.15,282.00,11182
1738577159,285.98,282.20,11682
1738577219,285.98,282.20,11682
1738577279,285.92,282.20,11873
1738577338,285.89,282.30,11985
1738577399,285.86,282.10,12060
1738577459,285.83,282.10,12168
1738577519,285.83,282.55,12178
1738577579,285.78,282.25,12369
1738577639,285.76,282.05,12433
1738577699,285.75,282.30,12466
1738577759,285.60,281.45,12926
1738577819,285.59,281.60,12963
1738577879,285.55,281.60,13069
1738577939,285.55,281.50,13094
1738577999,285.55,281.50,13094
1738578059,285.53,281.35,13141
1738578118,285.53,282.00,13151
1738578178,285.52,282.10,13198
1738578239,285.49,282.05,13300
1738578299,285.49,282.00,13311
1738578358,285.26,282.30,14318
1738578419,285.26,282.30,14318
1738578477,285.26,282.30,14319
1738578539,285.26,281.65,14320
1738578599,285.26,281.20,14346
1738578659,285.21,281.50,14516
1738578719,285.06,281.25,15096
1738578779,285.06,281.00,15098
1738578839,285.04,281.05,15147
1738578898,285.02,281.00,15234
1738578959,285.01,281.65,15286
1738579019,285.01,281.65,15286
1738579079,285.01,281.65,15286
1738579139,285.00,281.00,15340
1738579199,284.99,280.55,15371
1738579259,284.98,280.95,15378
1738579319,284.98,281.15,15401
1738579378,284.98,281.15,15401
1738579438,284.96,281.25,15487
1738579499,284.96,282.00,15492
1738579559,284.86,282.50,16117
1738579619,284.86,282.50,16117
1738579679,284.86,282.75,16129
1738579739,284.86,282.00,16133
1738579798,284.75,280.40,16687
1738579859,284.52,280.70,17649
1738579919,284.45,280.45,17939
1738579979,284.32,280.05,18472
1738580039,284.31,280.05,18513
1738580099,284.21,279.70,18965
1738580159,284.18,280.35,19118
1738580219,284.18,279.75,19120
1738580279,284.05,279.95,19664
1738580339,283.99,279.85,19956
1738580398,283.97,279.75,20046
1738580458,283.97,279.75,20046
1738580519,283.78,280.00,21046
1738580579,283.78,279.95,21053
1738580639,283.78,279.80,21060
1738580699,283.78,279.80,21060
1738580757,283.78,279.60,21065
1738580817,283.78,279.60,21065
1738580878,283.78,279.60,21065
1738580939,283.77,279.85,21132
1738580999,283.77,279.20,21133
1738581059,283.74,279.95,21283
1738581116,283.74,279.45,21284
1738581179,283.72,279.45,21385
1738581237,283.72,279.45,21385
1738581299,283.72,279.45,21385
1738581357,283.72,279.45,21385
1738581419,283.72,280.25,21388
1738581479,283.69,280.45,21571
1738581539,283.69,280.55,21575
1738581599,283.69,280.50,21601
1738581656,283.67,280.50,21695
1738581719,283.67,280.50,21695
1738581779,283.67,280.50,21742
1738581839,283.63,279.85,21976
1738581896,283.63,279.85,21982
1738581959,283.63,279.85,21982
1738582019,283.63,279.85,21982
1738582078,283.63,279.85,21982
1738582139,283.62,279.55,21983
1738582197,283.62,279.55,21983
1738582258,283.62,279.20,21994
1738582319,283.49,278.95,22612
1738582379,283.29,278.50,23611
1738582439,283.25,278.90,23812
1738582499,283.25,278.25,23840
1738582559,283.25,278.90,23845
1738582619,283.23,278.75,23949
1738582679,283.23,278.75,23949
1738582739,283.22,278.75,23952
1738582799,283.22,278.25,23953
1738582859,283.21,278.20,24002
1738582917,283.20,278.65,24071
1738582979,283.20,278.65,24071
1738583039,283.18,278.20,24161
1738583099,283.18,278.20,24161
1738583159,283.18,278.20,24161
1738583219,283.18,278.20,24161
1738583279,283.18,278.95,24162
1738583339,283.18,278.80,24163
1738583396,283.18,278.80,24163
1738583459,283.18,278.80,24163
1738583519,283.18,278.80,24164
1738583578,283.18,278.50,24180
1738583638,283.18,278.80,24181
1738583698,283.17,278.60,24213
1738583759,282.90,278.70,25772
1738583819,282.90,278.70,25772
1738583879,282.90,278.75,25781
1738583939,282.90,278.70,25802
1738583999,282.90,278.70,25804
1738584059,282.90,278.70,25804
1738584118,282.90,278.70,25804
1738584179,282.90,279.15,25807
1738584239,282.89,278.90,25832
1738584297,282.89,279.15,25842
1738584358,282.89,279.15,25842
1738584418,282.89,279.15,25842
1738584479,282.89,278.75,25843
1738584537,282.83,278.75,26258
1738584599,282.83,278.75,26260
1738584659,282.83,278.70,26273
1738584718,282.83,278.45,26278
1738584779,282.83,278.45,26278
1738584838,282.82,278.70,26357
1738584899,282.82,278.55,26362
1738584959,282.82,278.85,26366
1738585019,282.81,278.75,26417
1738585079,282.81,278.75,26418
1738585139,282.81,278.75,26418
1738585197,282.81,278.75,26418
1738585259,282.81,278.40,26419
1738585319,282.81,278.40,26419
1738585378,282.79,278.40,26510
1738585439,282.77,278.40,26671
1738585499,282.70,278.35,27071
1738585559,282.70,278.30,27073
1738585619,282.70,278.30,27073
1738585679,282.70,278.80,27109
1738585739,282.70,278.65,27111
1738585799,282.69,278.60,27141
1738585858,282.69,278.60,27142
1738585916,282.69,278.95,27157
1738585979,282.69,279.55,27177
1738586039,282.69,279.30,27214
1738586099,282.69,279.30,27214
1738586157,282.66,279.05,27417
1738586219,282.66,279.00,27437
1738586279,282.66,279.00,27443
1738586338,282.66,278.60,27455
1738586399,282.66,278.60,27455
1738586459,282.66,278.60,27455
1738586518,282.66,278.60,27455
1738586579,282.65,279.20,27471
1738586639,282.65,278.80,27491
1738586697,282.65,278.80,27491
1738586759,282.65,278.80,27491
1738586819,282.65,279.30,27493
1738586877,282.65,279.30,27493
1738586939,282.65,278.80,27518
1738586999,282.65,278.80,27518
1738587059,282.63,279.25,27625
1738587118,282.63,278.80,27649
1738587179,282.60,278.60,27865
1738587239,282.60,278.60,27865
1738587299,282.60,278.60,27865
1738587357,282.59,278.70,27917
1738587417,282.56,279.35,28177
1738587479,282.56,278.85,28188
1738587537,282.56,278.85,28188
1738587599,282.54,279.15,28318
1738587657,282.50,279.25,28668
1738587718,282.50,279.25,28668
1738587779,282.50,279.25,28668
1738587839,282.50,279.95,28669
1738587898,282.50,279.95,28669
1738587957,282.50,279.95,28669
1738588019,282.50,279.55,28672
1738588079,282.50,279.55,28672
1738588137,282.50,279.55,28672
1738588198,282.49,279.50,28724
1738588259,282.41,280.40,29823
1738588317,282.41,279.55,29843
1738588379,282.41,280.00,29895
1738588439,282.39,280.10,30174
1738588499,282.39,280.55,30224
1738588559,282.39,280.55,30224
1738588619,282.39,280.55,30224
1738588679,282.38,280.30,30391
1738588739,282.36,280.30,30648
1738588799,282.31,280.10,31413
1738588858,282.31,279.85,31428
1738588918,282.31,279.85,31428
1738588979,282.31,279.85,31428
1738589036,282.31,280.10,31440
1738589099,282.30,279.55,31443
1738589159,282.30,279.55,31444
1738589219,282.30,279.55,31449
1738589279,282.29,279.55,31641
1738589339,282.26,279.50,31958
1738589398,282.26,279.35,31967
1738589459,282.26,279.10,32002
1738589519,282.25,279.60,32095
1738589578,282.25,279.60,32095
1738589638,282.25,279.60,32095
1738589698,282.25,279.60,32095
1738589759,282.25,279.60,32095
1738589819,282.20,279.00,32620
1738589879,282.20,279.55,32623
1738589938,282.20,279.55,32623
1738589999,282.20,279.45,32625
1738590059,282.20,279.45,32625
1738590119,282.20,279.45,32625
1738590179,282.19,279.45,32725
1738590237,282.19,279.45,32725
1738590299,282.19,279.45,32725
1738590359,282.19,278.90,32757
1738590418,282.18,279.70,32857
1738590477,282.18,279.70,32857
1738590539,282.18,279.40,32862
1738590599,282.18,279.40,32862
1738590658,282.18,279.40,32862
1738590719,282.17,278.95,32928
1738590775,282.17,278.95,32928
1738590839,282.17,278.80,32929
1738590898,282.17,279.15,33010
1738590959,282.16,278.70,33040
1738591018,282.16,278.70,33052
1738591079,282.16,278.70,33056
1738591138,282.16,278.70,33061
1738591199,282.16,278.70,33097
1738591258,282.15,278.90,33162
1738591317,282.15,278.85,33173
1738591379,282.14,278.85,33273
1738591436,282.14,278.85,33273
1738591498,282.13,279.05,33324
1738591556,282.13,279.05,33324
1738591616,282.12,279.05,33425
1738591679,282.12,279.05,33425
1738591739,282.12,278.85,33442
1738591797,282.12,278.85,33442
1738591859,282.12,278.85,33443
1738591919,282.12,278.80,33445
1738591979,282.12,279.25,33448
1738592039,282.12,279.30,33501
1738592099,282.11,278.85,33525
1738592158,282.11,278.80,33558
1738592219,282.11,279.25,33583
1738592279,282.11,278.70,33591
1738592338,282.11,278.70,33594
1738592399,282.11,278.70,33596
1738592459,282.11,278.70,33621
1738592519,282.10,278.65,33715
1738592579,282.10,278.65,33715
1738592638,282.10,278.65,33715
1738592698,282.10,278.65,33715
1738592759,282.09,278.85,33766
1738592818,282.09,279.35,33816
1738592878,282.09,278.85,33819
1738592939,282.09,278.85,33819
1738592999,282.09,279.55,33820
1738593059,282.09,279.00,33821
1738593119,282.09,279.00,33821
1738593178,282.09,278.80,33826
1738593239,282.08,278.50,33854
1738593299,282.08,279.15,33909
1738593358,282.08,279.15,33909
1738593419,282.07,279.00,34039
1738593478,282.07,279.00,34039
1738593539,282.07,278.85,34047
1738593599,282.07,278.90,34048
1738593659,282.07,278.85,34054
1738593719,282.06,278.85,34066
1738593779,282.06,278.85,34066
1738593838,282.06,278.75,34067
1738593899,282.03,279.30,34479
1738593959,282.03,279.05,34531
1738594019,282.01,279.40,34723
1738594079,282.01,279.25,34730
1738594138,282.01,279.00,34767
1738594198,282.01,278.90,34788
1738594258,282.00,278.85,34792
1738594319,282.00,278.85,34798
1738594379,282.00,278.85,34799
1738594439,282.00,278.50,34800
1738594499,281.97,278.75,35148
1738594559,281.94,278.80,35531
1738594619,281.94,278.80,35531
1738594679,281.94,278.80,35531
1738594739,281.94,278.80,35531
1738594799,281.94,278.80,35531
1738594859,281.94,279.10,35542
1738594918,281.94,279.10,35543
1738594979,281.94,279.35,35562
1738595039,281.93,279.00,35627
1738595099,281.93,279.00,35631
1738595159,281.91,278.70,35821
1738595219,281.91,278.70,35821
1738595279,281.91,278.40,35876
1738595339,281.85,278.10,36525
1738595399,281.85,278.75,36531
1738595459,281.84,278.50,36634
1738595518,281.83,278.65,36710
1738595579,281.83,278.65,36710
1738595639,281.83,278.65,36710
1738595699,281.83,278.95,36730
1738595759,281.83,278.10,36752
1738595819,281.81,278.55,36872
1738595879,281.81,278.05,36877
1738595938,281.81,278.05,36947
1738595999,281.78,278.00,37180
1738596059,281.78,278.20,37186
1738596118,281.76,279.00,37406
1738596179,281.76,279.00,37406
1738596239,281.76,279.00,37406
1738596299,281.74,278.90,37741
1738596359,281.74,278.85,37761
1738596419,281.73,278.75,37840
1738596479,281.71,278.30,38040
1738596539,281.64,279.15,38856
1738596599,281.62,278.70,39157
1738596612,281.62,278.70,39157
1738596676,281.62,278.70,39157
1738597201,281.62,278.70,39157
1738598119,281.62,278.70,39157
1738598401,281.62,278.70,39157
1738598487,281.62,278.70,39157
t,ap,cp,v
1738573634,289.50,289.50,252
1738573682,289.50,289.50,252
1738573740,289.50,289.50,252
1738574159,289.23,288.20,778
1738574219,288.31,286.70,1573
1738574279,288.31,287.00,1578
1738574339,288.30,288.00,1628
1738574399,288.27,288.15,1673
1738574458,288.16,286.95,2009
1738574518,287.89,286.55,2297
1738574579,287.80,286.95,2487
1738574638,287.78,287.90,2836
1738574697,287.74,286.80,3044
1738574759,287.79,289.05,3987
1738574819,287.88,289.25,4217
1738574879,287.91,289.75,4286
1738574939,288.06,288.40,5231
1738574999,288.06,288.25,5400
1738575059,288.02,287.20,5625
1738575119,288.01,286.90,5798
1738575179,287.99,286.10,5856
1738575238,287.99,285.50,5864
1738575298,287.95,285.75,5975
1738575359,287.86,285.35,6215
1738575419,287.57,285.10,6883
1738575479,287.56,285.00,6892
1738575539,287.56,284.90,6896
1738575599,287.46,284.25,7117
1738575659,287.41,285.00,7258
1738575719,287.41,284.50,7265
1738575779,287.11,285.10,8274
1738575839,287.00,285.05,8724
1738575899,287.00,284.00,8734
1738575959,286.88,283.30,9035
1738576017,286.82,284.25,9207
1738576079,286.81,284.00,9254
1738576139,286.79,284.75,9329
1738576199,286.79,284.55,9333
1738576259,286.79,284.55,9333
1738576318,286.76,284.45,9451
1738576378,286.74,284.00,9512
1738576437,286.74,284.00,9512
1738576499,286.71,284.10,9612
1738576559,286.63,283.55,9877
1738576619,286.63,283.50,9888
1738576679,286.43,282.30,10361
1738576739,286.43,282.30,10361
1738576799,286.32,282.50,10664
1738576859,286.29,282.55,10768
1738576919,286.24,282.85,10913
1738576979,286.22,282.80,10985
1738577039,286.18,282.45,11095
1738577099,286.15,282.00,11182
1738577159,285.98,282.20,11682
1738577219,285.98,282.20,11682
1738577279,285.92,282.20,11873
1738577338,285.89,282.30,11985
1738577399,285.86,282.10,12060
1738577459,285.83,282.10,12168
1738577519,285.83,282.55,12178
1738577579,285.78,282.25,12369
1738577639,285.76,282.05,12433
1738577699,285.75,282.30,12466
1738577759,285.60,281.45,12926
1738577819,285.59,281.60,12963
1738577879,285.55,281.60,13069
1738577939,285.55,281.50,13094
1738577999,285.55,281.50,13094
1738578059,285.53,281.35,13141
1738578118,285.53,282.00,13151
1738578178,285.52,282.10,13198
1738578239,285.49,282.05,13300
1738578299,285.49,282.00,13311
1738578358,285.26,282.30,14318
1738578419,285.26,282.30,14318
1738578477,285.26,282.30,14319
1738578539,285.26,281.65,14320
1738578599,285.26,281.20,14346
1738578659,285.21,281.50,14516
1738578719,285.06,281.25,15096
1738578779,285.06,281.00,15098
1738578839,285.04,281.05,15147
1738578898,285.02,281.00,15234
1738578959,285.01,281.65,15286
1738579019,285.01,281.65,15286
1738579079,285.01,281.65,15286
1738579139,285.00,281.00,15340
1738579199,284.99,280.55,15371
1738579259,284.98,280.95,15378
1738579319,284.98,281.15,15401
1738579378,284.98,281.15,15401
1738579438,284.96,281.25,15487
1738579499,284.96,282.00,15492
1738579559,284.86,282.50,16117
1738579619,284.86,282.50,16117
1738579679,284.86,282.75,16129
1738579739,284.86,282.00,16133
1738579798,284.75,280.40,16687
1738579859,284.52,280.70,17649
1738579919,284.45,280.45,17939
1738579979,284.32,280.05,18472
1738580039,284.31,280.05,18513
1738580099,284.21,279.70,18965
1738580159,284.18,280.35,19118
1738580219,284.18,279.75,19120
1738580279,284.05,279.95,19664
1738580339,283.99,279.85,19956
1738580398,283.97,279.75,20046
1738580458,283.97,279.75,20046
1738580519,283.78,280.00,21046
1738580579,283.78,279.95,21053
1738580639,283.78,279.80,21060
1738580699,283.78,279.80,21060
1738580757,283.78,279.60,21065
1738580817,283.78,279.60,21065
1738580878,283.78,279.60,21065
1738580939,283.77,279.85,21132
1738580999,283.77,279.20,21133
1738581059,283.74,279.95,21283
1738581116,283.74,279.45,21284
1738581179,283.72,279.45,21385
1738581237,283.72,279.45,21385
1738581299,283.72,279.45,21385
1738581357,283.72,279.45,21385
1738581419,283.72,280.25,21388
1738581479,283.69,280.45,21571
1738581539,283.69,280.55,21575
1738581599,283.69,280.50,21601
1738581656,283.67,280.50,21695
1738581719,283.67,280.50,21695
1738581779,283.67,280.50,21742
1738581839,283.63,279.85,21976
1738581896,283.63,279.85,21982
1738581959,283.63,279.85,21982
1738582019,283.63,279.85,21982
1738582078,283.63,279.85,21982
1738582139,283.62,279.55,21983
1738582197,283.62,279.55,21983
1738582258,283.62,279.20,21994
1738582319,283.49,278.95,22612
1738582379,283.29,278.50,23611
1738582439,283.25,278.90,23812
1738582499,283.25,278.25,23840
1738582559,283.25,278.90,23845
1738582619,283.23,278.75,23949
1738582679,283.23,278.75,23949
1738582739,283.22,278.75,23952
1738582799,283.22,278.25,23953
1738582859,283.21,278.20,24002
1738582917,283.20,278.65,24071
1738582979,283.20,278.65,24071
1738583039,283.18,278.20,24161
1738583099,283.18,278.20,24161
1738583159,283.18,278.20,24161
1738583219,283.18,278.20,24161
1738583279,283.18,278.95,24162
1738583339,283.18,278.80,24163
1738583396,283.18,278.80,24163
1738583459,283.18,278.80,24163
1738583519,283.18,278.80,24164
1738583578,283.18,278.50,24180
1738583638,283.18,278.80,24181
1738583698,283.17,278.60,24213
1738583759,282.90,278.70,25772
1738583819,282.90,278.70,25772
1738583879,282.90,278.75,25781
1738583939,282.90,278.70,25802
1738583999,282.90,278.70,25804
1738584059,282.90,278.70,25804
1738584118,282.90,278.70,25804
1738584179,282.90,279.15,25807
1738584239,282.89,278.90,25832
1738584297,282.89,279.15,25842
1738584358,282.89,279.15,25842
1738584418,282.89,279.15,25842
1738584479,282.89,278.75,25843
1738584537,282.83,278.75,26258
1738584599,282.83,278.75,26260
1738584659,282.83,278.70,26273
1738584718,282.83,278.45,26278
1738584779,282.83,278.45,26278
1738584838,282.82,278.70,26357
1738584899,282.82,278.55,26362
1738584959,282.82,278.85,26366
1738585019,282.81,278.75,26417
1738585079,282.81,278.75,26418
1738585139,282.81,278.75,26418
1738585197,282.81,278.75,26418
1738585259,282.81,278.40,26419
1738585319,282.81,278.40,26419
1738585378,282.79,278.40,26510
1738585439,282.77,278.40,26671
1738585499,282.70,278.35,27071
1738585559,282.70,278.30,27073
1738585619,282.70,278.30,27073
1738585679,282.70,278.80,27109
1738585739,282.70,278.65,27111
1738585799,282.69,278.60,27141
1738585858,282.69,278.60,27142
1738585916,282.69,278.95,27157
1738585979,282.69,279.55,27177
1738586039,282.69,279.30,27214
1738586099,282.69,279.30,27214
1738586157,282.66,279.05,27417
1738586219,282.66,279.00,27437
1738586279,282.66,279.00,27443
1738586338,282.66,278.60,27455
1738586399,282.66,278.60,27455
1738586459,282.66,278.60,27455
1738586518,282.66,278.60,27455
1738586579,282.65,279.20,27471
1738586639,282.65,278.80,27491
1738586697,282.65,278.80,27491
1738586759,282.65,278.80,27491
1738586819,282.65,279.30,27493
1738586877,282.65,279.30,27493
1738586939,282.65,278.80,27518
1738586999,282.65,278.80,27518
1738587059,282.63,279.25,27625
1738587118,282.63,278.80,27649
1738587179,282.60,278.60,27865
1738587239,282.60,278.60,27865
1738587299,282.60,278.60,27865
1738587357,282.59,278.70,27917
1738587417,282.56,279.35,28177
1738587479,282.56,278.85,28188
1738587537,282.56,278.85,28188
1738587599,282.54,279.15,28318
1738587657,282.50,279.25,28668
1738587718,282.50,279.25,28668
1738587779,282.50,279.25,28668
1738587839,282.50,279.95,28669
1738587898,282.50,279.95,28669
1738587957,282.50,279.95,28669
1738588019,282.50,279.55,28672
1738588079,282.50,279.55,28672
1738588137,282.50,279.55,28672
1738588198,282.49,279.50,28724
1738588259,282.41,280.40,29823
1738588317,282.41,279.55,29843
1738588379,282.41,280.00,29895
1738588439,282.39,280.10,30174
1738588499,282.39,280.55,30224
1738588559,282.39,280.55,30224
1738588619,282.39,280.55,30224
1738588679,282.38,280.30,30391
1738588739,282.36,280.30,30648
1738588799,282.31,280.10,31413
1738588858,282.31,279.85,31428
1738588918,282.31,279.85,31428
1738588979,282.31,279.85,31428
1738589036,282.31,280.10,31440
1738589099,282.30,279.55,31443
1738589159,282.30,279.55,31444
1738589219,282.30,279.55,31449
1738589279,282.29,279.55,31641
1738589339,282.26,279.50,31958
1738589398,282.26,279.35,31967
1738589459,282.26,279.10,32002
1738589519,282.25,279.60,32095
1738589578,282.25,279.60,32095
1738589638,282.25,279.60,32095
1738589698,282.25,279.60,32095
1738589759,282.25,279.60,32095
1738589819,282.20,279.00,32620
1738589879,282.20,279.55,32623
1738589938,282.20,279.55,32623
1738589999,282.20,279.45,32625
1738590059,282.20,279.45,32625
1738590119,282.20,279.45,32625
1738590179,282.19,279.45,32725
1738590237,282.19,279.45,32725
1738590299,282.19,279.45,32725
1738590359,282.19,278.90,32757
1738590418,282.18,279.70,32857
1738590477,282.18,279.70,32857
1738590539,282.18,279.40,32862
1738590599,282.18,279.40,32862
1738590658,282.18,279.40,32862
1738590719,282.17,278.95,32928
1738590775,282.17,278.95,32928
1738590839,282.17,278.80,32929
1738590898,282.17,279.15,33010
1738590959,282.16,278.70,33040
1738591018,282.16,278.70,33052
1738591079,282.16,278.70,33056
1738591138,282.16,278.70,33061
1738591199,282.16,278.70,33097
1738591258,282.15,278.90,33162
1738591317,282.15,278.85,33173
1738591379,282.14,278.85,33273
1738591436,282.14,278.85,33273
1738591498,282.13,279.05,33324
1738591556,282.13,279.05,33324
1738591616,282.12,279.05,33425
1738591679,282.12,279.05,33425
1738591739,282.12,278.85,33442
1738591797,282.12,278.85,33442
1738591859,282.12,278.85,33443
1738591919,282.12,278.80,33445
1738591979,282.12,279.25,33448
1738592039,282.12,279.30,33501
1738592099,282.11,278.85,33525
1738592158,282.11,278.80,33558
1738592219,282.11,279.25,33583
1738592279,282.11,278.70,33591
1738592338,282.11,278.70,33594
1738592399,282.11,278.70,33596
1738592459,282.11,278.70,33621
1738592519,282.10,278.65,33715
1738592579,282.10,278.65,33715
1738592638,282.10,278.65,33715
1738592698,282.10,278.65,33715
1738592759,282.09,278.85,33766
1738592818,282.09,279.35,33816
1738592878,282.09,278.85,33819
1738592939,282.09,278.85,33819
1738592999,282.09,279.55,33820
1738593059,282.09,279.00,33821
1738593119,282.09,279.00,33821
1738593178,282.09,278.80,33826
1738593239,282.08,278.50,33854
1738593299,282.08,279.15,33909
1738593358,282.08,279.15,33909
1738593419,282.07,279.00,34039
1738593478,282.07,279.00,34039
1738593539,282.07,278.85,34047
1738593599,282.07,278.90,34048
1738593659,282.07,278.85,34054
1738593719,282.06,278.85,34066
1738593779,282.06,278.85,34066
1738593838,282.06,278.75,34067
1738593899,282.03,279.30,34479
1738593959,282.03,279.05,34531
1738594019,282.01,279.40,34723
1738594079,282.01,279.25,34730
1738594138,282.01,279.00,34767
1738594198,282.01,278.90,34788
1738594258,282.00,278.85,34792
1738594319,282.00,278.85,34798
1738594379,282.00,278.85,34799
1738594439,282.00,278.50,34800
1738594499,281.97,278.75,35148
1738594559,281.94,278.80,35531
1738594619,281.94,278.80,35531
1738594679,281.94,278.80,35531
1738594739,281.94,278.80,35531
1738594799,281.94,278.80,35531
1738594859,281.94,279.10,35542
1738594918,281.94,279.10,35543
1738594979,281.94,279.35,35562
1738595039,281.93,279.00,35627
1738595099,281.93,279.00,35631
1738595159,281.91,278.70,35821
1738595219,281.91,278.70,35821
1738595279,281.91,278.40,35876
1738595339,281.85,278.10,36525
1738595399,281.85,278.75,36531
1738595459,281.84,278.50,36634
1738595518,281.83,278.65,36710
1738595579,281.83,278.65,36710
1738595639,281.83,278.65,36710
1738595699,281.83,278.95,36730
1738595759,281.83,278.10,36752
1738595819,281.81,278.55,36872
1738595879,281.81,278.05,36877
1738595938,281.81,278.05,36947
1738595999,281.78,278.00,37180
1738596059,281.78,278.20,37186
1738596118,281.76,279.00,37406
1738596179,281.76,279.00,37406
1738596239,281.76,279.00,37406
1738596299,281.74,278.90,37741
1738596359,281.74,278.85,37761
1738596419,281.73,278.75,37840
1738596479,281.71,278.30,38040
1738596539,281.64,279.15,38856
1738596599,281.62,278.70,39157
1738596612,281.62,278.70,39157
1738596676,281.62,278.70,39157
1738597201,281.62,278.70,39157
1738598119,281.62,278.70,39157
1738598401,281.62,278.70,39157
1738598487,281.62,278.70,39157
t,ap,cp,v
1738573634,289.50,289.50,252
1738573682,289.50,289.50,252
1738573740,289.50,289.50,252
1738574159,289.23,288.20,778
1738574219,288.31,286.70,1573
1738574279,288.31,287.00,1578
1738574339,288.30,288.00,1628
1738574399,288.27,288.15,1673
1738574458,288.16,286.95,2009
1738574518,287.89,286.55,2297
1738574579,287.80,286.95,2487
1738574638,287.78,287.90,2836
1738574697,287.74,286.80,3044
1738574759,287.79,289.05,3987
1738574819,287.88,289.25,4217
1738574879,287.91,289.75,4286
1738574939,288.06,288.40,5231
1738574999,288.06,288.25,5400
1738575059,288.02,287.20,5625
1738575119,288.01,286.90,5798
1738575179,287.99,286.10,5856
1738575238,287.99,285.50,5864
1738575298,287.95,285.75,5975
1738575359,287.86,285.35,6215
1738575419,287.57,285.10,6883
1738575479,287.56,285.00,6892
1738575539,287.56,284.90,6896
1738575599,287.46,284.25,7117
1738575659,287.41,285.00,7258
1738575719,287.41,284.50,7265
1738575779,287.11,285.10,8274
1738575839,287.00,285.05,8724
1738575899,287.00,284.00,8734
1738575959,286.88,283.30,9035
1738576017,286.82,284.25,9207
1738576079,286.81,284.00,9254
1738576139,286.79,284.75,9329
1738576199,286.79,284.55,9333
1738576259,286.79,284.55,9333
1738576318,286.76,284.45,9451
1738576378,286.74,284.00,9512
1738576437,286.74,284.00,9512
1738576499,286.71,284.10,9612
1738576559,286.63,283.55,9877
1738576619,286.63,283.50,9888
1738576679,286.43,282.30,10361
1738576739,286.43,282.30,10361
1738576799,286.32,282.50,10664
1738576859,286.29,282.55,10768
1738576919,286.24,282.85,10913
1738576979,286.22,282.80,10985
1738577039,286.18,282.45,11095
1738577099,286.15,282.00,11182
1738577159,285.98,282.20,11682
1738577219,285.98,282.20,11682
1738577279,285.92,282.20,11873
1738577338,285.89,282.30,11985
1738577399,285.86,282.10,12060
1738577459,285.83,282.10,12168
1738577519,285.83,282.55,12178
1738577579,285.78,282.25,12369
1738577639,285.76,282.05,12433
1738577699,285.75,282.30,12466
1738577759,285.60,281.45,12926
1738577819,285.59,281.60,12963
1738577879,285.55,281.60,13069
1738577939,285.55,281.50,13094
1738577999,285.55,281.50,13094
1738578059,285.53,281.35,13141
1738578118,285.53,282.00,13151
1738578178,285.52,282.10,13198
1738578239,285.49,282.05,13300
1738578299,285.49,282.00,13311
1738578358,285.26,282.30,14318
1738578419,285.26,282.30,14318
1738578477,285.26,282.30,14319
1738578539,285.26,281.65,14320
1738578599,285.26,281.20,14346
1738578659,285.21,281.50,14516
1738578719,285.06,281.25,15096
1738578779,285.06,281.00,15098
1738578839,285.04,281.05,15147
1738578898,285.02,281.00,15234
1738578959,285.01,281.65,15286
1738579019,285.01,281.65,15286
1738579079,285.01,281.65,15286
1738579139,285.00,281.00,15340
1738579199,284.99,280.55,15371
1738579259,284.98,280.95,15378
1738579319,284.98,281.15,15401
1738579378,284.98,281.15,15401
1738579438,284.96,281.25,15487
1738579499,284.96,282.00,15492
1738579559,284.86,282.50,16117
1738579619,284.86,282.50,16117
1738579679,284.86,282.75,16129
1738579739,284.86,282.00,16133
1738579798,284.75,280.40,16687
1738579859,284.52,280.70,17649
1738579919,284.45,280.45,17939
1738579979,284.32,280.05,18472
1738580039,284.31,280.05,18513
1738580099,284.21,279.70,18965
1738580159,284.18,280.35,19118
1738580219,284.18,279.75,19120
