t,ap,cp,v
1738593479,645.06,645.20,7443
1738593536,645.06,645.20,7443
1738593598,645.06,645.20,7443
1738593659,645.06,645.20,7443
1738593719,645.06,645.20,7443
1738593778,645.06,645.20,7443
1738593839,645.06,645.20,7443
1738593899,645.06,645.20,7443
1738593956,645.06,646.45,7448
1738594019,645.08,646.85,7546
1738594079,645.08,646.85,7546
1738594139,645.08,645.50,7552
1738594199,645.08,645.90,7553
1738594259,645.08,646.25,7599
1738594319,645.08,646.25,7599
1738594379,645.08,646.25,7599
1738594439,645.08,646.25,7599
1738594499,645.08,646.25,7599
1738594559,645.08,646.25,7599
1738594619,645.08,646.20,7600
1738594678,645.08,646.70,7602
1738594736,645.08,646.70,7602
1738594798,645.08,646.70,7602
1738594859,645.08,646.85,7604
1738594919,645.08,646.85,7604
1738594979,645.09,646.85,7615
1738595039,645.09,646.85,7615
1738595099,645.09,646.85,7615
1738595159,645.09,646.85,7615
1738595216,645.09,646.85,7615
1738595279,645.09,646.85,7615
1738595338,645.09,647.20,7626
1738595398,645.09,647.20,7626
1738595459,645.09,647.20,7626
1738595519,645.09,648.25,7636
1738595579,645.09,649.00,7637
1738595639,645.09,649.00,7638
1738595699,645.09,649.00,7638
1738595759,645.09,649.00,7638
1738595819,645.11,648.80,7670
1738595879,645.13,648.50,7728
1738595939,645.18,648.35,7828
1738595999,645.24,648.00,7998
1738596059,645.25,647.20,8023
1738596119,645.25,647.20,8023
1738596179,645.25,647.20,8023
1738596239,645.33,647.75,8231
1738596299,645.34,648.75,8254
1738596358,645.37,648.75,8314
1738596419,645.37,648.65,8315
1738596479,645.37,648.65,8315
1738596536,645.37,648.30,8317
1738596597,645.39,648.90,8371
1738596649,645.39,648.90,8371
1738596676,645.39,648.90,8371
1738597249,645.39,648.90,8371
1738597352,645.39,648.45,8372
1738597622,645.39,648.45,8372
1738598401,645.39,648.45,8372
1738598487,645.39,648.45,8372
1738573635,660.50,660.50,1
1738573725,660.50,660.50,1
1738573741,660.50,660.50,1
1738574159,651.28,650.05,649
1738574219,648.87,646.40,1441
1738574279,648.77,645.10,1484
1738574339,648.76,645.40,1490
1738574399,648.58,645.40,1619
1738574459,648.55,646.85,1643
1738574519,648.52,647.00,1663
1738574579,648.51,647.20,1675
1738574636,648.49,647.10,1705
1738574698,648.37,646.00,1843
1738574759,648.32,647.00,1881
1738574819,648.33,649.95,1887
1738574879,648.49,650.05,2112
1738574939,648.59,649.20,2282
1738574996,648.60,650.50,2293
1738575058,648.62,650.60,2328
1738575119,648.64,650.60,2357
1738575176,648.64,650.60,2357
1738575238,648.65,649.65,2379
1738575298,648.65,649.35,2385
1738575355,648.65,649.35,2385
1738575419,648.65,648.55,2405
1738575479,648.63,646.10,2427
1738575539,648.46,645.00,2557
1738575599,647.70,642.45,2952
1738575659,647.55,643.65,3058
1738575719,647.54,643.55,3064
1738575779,647.51,644.40,3088
1738575837,647.40,644.55,3208
1738575899,647.39,643.00,3211
1738575959,647.39,642.75,3213
1738576017,647.36,643.95,3243
1738576079,647.22,643.75,3375
1738576139,647.03,642.00,3513
1738576198,646.92,641.15,3577
1738576259,646.91,641.00,3586
1738576319,646.90,642.05,3594
1738576379,646.87,642.00,3615
1738576439,646.87,642.00,3615
1738576499,646.87,642.00,3615
1738576559,646.87,642.00,3615
1738576618,646.87,643.55,3617
1738576679,646.87,643.55,3617
1738576739,646.86,643.55,3624
1738576799,646.86,644.30,3626
1738576858,646.85,644.30,3636
1738576919,646.85,644.30,3636
1738576979,646.85,644.30,3636
1738577039,646.85,644.30,3636
1738577099,646.85,644.50,3646
1738577159,646.85,644.50,3646
1738577219,646.82,643.00,3667
1738577279,646.81,643.95,3688
1738577339,646.81,643.95,3688
1738577399,646.80,643.65,3694
1738577459,646.80,644.85,3698
1738577518,646.80,645.35,3702
1738577578,646.80,645.35,3702
1738577639,646.80,645.35,3702
1738577699,646.80,645.35,3702
1738577759,646.80,645.45,3706
1738577819,646.80,645.45,3706
1738577877,646.80,645.45,3708
1738577938,646.80,644.70,3710
1738577999,646.79,644.95,3712
1738578059,646.76,644.55,3786
1738578119,646.76,644.55,3786
1738578175,646.76,644.55,3786
1738578239,646.75,646.25,3805
1738578299,646.75,646.70,3846
1738578351,646.75,646.15,3876
1738578419,646.75,646.15,3876
1738578479,646.75,646.15,3876
1738578535,646.66,644.95,4108
1738578599,646.64,643.55,4140
1738578659,646.64,643.55,4140
1738578719,646.64,643.55,4140
1738578779,646.52,643.65,4312
1738578839,646.52,643.65,4312
1738578898,646.52,643.65,4312
1738578959,646.51,643.95,4327
1738579016,646.51,643.95,4327
1738579079,646.51,643.95,4327
1738579139,646.51,643.95,4327
1738579199,646.50,643.75,4347
1738579259,646.50,643.75,4347
1738579319,646.50,643.75,4347
1738579374,646.50,643.75,4347
1738579433,646.50,645.75,4363
1738579499,646.49,646.05,4403
1738579559,646.49,646.35,4423
1738579614,646.49,646.55,4458
1738579679,646.49,646.20,4478
1738579739,646.49,646.20,4478
1738579799,646.47,644.05,4528
1738579859,646.46,644.85,4544
1738579919,646.46,643.90,4550
1738579979,646.44,644.00,4574
1738580039,646.41,643.10,4620
1738580099,646.40,643.80,4636
1738580159,646.39,643.45,4660
1738580219,646.39,643.45,4660
1738580278,646.38,644.85,4662
1738580334,646.38,645.25,4666
1738580399,646.38,645.25,4666
1738580458,646.38,644.95,4671
1738580519,646.38,645.90,4687
1738580579,646.38,645.90,4687
1738580637,646.38,645.20,4688
1738580697,646.36,644.30,4731
1738580759,646.36,644.30,4731
1738580819,646.36,644.30,4731
1738580879,646.36,645.80,4747
1738580939,646.36,645.80,4747
1738580991,646.36,645.80,4747
1738581056,646.36,647.20,4762
1738581119,646.39,648.15,4837
1738581179,646.39,648.20,4842
1738581239,646.39,649.05,4849
1738581299,646.41,650.25,4869
1738581359,646.41,650.25,4869
1738581418,646.51,649.85,5011
1738581475,646.56,650.80,5069
1738581536,646.56,650.80,5069
1738581599,646.56,650.80,5071
1738581659,646.56,650.80,5071
1738581719,646.62,649.85,5173
1738581777,646.63,648.00,5187
1738581839,646.63,646.80,5189
1738581899,646.63,646.80,5189
1738581957,646.63,646.80,5189
1738582019,646.63,645.70,5197
1738582079,646.62,645.10,5206
1738582139,646.62,643.70,5216
1738582199,646.62,643.70,5216
1738582257,646.58,644.65,5317
1738582315,646.58,644.65,5317
1738582379,646.58,644.65,5317
1738582439,646.58,644.90,5325
1738582495,646.57,643.00,5345
1738582559,646.57,643.00,5345
1738582619,646.56,643.00,5360
1738582678,646.53,641.00,5393
1738582739,646.17,639.60,5713
1738582799,646.17,639.60,5713
1738582859,646.15,639.00,5724
1738582919,645.95,639.35,5893
1738582976,645.95,639.75,5895
1738583039,645.90,639.40,5946
1738583099,645.90,639.40,5946
1738583159,645.90,639.40,5946
1738583219,645.89,640.65,5950
1738583279,645.88,641.90,5975
1738583339,645.87,641.75,5977
1738583393,645.87,642.15,5981
1738583459,645.87,640.60,5985
1738583519,645.76,640.25,6086
1738583573,645.75,640.40,6097
1738583636,645.75,640.35,6103
1738583699,645.75,640.35,6103
1738583758,645.74,639.60,6113
1738583819,645.74,639.60,6113
1738583879,645.73,640.30,6116
1738583939,645.73,640.30,6116
1738583998,645.73,640.20,6118
1738584059,645.71,640.70,6147
1738584119,645.71,640.70,6147
1738584178,645.71,640.70,6147
1738584239,645.71,640.70,6147
1738584299,645.71,640.70,6147
1738584359,645.71,640.70,6147
1738584419,645.55,640.65,6349
1738584479,645.55,642.20,6354
1738584539,645.55,642.95,6355
1738584599,645.49,642.65,6492
1738584657,645.48,642.50,6497
1738584719,645.48,643.30,6507
1738584778,645.48,643.30,6507
1738584839,645.48,643.30,6507
1738584893,645.48,643.30,6507
1738584958,645.48,643.30,6507
1738585018,645.48,643.30,6507
1738585077,645.48,643.30,6507
1738585137,645.48,643.30,6507
1738585199,645.48,643.30,6507
1738585259,645.48,643.30,6507
1738585317,645.48,643.30,6507
1738585379,645.48,643.30,6507
1738585423,645.48,643.30,6507
1738585498,645.47,641.55,6516
1738585559,645.47,641.55,6516
1738585619,645.47,641.55,6516
1738585679,645.47,641.55,6516
1738585739,645.47,641.55,6516
1738585799,645.47,642.75,6519
1738585859,645.47,642.75,6519
1738585919,645.47,642.75,6519
1738585979,645.47,642.75,6519
1738586035,645.47,642.75,6519
1738586099,645.47,642.75,6519
1738586159,645.47,642.75,6519
1738586219,645.47,641.60,6524
1738586279,645.46,640.45,6546
1738586339,645.46,640.45,6546
1738586399,645.46,640.45,6546
1738586459,645.46,640.45,6546
1738586519,645.46,640.45,6546
1738586577,645.45,640.00,6558
1738586636,645.44,639.50,6559
1738586699,645.44,639.00,6566
1738586759,645.44,639.00,6566
1738586819,645.44,639.00,6566
1738586879,645.33,638.50,6672
1738586938,645.33,638.50,6672
1738586995,645.33,638.50,6672
1738587055,645.29,639.05,6712
1738587113,645.27,639.45,6732
1738587178,645.27,639.45,6732
1738587239,645.27,639.45,6732
1738587298,645.27,639.45,6732
1738587356,645.23,639.45,6783
1738587416,645.20,639.60,6824
1738587475,645.20,639.60,6824
1738587539,645.16,640.50,6865
1738587599,645.16,640.50,6865
1738587656,645.16,641.15,6866
1738587719,645.16,641.15,6866
1738587778,645.16,641.15,6866
1738587839,645.13,643.65,6971
1738587899,645.13,643.65,6971
1738587959,645.12,642.70,6987
1738588019,645.12,642.70,6987
1738588078,645.12,643.50,6989
1738588136,645.12,643.50,6989
1738588199,645.12,644.30,6997
1738588259,645.12,644.30,6997
1738588319,645.12,643.35,7002
1738588378,645.12,643.35,7002
1738588439,645.12,643.35,7002
1738588494,645.12,643.35,7002
1738588559,645.12,643.35,7002
1738588615,645.12,643.35,7002
1738588679,645.12,643.35,7002
1738588739,645.12,643.25,7007
1738588798,645.12,643.05,7010
1738588858,645.12,643.05,7010
1738588918,645.12,643.05,7010
1738588979,645.12,642.00,7013
1738589036,645.12,642.00,7013
1738589098,645.12,642.00,7013
1738589159,645.11,641.70,7030
1738589216,645.11,641.70,7030
1738589279,645.10,642.55,7046
1738589338,645.10,642.55,7046
1738589399,645.10,642.55,7046
1738589454,645.10,642.55,7046
1738589516,645.10,642.55,7046
1738589579,645.10,642.55,7046
1738589639,645.10,642.55,7059
1738589699,645.10,642.40,7063
1738589758,645.10,642.40,7063
1738589819,645.10,644.05,7064
1738589878,645.10,644.05,7064
1738589938,645.10,644.05,7064
1738589999,645.10,644.05,7064
1738590059,645.09,645.00,7081
1738590117,645.09,645.00,7081
1738590179,645.09,645.00,7081
1738590239,645.09,645.00,7081
1738590298,645.09,644.30,7082
1738590359,645.09,644.30,7082
1738590419,645.09,644.20,7088
1738590478,645.09,645.00,7189
1738590538,645.09,645.00,7189
1738590599,645.09,645.00,7189
1738590658,645.09,644.80,7257
1738590717,645.09,645.70,7258
1738590779,645.09,645.70,7258
1738590839,645.09,645.70,7258
1738590899,645.09,644.00,7260
1738590959,645.09,644.00,7260
1738591017,645.09,643.40,7261
1738591079,645.09,643.40,7261
1738591139,645.09,643.45,7265
1738591193,645.09,642.90,7266
1738591259,645.09,642.90,7266
1738591319,645.09,642.90,7266
1738591379,645.09,643.00,7268
1738591436,645.09,643.00,7268
1738591499,645.09,643.00,7268
1738591559,645.09,643.00,7268
1738591619,645.09,643.00,7268
1738591679,645.09,643.00,7268
1738591739,645.09,645.00,7289
1738591797,645.09,645.00,7289
1738591854,645.09,645.00,7289
1738591919,645.09,645.00,7289
1738591979,645.09,645.00,7290
1738592038,645.09,645.00,7290
1738592098,645.09,644.15,7296
1738592159,645.09,644.15,7296
1738592219,645.09,644.15,7296
1738592277,645.09,643.45,7299
1738592339,645.09,643.45,7299
1738592398,645.08,642.65,7329
1738592459,645.08,642.65,7329
1738592516,645.08,642.65,7329
1738592579,645.08,642.65,7329
1738592639,645.08,642.65,7329
1738592698,645.06,642.90,7404
1738592759,645.06,644.10,7408
1738592819,645.06,645.00,7409
1738592879,645.06,645.00,7409
1738592939,645.06,645.00,7409
1738592999,645.06,643.75,7431
1738593059,645.06,643.75,7431
1738593115,645.06,642.75,7434
1738593179,645.06,643.70,7442
1738593239,645.06,643.70,7442
1738593285,645.06,645.20,7443
1738593359,645.06,645.20,7443
1738593416,645.06,645.20,7443
1738593479,645.06,645.20,7443
1738593536,645.06,645.20,7443
1738593598,645.06,645.20,7443
1738593659,645.06,645.20,7443
1738593719,645.06,645.20,7443
1738593778,645.06,645.20,7443
1738593839,645.06,645.20,7443
1738593899,645.06,645.20,7443
1738593956,645.06,646.45,7448
1738594019,645.08,646.85,7546
1738594079,645.08,646.85,7546
1738594139,645.08,645.50,7552
1738594199,645.08,645.90,7553
1738594259,645.08,646.25,7599
1738594319,645.08,646.25,7599
1738594379,645.08,646.25,7599
1738594439,645.08,646.25,7599
1738594499,645.08,646.25,7599
1738594559,645.08,646.25,7599
1738594619,645.08,646.20,7600
1738594678,645.08,646.70,7602
1738594736,645.08,646.70,7602
1738594798,645.08,646.70,7602
1738594859,645.08,646.85,7604
1738594919,645.08,646.85,7604
1738594979,645.09,646.85,7615
1738595039,645.09,646.85,7615
1738595099,645.09,646.85,7615
1738595159,645.09,646.85,7615
1738595216,645.09,646.85,7615
1738595279,645.09,646.85,7615
1738595338,645.09,647.20,7626
1738595398,645.09,647.20,7626
1738595459,645.09,647.20,7626
1738595519,645.09,648.25,7636
1738595579,645.09,649.00,7637
1738595639,645.09,649.00,7638
1738595699,645.09,649.00,7638
1738595759,645.09,649.00,7638
1738595819,645.11,648.80,7670
1738595879,645.13,648.50,7728
1738595939,645.18,648.35,7828
1738595999,645.24,648.00,7998
1738596059,645.25,647.20,8023
1738596119,645.25,647.20,8023
1738596179,645.25,647.20,8023
1738596239,645.33,647.75,8231
1738596299,645.34,648.75,8254
1738596358,645.37,648.75,8314
1738596419,645.37,648.65,8315
1738596479,645.37,648.65,8315
1738596536,645.37,648.30,8317
1738596597,645.39,648.90,8371
1738596649,645.39,648.90,8371
1738596676,645.39,648.90,8371
1738597249,645.39,648.90,8371
1738597352,645.39,648.45,8372
1738597622,645.39,648.45,8372
1738598401,645.39,648.45,8372
1738598487,645.39,648.45,8372
