t,ap,cp,v
1738580817,49.55,49.40,94601
1738580879,49.55,49.41,94661
1738580935,49.55,49.41,94661
1738580995,49.55,49.38,95449
1738581059,49.55,49.45,95608
1738581119,49.55,49.45,95608
1738581179,49.55,49.40,95619
1738581239,49.55,49.45,95634
1738581299,49.55,49.43,95644
1738581357,49.55,49.41,95670
1738581419,49.55,49.41,95670
1738581479,49.55,49.52,97539
1738581539,49.55,49.56,97540
1738581598,49.55,49.56,97540
1738581657,49.55,49.45,97840
1738581716,49.55,49.45,97840
1738581779,49.54,49.38,101657
1738581839,49.54,49.36,103157
1738581899,49.54,49.38,103357
1738581959,49.54,49.42,103370
1738582018,49.53,49.31,107365
1738582079,49.53,49.31,107365
1738582139,49.53,49.39,108365
1738582198,49.53,49.27,109091
1738582259,49.53,49.27,109091
1738582316,49.53,49.27,109091
1738582377,49.53,49.35,109191
1738582439,49.53,49.28,109204
1738582499,49.53,49.26,109659
1738582559,49.53,49.22,110321
1738582618,49.53,49.21,110371
1738582679,49.53,49.22,110527
1738582739,49.52,49.16,112893
1738582799,49.52,49.15,113437
1738582859,49.52,49.15,113437
1738582919,49.52,49.15,113437
1738582979,49.52,49.15,113437
1738583039,49.52,49.15,113437
1738583098,49.52,49.15,113437
1738583159,49.52,49.17,113592
1738583218,49.52,49.20,113593
1738583279,49.52,49.26,113893
1738583339,49.52,49.25,113943
1738583398,49.52,49.21,114099
1738583459,49.52,49.21,114099
1738583518,49.52,49.21,114099
1738583579,49.52,49.15,114208
1738583639,49.52,49.15,114208
1738583699,49.52,49.15,114208
1738583758,49.52,49.15,114208
1738583819,49.52,49.15,114230
1738583878,49.52,49.15,114230
1738583939,49.51,49.14,114860
1738583999,49.51,49.14,114860
1738584058,49.51,49.14,114860
1738584119,49.51,49.14,114860
1738584179,49.51,49.11,114960
1738584239,49.51,49.11,114960
1738584298,49.51,49.11,114960
1738584359,49.51,49.14,115010
1738584419,49.51,49.10,116300
1738584479,49.51,49.07,116959
1738584538,49.51,49.07,116959
1738584598,49.50,49.07,118188
1738584656,49.50,49.07,118239
1738584719,49.50,49.10,118849
1738584776,49.50,49.10,118849
1738584839,49.50,49.10,118849
1738584899,49.50,49.10,118849
1738584959,49.50,49.10,118849
1738585019,49.50,49.05,118850
1738585079,49.50,49.06,118851
1738585139,49.50,49.05,119217
1738585199,49.49,48.98,122391
1738585259,49.49,48.98,122391
1738585316,49.49,48.99,122392
1738585379,49.49,48.99,122394
1738585439,49.49,48.99,122394
1738585499,49.49,48.99,122394
1738585559,49.49,48.95,122455
1738585619,49.48,49.03,123455
1738585677,49.48,48.99,123456
1738585739,49.48,48.99,123456
1738585797,49.48,49.03,123907
1738585859,49.48,49.03,123957
1738585919,49.48,49.03,123968
1738585978,49.48,49.03,124359
1738586039,49.48,48.98,124397
1738586099,49.48,48.98,124397
1738586159,49.48,48.98,124397
1738586218,49.48,48.98,124398
1738586278,49.48,48.98,124398
1738586337,49.48,48.98,124398
1738586399,49.48,48.98,124399
1738586459,49.48,48.98,124400
1738586516,49.48,48.98,124400
1738586579,49.48,48.98,124400
1738586636,49.48,48.95,124650
1738586699,49.48,48.97,124952
1738586758,49.48,48.97,124952
1738586818,49.47,48.81,126753
1738586879,49.47,48.83,126803
1738586939,49.47,48.82,126806
1738586999,49.47,48.82,126806
1738587057,49.47,48.91,126808
1738587117,49.47,48.91,126808
1738587178,49.47,48.91,126808
1738587238,49.47,48.91,126808
1738587297,49.47,48.91,126808
1738587359,49.47,48.91,126808
1738587419,49.47,48.91,126808
1738587479,49.47,48.90,126858
1738587538,49.47,48.91,126958
1738587599,49.47,48.90,127058
1738587657,49.47,48.94,127118
1738587718,49.46,48.95,127200
1738587778,49.46,48.95,127200
1738587839,49.46,48.99,128854
1738587899,49.46,49.00,128855
1738587959,49.46,49.00,128855
1738588019,49.46,48.97,128944
1738588079,49.46,48.97,128944
1738588139,49.46,49.03,129294
1738588198,49.46,48.95,129304
1738588258,49.46,49.04,129344
1738588318,49.46,49.07,129394
1738588375,49.46,49.07,129394
1738588439,49.46,49.07,129394
1738588499,49.46,49.07,129394
1738588554,49.46,49.07,129394
1738588614,49.46,49.07,129394
1738588679,49.46,49.07,129397
1738588738,49.46,49.01,129420
1738588798,49.46,49.03,129490
1738588858,49.46,48.95,129530
1738588918,49.46,48.95,129530
1738588979,49.46,48.95,129530
1738589039,49.46,49.00,129536
1738589098,49.46,49.00,129536
1738589157,49.46,48.95,129638
1738589219,49.46,48.95,129638
1738589279,49.46,48.90,129771
1738589339,49.45,48.87,130773
1738589399,49.45,48.84,130781
1738589458,49.45,48.84,130781
1738589519,49.45,48.88,130784
1738589579,49.45,48.91,130786
1738589636,49.45,48.90,130807
1738589699,49.45,48.90,130807
1738589754,49.45,48.90,130807
1738589819,49.45,48.93,130830
1738589878,49.45,48.91,131004
1738589939,49.45,48.91,131004
1738589998,49.45,48.99,131005
1738590059,49.45,48.99,131005
1738590118,49.45,48.99,131005
1738590179,49.45,48.94,131106
1738590238,49.45,48.94,131106
1738590299,49.45,48.94,131106
1738590358,49.45,48.94,131106
1738590417,49.45,48.94,131106
1738590479,49.45,48.94,131106
1738590538,49.45,48.94,131106
1738590599,49.45,48.94,131106
1738590659,49.45,48.94,131106
1738590719,49.45,48.90,131315
1738590779,49.45,48.89,131320
1738590839,49.45,48.89,131395
1738590899,49.45,48.89,131396
1738590959,49.45,48.89,131396
1738591014,49.45,48.89,131396
1738591078,49.45,48.84,131947
1738591139,49.45,48.84,131947
1738591199,49.45,48.84,131947
1738591255,49.45,48.84,131947
1738591319,49.45,48.84,131965
1738591379,49.44,48.87,132965
1738591438,49.44,48.89,133327
1738591499,49.44,48.90,133377
1738591559,49.44,48.90,133377
1738591619,49.44,48.90,133378
1738591679,49.44,48.89,134478
1738591737,49.44,48.89,134478
1738591799,49.43,48.93,135128
1738591856,49.43,48.98,136328
1738591919,49.43,48.98,137331
1738591978,49.42,49.00,138331
1738592037,49.42,49.00,138331
1738592099,49.42,49.00,138331
1738592158,49.42,49.03,138831
1738592218,49.42,48.95,138832
1738592278,49.42,48.99,138841
1738592339,49.42,48.93,139305
1738592399,49.42,48.97,139315
1738592457,49.42,48.95,139317
1738592519,49.42,48.86,139378
1738592578,49.42,48.86,139378
1738592639,49.42,48.87,140437
1738592699,49.42,48.87,140437
1738592751,49.42,48.87,140437
1738592818,49.42,48.87,140437
1738592879,49.42,48.94,140438
1738592938,49.42,48.94,140438
1738592997,49.41,48.95,140986
1738593059,49.41,48.95,140986
1738593119,49.41,48.95,140986
1738593179,49.41,48.95,140986
1738593236,49.41,48.91,141034
1738593299,49.41,48.91,141034
1738593358,49.41,48.98,141134
1738593416,49.41,48.95,141139
1738593479,49.41,48.95,141139
1738593535,49.41,48.94,141154
1738593598,49.41,48.99,142191
1738593657,49.41,48.99,142191
1738593714,49.41,48.95,142201
1738593778,49.41,48.95,142566
1738593839,49.41,48.95,142566
1738593898,49.41,48.98,142591
1738593959,49.41,48.98,142591
1738594017,49.41,48.98,142601
1738594079,49.41,48.94,142701
1738594139,49.41,48.94,142701
1738594195,49.41,48.94,142701
1738594257,49.41,48.94,142701
1738594317,49.41,48.94,142701
1738594379,49.41,48.94,142701
1738594439,49.41,48.93,142751
1738594499,49.40,48.96,145379
1738594558,49.39,48.99,147551
1738594618,49.39,49.03,147749
1738594678,49.39,49.03,147749
1738594737,49.39,49.03,147749
1738594799,49.39,49.03,148553
1738594859,49.39,49.06,148568
1738594919,49.39,49.02,150004
1738594979,49.37,48.79,153012
1738595039,49.36,48.85,156262
1738595099,49.36,48.85,157318
1738595159,49.36,48.85,158318
1738595219,49.36,48.92,158388
1738595279,49.36,48.92,158388
1738595339,49.36,48.85,158738
1738595399,49.36,48.95,158840
1738595459,49.35,48.90,162005
1738595518,49.35,48.90,162005
1738595579,49.35,48.90,162005
1738595639,49.35,48.90,162530
1738595699,49.35,48.90,162538
1738595759,49.35,48.94,163155
1738595819,49.34,48.94,163685
1738595879,49.34,48.81,166185
1738595937,49.34,48.92,166462
1738595999,49.33,48.92,167067
1738596059,49.33,48.80,167492
1738596119,49.33,48.88,167542
1738596179,49.33,48.89,168736
1738596239,49.32,48.80,170857
1738596299,49.32,48.90,171677
1738596359,49.32,48.88,171690
1738596419,49.32,48.84,172042
1738596479,49.32,48.90,172352
1738596537,49.32,48.90,172460
1738596597,49.31,48.90,174315
1738596600,49.31,48.90,174315
1738596678,49.31,48.90,174315
1738596895,49.31,48.90,174315
1738597175,49.31,48.90,174315
1738597201,49.31,48.90,174315
1738598402,49.31,48.90,174315
1738598486,49.31,48.90,174315
t,ap,cp,v
1738573635,49.53,49.53,2140
1738573682,49.53,49.53,2140
1738573740,49.53,49.53,2140
1738574159,49.88,49.78,8728
1738574218,49.88,49.78,8730
1738574279,49.88,49.96,11936
1738574339,49.88,49.77,11988
1738574399,49.86,49.85,13408
1738574459,49.86,49.70,14005
1738574518,49.85,49.70,14610
1738574578,49.85,49.68,14666
1738574639,49.84,49.65,14935
1738574699,49.83,49.74,16935
1738574757,49.83,49.79,17435
1738574819,49.84,50.11,20241
1738574878,49.84,50.03,20415
1738574939,49.84,49.85,21083
1738574999,49.85,49.96,22083
1738575059,49.84,49.78,25839
1738575119,49.84,49.78,25839
1738575174,49.84,49.78,25839
1738575239,49.82,49.69,29538
1738575299,49.82,49.68,29851
1738575358,49.82,49.68,29851
1738575419,49.81,49.60,30118
1738575478,49.80,49.55,31518
1738575539,49.78,49.53,33285
1738575599,49.77,49.41,35038
1738575659,49.76,49.51,35538
1738575717,49.76,49.55,35598
1738575779,49.76,49.58,36598
1738575839,49.76,49.58,36648
1738575899,49.76,49.59,36849
1738575958,49.76,49.51,37076
1738576018,49.75,49.51,38186
1738576079,49.75,49.54,38371
1738576139,49.75,49.50,38424
1738576199,49.67,49.35,47874
1738576258,49.66,49.46,50749
1738576319,49.66,49.42,50761
1738576378,49.66,49.42,50761
1738576439,49.66,49.34,50892
1738576499,49.66,49.45,50926
1738576559,49.65,49.40,52057
1738576618,49.65,49.40,52159
1738576679,49.65,49.33,52250
1738576739,49.64,49.35,53345
1738576799,49.64,49.30,53889
1738576859,49.64,49.30,54190
1738576919,49.64,49.30,54190
1738576979,49.64,49.47,54194
1738577039,49.64,49.38,54204
1738577099,49.64,49.38,54456
1738577158,49.64,49.46,54457
1738577219,49.64,49.46,54457
1738577279,49.64,49.46,54469
1738577339,49.64,49.46,54682
1738577399,49.64,49.46,54682
1738577459,49.64,49.51,55227
1738577519,49.63,49.55,55850
1738577579,49.63,49.63,56550
1738577638,49.63,49.53,57144
1738577699,49.63,49.53,57144
1738577759,49.63,49.45,58499
1738577819,49.62,49.59,63509
1738577875,49.62,49.52,63511
1738577937,49.62,49.52,63661
1738577999,49.62,49.40,63774
1738578059,49.62,49.37,66021
1738578119,49.62,49.51,66861
1738578179,49.62,49.51,66871
1738578239,49.62,49.63,67388
1738578298,49.62,49.59,67400
1738578358,49.62,49.59,67400
1738578419,49.62,49.50,67443
1738578479,49.62,49.50,67443
1738578538,49.62,49.38,67505
1738578597,49.60,49.37,70979
1738578659,49.60,49.42,71675
1738578719,49.60,49.50,72712
1738578779,49.60,49.38,72903
1738578838,49.60,49.38,72903
1738578897,49.59,49.40,77403
1738578959,49.59,49.51,78003
1738579018,49.59,49.46,78063
1738579078,49.59,49.46,78063
1738579138,49.59,49.47,78233
1738579196,49.59,49.47,78233
1738579258,49.58,49.37,80755
1738579319,49.58,49.45,80765
1738579379,49.58,49.45,80765
1738579439,49.58,49.45,80765
1738579499,49.58,49.49,80866
1738579559,49.58,49.49,80867
1738579618,49.58,49.51,83243
1738579677,49.58,49.51,83243
1738579739,49.58,49.42,83262
1738579798,49.58,49.42,83262
1738579858,49.57,49.33,85012
1738579919,49.57,49.33,85012
1738579979,49.56,49.30,88515
1738580037,49.56,49.37,88520
1738580099,49.56,49.28,89637
1738580159,49.56,49.28,89647
1738580219,49.55,49.43,92147
1738580279,49.55,49.43,92347
1738580338,49.55,49.43,92497
1738580398,49.55,49.43,92497
1738580458,49.55,49.47,92499
1738580519,49.55,49.46,92560
1738580579,49.55,49.46,92560
1738580639,49.55,49.46,93187
1738580699,49.55,49.46,93187
1738580759,49.55,49.47,93487
1738580817,49.55,49.40,94601
1738580879,49.55,49.41,94661
1738580935,49.55,49.41,94661
1738580995,49.55,49.38,95449
1738581059,49.55,49.45,95608
1738581119,49.55,49.45,95608
1738581179,49.55,49.40,95619
1738581239,49.55,49.45,95634
1738581299,49.55,49.43,95644
1738581357,49.55,49.41,95670
1738581419,49.55,49.41,95670
1738581479,49.55,49.52,97539
1738581539,49.55,49.56,97540
1738581598,49.55,49.56,97540
1738581657,49.55,49.45,97840
1738581716,49.55,49.45,97840
1738581779,49.54,49.38,101657
1738581839,49.54,49.36,103157
1738581899,49.54,49.38,103357
1738581959,49.54,49.42,103370
1738582018,49.53,49.31,107365
1738582079,49.53,49.31,107365
1738582139,49.53,49.39,108365
1738582198,49.53,49.27,109091
1738582259,49.53,49.27,109091
1738582316,49.53,49.27,109091
1738582377,49.53,49.35,109191
1738582439,49.53,49.28,109204
1738582499,49.53,49.26,109659
1738582559,49.53,49.22,110321
1738582618,49.53,49.21,110371
1738582679,49.53,49.22,110527
1738582739,49.52,49.16,112893
1738582799,49.52,49.15,113437
1738582859,49.52,49.15,113437
1738582919,49.52,49.15,113437
1738582979,49.52,49.15,113437
1738583039,49.52,49.15,113437
1738583098,49.52,49.15,113437
1738583159,49.52,49.17,113592
1738583218,49.52,49.20,113593
1738583279,49.52,49.26,113893
1738583339,49.52,49.25,113943
1738583398,49.52,49.21,114099
1738583459,49.52,49.21,114099
1738583518,49.52,49.21,114099
1738583579,49.52,49.15,114208
1738583639,49.52,49.15,114208
1738583699,49.52,49.15,114208
1738583758,49.52,49.15,114208
1738583819,49.52,49.15,114230
1738583878,49.52,49.15,114230
1738583939,49.51,49.14,114860
1738583999,49.51,49.14,114860
1738584058,49.51,49.14,114860
1738584119,49.51,49.14,114860
1738584179,49.51,49.11,114960
1738584239,49.51,49.11,114960
1738584298,49.51,49.11,114960
1738584359,49.51,49.14,115010
1738584419,49.51,49.10,116300
1738584479,49.51,49.07,116959
1738584538,49.51,49.07,116959
1738584598,49.50,49.07,118188
1738584656,49.50,49.07,118239
1738584719,49.50,49.10,118849
1738584776,49.50,49.10,118849
1738584839,49.50,49.10,118849
1738584899,49.50,49.10,118849
1738584959,49.50,49.10,118849
1738585019,49.50,49.05,118850
1738585079,49.50,49.06,118851
1738585139,49.50,49.05,119217
1738585199,49.49,48.98,122391
1738585259,49.49,48.98,122391
1738585316,49.49,48.99,122392
1738585379,49.49,48.99,122394
1738585439,49.49,48.99,122394
1738585499,49.49,48.99,122394
1738585559,49.49,48.95,122455
1738585619,49.48,49.03,123455
1738585677,49.48,48.99,123456
1738585739,49.48,48.99,123456
1738585797,49.48,49.03,123907
1738585859,49.48,49.03,123957
1738585919,49.48,49.03,123968
1738585978,49.48,49.03,124359
1738586039,49.48,48.98,124397
1738586099,49.48,48.98,124397
1738586159,49.48,48.98,124397
1738586218,49.48,48.98,124398
1738586278,49.48,48.98,124398
1738586337,49.48,48.98,124398
1738586399,49.48,48.98,124399
1738586459,49.48,48.98,124400
1738586516,49.48,48.98,124400
1738586579,49.48,48.98,124400
1738586636,49.48,48.95,124650
1738586699,49.48,48.97,124952
1738586758,49.48,48.97,124952
1738586818,49.47,48.81,126753
1738586879,49.47,48.83,126803
1738586939,49.47,48.82,126806
1738586999,49.47,48.82,126806
1738587057,49.47,48.91,126808
1738587117,49.47,48.91,126808
1738587178,49.47,48.91,126808
1738587238,49.47,48.91,126808
1738587297,49.47,48.91,126808
1738587359,49.47,48.91,126808
1738587419,49.47,48.91,126808
1738587479,49.47,48.90,126858
1738587538,49.47,48.91,126958
1738587599,49.47,48.90,127058
1738587657,49.47,48.94,127118
1738587718,49.46,48.95,127200
1738587778,49.46,48.95,127200
1738587839,49.46,48.99,128854
1738587899,49.46,49.00,128855
1738587959,49.46,49.00,128855
1738588019,49.46,48.97,128944
1738588079,49.46,48.97,128944
1738588139,49.46,49.03,129294
1738588198,49.46,48.95,129304
1738588258,49.46,49.04,129344
1738588318,49.46,49.07,129394
1738588375,49.46,49.07,129394
1738588439,49.46,49.07,129394
1738588499,49.46,49.07,129394
1738588554,49.46,49.07,129394
1738588614,49.46,49.07,129394
1738588679,49.46,49.07,129397
1738588738,49.46,49.01,129420
1738588798,49.46,49.03,129490
1738588858,49.46,48.95,129530
1738588918,49.46,48.95,129530
1738588979,49.46,48.95,129530
1738589039,49.46,49.00,129536
1738589098,49.46,49.00,129536
1738589157,49.46,48.95,129638
1738589219,49.46,48.95,129638
1738589279,49.46,48.90,129771
1738589339,49.45,48.87,130773
1738589399,49.45,48.84,130781
1738589458,49.45,48.84,130781
1738589519,49.45,48.88,130784
1738589579,49.45,48.91,130786
1738589636,49.45,48.90,130807
1738589699,49.45,48.90,130807
1738589754,49.45,48.90,130807
1738589819,49.45,48.93,130830
1738589878,49.45,48.91,131004
1738589939,49.45,48.91,131004
1738589998,49.45,48.99,131005
1738590059,49.45,48.99,131005
1738590118,49.45,48.99,131005
1738590179,49.45,48.94,131106
1738590238,49.45,48.94,131106
1738590299,49.45,48.94,131106
1738590358,49.45,48.94,131106
1738590417,49.45,48.94,131106
1738590479,49.45,48.94,131106
1738590538,49.45,48.94,131106
1738590599,49.45,48.94,131106
1738590659,49.45,48.94,131106
1738590719,49.45,48.90,131315
1738590779,49.45,48.89,131320
1738590839,49.45,48.89,131395
1738590899,49.45,48.89,131396
1738590959,49.45,48.89,131396
1738591014,49.45,48.89,131396
1738591078,49.45,48.84,131947
1738591139,49.45,48.84,131947
1738591199,49.45,48.84,131947
1738591255,49.45,48.84,131947
1738591319,49.45,48.84,131965
1738591379,49.44,48.87,132965
1738591438,49.44,48.89,133327
1738591499,49.44,48.90,133377
1738591559,49.44,48.90,133377
1738591619,49.44,48.90,133378
1738591679,49.44,48.89,134478
1738591737,49.44,48.89,134478
1738591799,49.43,48.93,135128
1738591856,49.43,48.98,136328
1738591919,49.43,48.98,137331
1738591978,49.42,49.00,138331
1738592037,49.42,49.00,138331
1738592099,49.42,49.00,138331
1738592158,49.42,49.03,138831
1738592218,49.42,48.95,138832
1738592278,49.42,48.99,138841
1738592339,49.42,48.93,139305
1738592399,49.42,48.97,139315
1738592457,49.42,48.95,139317
1738592519,49.42,48.86,139378
1738592578,49.42,48.86,139378
1738592639,49.42,48.87,140437
1738592699,49.42,48.87,140437
1738592751,49.42,48.87,140437
1738592818,49.42,48.87,140437
1738592879,49.42,48.94,140438
1738592938,49.42,48.94,140438
1738592997,49.41,48.95,140986
1738593059,49.41,48.95,140986
1738593119,49.41,48.95,140986
1738593179,49.41,48.95,140986
1738593236,49.41,48.91,141034
1738593299,49.41,48.91,141034
1738593358,49.41,48.98,141134
1738593416,49.41,48.95,141139
1738593479,49.41,48.95,141139
1738593535,49.41,48.94,141154
1738593598,49.41,48.99,142191
1738593657,49.41,48.99,142191
1738593714,49.41,48.95,142201
1738593778,49.41,48.95,142566
1738593839,49.41,48.95,142566
1738593898,49.41,48.98,142591
1738593959,49.41,48.98,142591
1738594017,49.41,48.98,142601
1738594079,49.41,48.94,142701
1738594139,49.41,48.94,142701
1738594195,49.41,48.94,142701
1738594257,49.41,48.94,142701
1738594317,49.41,48.94,142701
1738594379,49.41,48.94,142701
1738594439,49.41,48.93,142751
1738594499,49.40,48.96,145379
1738594558,49.39,48.99,147551
1738594618,49.39,49.03,147749
1738594678,49.39,49.03,147749
1738594737,49.39,49.03,147749
1738594799,49.39,49.03,148553
1738594859,49.39,49.06,148568
1738594919,49.39,49.02,150004
1738594979,49.37,48.79,153012
1738595039,49.36,48.85,156262
1738595099,49.36,48.85,157318
1738595159,49.36,48.85,158318
1738595219,49.36,48.92,158388
1738595279,49.36,48.92,158388
1738595339,49.36,48.85,158738
1738595399,49.36,48.95,158840
1738595459,49.35,48.90,162005
1738595518,49.35,48.90,162005
1738595579,49.35,48.90,162005
1738595639,49.35,48.90,162530
1738595699,49.35,48.90,162538
1738595759,49.35,48.94,163155
1738595819,49.34,48.94,163685
1738595879,49.34,48.81,166185
1738595937,49.34,48.92,166462
1738595999,49.33,48.92,167067
1738596059,49.33,48.80,167492
1738596119,49.33,48.88,167542
1738596179,49.33,48.89,168736
1738596239,49.32,48.80,170857
1738596299,49.32,48.90,171677
1738596359,49.32,48.88,171690
1738596419,49.32,48.84,172042
1738596479,49.32,48.90,172352
1738596537,49.32,48.90,172460
1738596597,49.31,48.90,174315
1738596600,49.31,48.90,174315
1738596678,49.31,48.90,174315
1738596895,49.31,48.90,174315
1738597175,49.31,48.90,174315
1738597201,49.31,48.90,174315
1738598402,49.31,48.90,174315
1738598486,49.31,48.90,174315
1738573635,49.53,49.53,2140
1738573682,49.53,49.53,2140
1738573740,49.53,49.53,2140
1738574159,49.88,49.78,8728
1738574218,49.88,49.78,8730
1738574279,49.88,49.96,11936
1738574339,49.88,49.77,11988
1738574399,49.86,49.85,13408
1738574459,49.86,49.70,14005
1738574518,49.85,49.70,14610
1738574578,49.85,49.68,14666
1738574639,49.84,49.65,14935
1738574699,49.83,49.74,16935
1738574757,49.83,49.79,17435
1738574819,49.84,50.11,20241
1738574878,49.84,50.03,20415
1738574939,49.84,49.85,21083
1738574999,49.85,49.96,22083
1738575059,49.84,49.78,25839
1738575119,49.84,49.78,25839
1738575174,49.84,49.78,25839
1738575239,49.82,49.69,29538
1738575299,49.82,49.68,29851
1738575358,49.82,49.68,29851
1738575419,49.81,49.60,30118
1738575478,49.80,49.55,31518
1738575539,49.78,49.53,33285
1738575599,49.77,49.41,35038
1738575659,49.76,49.51,35538
1738575717,49.76,49.55,35598
1738575779,49.76,49.58,36598
1738575839,49.76,49.58,36648
1738575899,49.76,49.59,36849
1738575958,49.76,49.51,37076
1738576018,49.75,49.51,38186
1738576079,49.75,49.54,38371
1738576139,49.75,49.50,38424
1738576199,49.67,49.35,47874
1738576258,49.66,49.46,50749
1738576319,49.66,49.42,50761
1738576378,49.66,49.42,50761
1738576439,49.66,49.34,50892
1738576499,49.66,49.45,50926
1738576559,49.65,49.40,52057
1738576618,49.65,49.40,52159
1738576679,49.65,49.33,52250
1738576739,49.64,49.35,53345
1738576799,49.64,49.30,53889
1738576859,49.64,49.30,54190
1738576919,49.64,49.30,54190
1738576979,49.64,49.47,54194
1738577039,49.64,49.38,54204
1738577099,49.64,49.38,54456
1738577158,49.64,49.46,54457
1738577219,49.64,49.46,54457
1738577279,49.64,49.46,54469
1738577339,49.64,49.46,54682
1738577399,49.64,49.46,54682
1738577459,49.64,49.51,55227
1738577519,49.63,49.55,55850
1738577579,49.63,49.63,56550
1738577638,49.63,49.53,57144
1738577699,49.63,49.53,57144
1738577759,49.63,49.45,58499
1738577819,49.62,49.59,63509
1738577875,49.62,49.52,63511
1738577937,49.62,49.52,63661
1738577999,49.62,49.40,63774
1738578059,49.62,49.37,66021
1738578119,49.62,49.51,66861
1738578179,49.62,49.51,66871
1738578239,49.62,49.63,67388
1738578298,49.62,49.59,67400
1738578358,49.62,49.59,67400
1738578419,49.62,49.50,67443
1738578479,49.62,49.50,67443
1738578538,49.62,49.38,67505
1738578597,49.60,49.37,70979
1738578659,49.60,49.42,71675
1738578719,49.60,49.50,72712
1738578779,49.60,49.38,72903
1738578838,49.60,49.38,72903
1738578897,49.59,49.40,77403
1738578959,49.59,49.51,78003
1738579018,49.59,49.46,78063
1738579078,49.59,49.46,78063
1738579138,49.59,49.47,78233
1738579196,49.59,49.47,78233
1738579258,49.58,49.37,80755
1738579319,49.58,49.45,80765
1738579379,49.58,49.45,80765
1738579439,49.58,49.45,80765
1738579499,49.58,49.49,80866
1738579559,49.58,49.49,80867
1738579618,49.58,49.51,83243
1738579677,49.58,49.51,83243
1738579739,49.58,49.42,83262
1738579798,49.58,49.42,83262
1738579858,49.57,49.33,85012
1738579919,49.57,49.33,85012
1738579979,49.56,49.30,88515
1738580037,49.56,49.37,88520
1738580099,49.56,49.28,89637
1738580159,49.56,49.28,89647
1738580219,49.55,49.43,92147
1738580279,49.55,49.43,92347
1738580338,49.55,49.43,92497
1738580398,49.55,49.43,92497
1738580458,49.55,49.47,92499
1738580519,49.55,49.46,92560
1738580579,49.55,49.46,92560
1738580639,49.55,49.46,93187
1738580699,49.55,49.46,93187
1738580759,49.55,49.47,93487
1738580817,49.55,49.40,94601
1738580879,49.55,49.41,94661
1738580935,49.55,49.41,94661
1738580995,49.55,49.38,95449
1738581059,49.55,49.45,95608
1738581119,49.55,49.45,95608
1738581179,49.55,49.40,95619
1738581239,49.55,49.45,95634
1738581299,49.55,49.43,95644
1738581357,49.55,49.41,95670
1738581419,49.55,49.41,95670
1738581479,49.55,49.52,97539
1738581539,49.55,49.56,97540
1738581598,49.55,49.56,97540
1738581657,49.55,49.45,97840
1738581716,49.55,49.45,97840
1738581779,49.54,49.38,101657
1738581839,49.54,49.36,103157
1738581899,49.54,49.38,103357
1738581959,49.54,49.42,103370
1738582018,49.53,49.31,107365
1738582079,49.53,49.31,107365
1738582139,49.53,49.39,108365
1738582198,49.53,49.27,109091
1738582259,49.53,49.27,109091
1738582316,49.53,49.27,109091
1738582377,49.53,49.35,109191
1738582439,49.53,49.28,109204
1738582499,49.53,49.26,109659
1738582559,49.53,49.22,110321
1738582618,49.53,49.21,110371
1738582679,49.53,49.22,110527
1738582739,49.52,49.16,112893
1738582799,49.52,49.15,113437
1738582859,49.52,49.15,113437
1738582919,49.52,49.15,113437
1738582979,49.52,49.15,113437
1738583039,49.52,49.15,113437
1738583098,49.52,49.15,113437
1738583159,49.52,49.17,113592
1738583218,49.52,49.20,113593
1738583279,49.52,49.26,113893
1738583339,49.52,49.25,113943
1738583398,49.52,49.21,114099
1738583459,49.52,49.21,114099
1738583518,49.52,49.21,114099
1738583579,49.52,49.15,114208
1738583639,49.52,49.15,114208
1738583699,49.52,49.15,114208
1738583758,49.52,49.15,114208
1738583819,49.52,49.15,114230
1738583878,49.52,49.15,114230
1738583939,49.51,49.14,114860
1738583999,49.51,49.14,114860
1738584058,49.51,49.14,114860
1738584119,49.51,49.14,114860
1738584179,49.51,49.11,114960
1738584239,49.51,49.11,114960
1738584298,49.51,49.11,114960
1738584359,49.51,49.14,115010
1738584419,49.51,49.10,116300
1738584479,49.51,49.07,116959
1738584538,49.51,49.07,116959
1738584598,49.50,49.07,118188
1738584656,49.50,49.07,118239
1738584719,49.50,49.10,118849
1738584776,49.50,49.10,118849
1738584839,49.50,49.10,118849
1738584899,49.50,49.10,118849
1738584959,49.50,49.10,118849
1738585019,49.50,49.05,118850
1738585079,49.50,49.06,118851
1738585139,49.50,49.05,119217
1738585199,49.49,48.98,122391
1738585259,49.49,48.98,122391
1738585316,49.49,48.99,122392
1738585379,49.49,48.99,122394
1738585439,49.49,48.99,122394
1738585499,49.49,48.99,122394
1738585559,49.49,48.95,122455
1738585619,49.48,49.03,123455
1738585677,49.48,48.99,123456
1738585739,49.48,48.99,123456
1738585797,49.48,49.03,123907
1738585859,49.48,49.03,123957
1738585919,49.48,49.03,123968
1738585978,49.48,49.03,124359
1738586039,49.48,48.98,124397
1738586099,49.48,48.98,124397
1738586159,49.48,48.98,124397
1738586218,49.48,48.98,124398
1738586278,49.48,48.98,124398
1738586337,49.48,48.98,124398
1738586399,49.48,48.98,124399
1738586459,49.48,48.98,124400
1738586516,49.48,48.98,124400
1738586579,49.48,48.98,124400
1738586636,49.48,48.95,124650
1738586699,49.48,48.97,124952
1738586758,49.48,48.97,124952
1738586818,49.47,48.81,126753
1738586879,49.47,48.83,126803
1738586939,49.47,48.82,126806
