t,ap,cp,v
1738574879,2162.34,2173.85,1820
1738574939,2162.36,2179.95,1822
1738574999,2162.49,2173.85,1837
1738575059,2162.57,2172.40,1850
1738575119,2162.67,2170.30,1867
1738575179,2163.07,2169.80,1974
1738575239,2163.09,2165.75,1989
1738575298,2163.11,2172.05,1994
1738575359,2163.11,2171.15,1995
1738575419,2163.36,2168.45,2088
1738575479,2163.36,2168.45,2088
1738575539,2163.37,2167.55,2090
1738575599,2163.38,2168.70,2095
1738575659,2163.38,2163.70,2096
1738575718,2163.38,2163.70,2096
1738575779,2163.41,2167.10,2128
1738575839,2163.41,2167.10,2128
1738575899,2163.41,2167.75,2129
1738575959,2163.41,2167.75,2129
1738576017,2163.49,2167.90,2162
1738576079,2163.49,2167.90,2162
1738576139,2163.50,2164.45,2171
1738576199,2163.50,2164.45,2171
1738576259,2163.50,2164.45,2171
1738576319,2163.51,2166.35,2183
1738576379,2163.51,2166.35,2183
1738576439,2163.51,2166.35,2183
1738576499,2163.52,2175.10,2185
1738576559,2163.53,2171.30,2186
1738576617,2163.53,2171.30,2186
1738576679,2163.59,2175.55,2198
1738576739,2163.62,2168.80,2212
1738576799,2163.62,2168.80,2212
1738576859,2163.62,2168.80,2212
1738576919,2164.31,2173.00,2389
1738576979,2164.33,2171.00,2395
1738577039,2164.33,2171.00,2395
1738577099,2164.33,2170.95,2396
1738577159,2164.39,2172.25,2426
1738577219,2164.50,2168.45,2470
1738577279,2164.51,2170.35,2471
1738577339,2164.51,2168.20,2473
1738577399,2164.52,2172.50,2476
1738577459,2164.56,2169.10,2498
1738577519,2164.57,2169.05,2503
1738577579,2164.57,2169.05,2503
1738577639,2164.62,2169.05,2533
1738577699,2164.64,2169.05,2540
1738577759,2164.64,2169.05,2540
1738577819,2164.64,2166.00,2542
1738577879,2164.64,2162.00,2544
1738577938,2164.63,2160.05,2547
1738577998,2164.59,2159.45,2572
1738578059,2164.59,2159.45,2572
1738578119,2164.59,2159.45,2572
1738578179,2164.45,2157.05,2623
1738578239,2164.43,2163.00,2658
1738578299,2164.43,2163.00,2658
1738578359,2164.43,2162.45,2659
1738578419,2164.43,2162.45,2659
1738578479,2164.15,2162.45,2820
1738578539,2164.15,2162.45,2820
1738578599,2164.14,2157.80,2823
1738578659,2164.14,2157.80,2823
1738578719,2164.15,2166.55,2836
1738578779,2164.15,2165.50,2841
1738578839,2164.15,2165.50,2841
1738578898,2164.16,2165.50,2843
1738578959,2164.16,2170.35,2845
1738579019,2164.16,2173.95,2846
1738579079,2164.17,2170.45,2847
1738579139,2164.17,2170.45,2847
1738579199,2164.17,2172.25,2848
1738579259,2164.17,2172.25,2848
1738579318,2164.17,2172.25,2848
1738579379,2164.17,2170.90,2849
1738579439,2164.23,2172.80,2865
1738579499,2164.45,2176.00,2921
1738579559,2164.45,2176.00,2921
1738579619,2164.46,2176.00,2923
1738579679,2164.48,2174.00,2928
1738579739,2164.48,2174.00,2928
1738579799,2164.49,2174.00,2932
1738579859,2164.49,2173.85,2933
1738579918,2164.53,2170.80,2945
1738579979,2164.53,2170.80,2945
1738580039,2164.53,2165.90,2947
1738580098,2164.53,2166.95,2949
1738580159,2164.53,2166.95,2949
1738580218,2164.52,2162.70,2958
1738580279,2164.51,2159.90,2968
1738580339,2164.51,2159.90,2968
1738580399,2164.51,2160.40,2970
1738580459,2164.51,2160.40,2970
1738580519,2164.51,2164.50,2991
1738580579,2164.51,2164.50,2991
1738580639,2164.51,2164.50,2991
1738580699,2164.48,2158.90,3006
1738580759,2164.48,2163.65,3016
1738580819,2164.48,2163.65,3016
1738580879,2164.48,2163.65,3016
1738580939,2164.47,2160.45,3018
1738580999,2164.47,2160.45,3018
1738581059,2164.47,2164.55,3020
1738581119,2164.47,2164.55,3020
1738581179,2164.47,2164.55,3020
1738581239,2164.47,2164.25,3021
1738581299,2164.47,2164.25,3023
1738581359,2164.47,2166.35,3028
1738581418,2164.47,2166.35,3028
1738581479,2164.46,2161.50,3050
1738581539,2164.45,2162.25,3051
1738581599,2164.45,2161.15,3057
1738581659,2164.45,2161.15,3057
1738581719,2164.45,2161.15,3057
1738581779,2164.40,2154.00,3074
1738581839,2164.39,2154.00,3077
1738581899,2164.04,2150.50,3157
1738581959,2164.04,2150.50,3157
1738582019,2163.85,2150.20,3199
1738582079,2161.33,2145.00,3641
1738582139,2160.87,2140.55,3725
1738582199,2160.84,2141.80,3732
1738582259,2160.46,2139.80,3802
1738582319,2160.27,2144.00,3843
1738582379,2160.27,2144.00,3843
1738582439,2160.26,2141.60,3845
1738582499,2160.26,2141.60,3845
1738582559,2160.26,2141.60,3845
1738582619,2160.14,2140.90,3870
1738582679,2160.14,2140.90,3870
1738582739,2160.14,2140.90,3870
1738582799,2160.11,2145.15,3878
1738582859,2160.11,2145.15,3878
1738582919,2160.10,2140.95,3881
1738582979,2160.06,2145.15,3890
1738583039,2160.06,2145.15,3890
1738583099,2160.05,2145.00,3892
1738583159,2160.05,2145.00,3892
1738583219,2160.05,2145.00,3892
1738583279,2160.05,2146.70,3893
1738583339,2160.05,2146.70,3893
1738583399,2160.05,2146.70,3893
1738583459,2160.05,2146.70,3893
1738583519,2160.05,2146.70,3893
1738583579,2160.04,2149.35,3895
1738583639,2160.04,2149.35,3895
1738583699,2160.04,2149.35,3895
1738583759,2160.04,2149.35,3895
1738583819,2160.03,2149.35,3900
1738583879,2160.00,2149.40,3910
1738583939,2160.00,2149.40,3910
1738583999,2160.00,2149.40,3910
1738584059,2160.00,2149.60,3912
1738584119,2159.99,2145.75,3913
1738584179,2159.99,2145.75,3913
1738584239,2159.99,2145.75,3913
1738584299,2159.99,2145.75,3913
1738584359,2159.99,2145.75,3913
1738584419,2159.99,2150.90,3914
1738584479,2159.99,2150.90,3914
1738584539,2159.96,2147.55,3924
1738584599,2159.93,2147.50,3932
1738584659,2159.93,2146.45,3933
1738584719,2159.93,2146.45,3933
1738584779,2159.93,2151.00,3935
1738584839,2159.69,2147.70,4015
1738584899,2159.66,2151.00,4030
1738584959,2159.66,2151.00,4030
1738585019,2159.66,2151.00,4030
1738585079,2159.66,2151.00,4030
1738585139,2159.66,2151.25,4031
1738585199,2159.65,2150.90,4034
1738585259,2159.65,2147.90,4036
1738585319,2159.51,2146.25,4081
1738585379,2159.51,2146.25,4081
1738585439,2159.51,2146.25,4081
1738585497,2159.51,2146.25,4081
1738585559,2159.45,2148.50,4101
1738585619,2159.45,2148.50,4101
1738585679,2159.45,2150.00,4102
1738585739,2159.45,2150.00,4102
1738585799,2159.43,2151.45,4111
1738585859,2159.43,2151.45,4111
1738585919,2159.43,2151.45,4111
1738585979,2159.29,2149.00,4166
1738586039,2159.28,2146.25,4170
1738586099,2159.28,2146.25,4171
1738586159,2159.28,2146.25,4171
1738586219,2159.28,2146.25,4171
1738586279,2159.24,2144.60,4183
1738586339,2159.24,2144.60,4183
1738586399,2159.24,2144.60,4183
1738586459,2159.24,2144.60,4183
1738586519,2159.24,2144.60,4183
1738586578,2159.24,2144.60,4183
1738586639,2159.24,2144.60,4183
1738586699,2159.24,2144.60,4183
1738586757,2159.20,2144.90,4193
1738586819,2159.07,2148.60,4244
1738586879,2158.93,2144.50,4285
1738586939,2158.84,2140.25,4306
1738586999,2158.84,2140.25,4306
1738587059,2158.84,2141.00,4307
1738587119,2158.73,2135.20,4330
1738587179,2158.15,2134.40,4440
1738587239,2158.15,2134.40,4440
1738587299,2157.91,2134.40,4483
1738587359,2157.91,2134.40,4483
1738587419,2157.91,2134.40,4483
1738587479,2157.91,2134.40,4483
1738587539,2157.91,2134.40,4483
1738587599,2157.91,2134.40,4483
1738587659,2157.90,2137.80,4485
1738587719,2157.87,2142.55,4494
1738587779,2157.85,2140.10,4499
1738587839,2157.83,2142.55,4504
1738587899,2157.82,2145.60,4509
1738587959,2157.81,2149.45,4510
1738588019,2157.78,2147.50,4524
1738588079,2157.77,2148.15,4532
1738588137,2157.73,2149.10,4558
1738588199,2157.72,2152.00,4568
1738588259,2157.72,2148.65,4570
1738588319,2157.70,2147.60,4576
1738588379,2157.67,2153.15,4609
