t,ap,cp,v
1738576197,305.27,307.55,125896
1738576259,305.28,307.65,126678
1738576319,305.33,307.85,129073
1738576379,305.38,307.65,131481
1738576439,305.39,307.95,132146
1738576499,305.42,307.40,133593
1738576559,305.46,307.95,135623
1738576619,305.49,308.25,137406
1738576679,305.65,307.85,146035
1738576739,305.68,308.05,148505
1738576799,305.78,308.45,154359
1738576859,305.81,307.90,156700
1738576919,305.82,307.85,157635
1738576979,305.83,307.80,158385
1738577039,305.84,307.75,158721
1738577099,305.85,307.60,159835
1738577159,305.86,307.50,160814
1738577219,305.87,307.65,161675
1738577279,305.87,307.85,161992
1738577339,305.89,307.85,163908
1738577399,305.93,308.00,167136
1738577459,305.99,308.35,171982
1738577519,306.01,308.10,173216
1738577579,306.01,307.65,173530
1738577639,306.03,307.65,175436
1738577699,306.03,307.80,175919
1738577759,306.04,307.45,176355
1738577819,306.05,308.00,177663
1738577879,306.06,307.90,178472
1738577939,306.06,307.85,178875
1738577999,306.07,307.90,179371
1738578059,306.08,308.25,180413
1738578119,306.09,307.90,181507
1738578179,306.10,308.05,181794
1738578239,306.11,308.25,183111
1738578299,306.16,308.30,187467
1738578358,306.20,308.80,190844
1738578419,306.21,308.45,191333
1738578479,306.22,308.50,191791
1738578539,306.23,308.25,192731
1738578599,306.23,308.15,193029
1738578659,306.23,308.25,193087
1738578719,306.24,308.30,193867
1738578779,306.25,308.20,195189
1738578839,306.26,308.30,196360
1738578899,306.27,308.20,196533
1738578959,306.27,308.75,197009
1738579019,306.29,308.75,199158
1738579079,306.30,308.45,199352
1738579139,306.30,308.30,199931
1738579199,306.30,308.50,199976
1738579259,306.32,308.45,201112
1738579319,306.33,308.70,202319
1738579379,306.37,309.05,205299
1738579439,306.38,309.10,205888
1738579499,306.39,309.00,206866
1738579559,306.41,309.55,208246
1738579618,306.42,309.80,209333
1738579679,306.43,309.55,209967
1738579739,306.62,310.10,221338
1738579799,306.64,310.25,223088
1738579859,306.68,309.70,225273
1738579919,306.69,309.45,226635
1738579979,306.71,309.15,227613
1738580039,306.72,308.95,228840
1738580099,306.73,308.75,229968
1738580159,306.73,308.80,230281
1738580219,306.73,308.75,230296
1738580279,306.74,308.55,231049
1738580339,306.77,309.20,234895
1738580399,306.78,309.10,235258
1738580459,306.78,309.35,235494
1738580519,306.80,309.25,236830
1738580578,306.81,309.10,237981
1738580639,306.81,309.35,238333
1738580699,306.81,309.25,238541
1738580759,306.81,309.00,238698
1738580819,306.84,308.05,243478
1738580879,306.85,307.95,246420
1738580939,306.86,308.15,247222
1738580999,306.86,307.95,247601
1738581059,306.86,308.00,247784
1738581119,306.86,308.15,248039
1738581179,306.86,308.25,248397
1738581239,306.88,307.00,256611
1738581299,306.88,307.10,256749
1738581359,306.88,307.00,257798
1738581419,306.88,306.80,258192
1738581479,306.88,307.30,258586
1738581539,306.88,307.25,260042
1738581599,306.88,307.70,260223
1738581659,306.89,307.80,261085
1738581719,306.89,307.70,261572
1738581779,306.89,307.90,261989
1738581839,306.90,307.90,263960
1738581899,306.90,307.85,265930
1738581959,306.91,307.35,268274
1738582019,306.91,307.65,269036
1738582079,306.91,307.35,269582
1738582139,306.91,307.55,270064
1738582198,306.92,307.55,271304
1738582259,306.92,307.35,271387
1738582319,306.92,307.60,273845
1738582379,306.93,308.70,275317
1738582439,306.93,308.40,275749
1738582499,306.93,308.70,276286
1738582559,306.95,308.85,278163
1738582619,306.95,308.40,278916
1738582679,306.95,308.85,279132
1738582738,306.95,308.55,279748
1738582799,306.96,308.20,279979
1738582859,306.96,308.40,281127
1738582919,306.96,308.55,281408
1738582979,306.98,309.00,284020
1738583039,306.98,308.40,284480
1738583099,306.99,308.65,284927
1738583159,306.99,308.80,285367
1738583219,307.00,308.90,286899
1738583279,307.00,309.05,287439
1738583339,307.00,309.20,287497
1738583399,307.01,309.05,288122
1738583459,307.01,309.00,288739
1738583519,307.02,309.15,289317
1738583579,307.02,308.95,289483
1738583639,307.03,308.85,291471
1738583699,307.03,308.65,292189
1738583759,307.07,309.30,296656
1738583819,307.08,309.60,297563
1738583879,307.09,309.65,298927
1738583938,307.13,310.00,303210
1738583999,307.14,309.70,304190
1738584059,307.14,310.05,304364
1738584119,307.14,310.10,304633
1738584179,307.15,309.85,305097
1738584239,307.15,309.60,305551
1738584299,307.16,309.90,306869
1738584359,307.17,309.75,307197
1738584419,307.17,309.60,307719
1738584479,307.17,309.80,307955
1738584539,307.22,310.40,312502
1738584599,307.24,310.00,314986
1738584659,307.24,309.90,315073
1738584719,307.24,309.75,315176
1738584779,307.24,309.50,315266
1738584838,307.26,309.50,317665
1738584899,307.27,309.40,318847
1738584959,307.27,309.50,319075
1738585019,307.27,309.55,319164
1738585079,307.27,309.70,319751
1738585138,307.28,309.45,320206
1738585199,307.28,309.70,320302
1738585259,307.28,309.60,320617
1738585319,307.28,309.50,320710
1738585379,307.28,309.45,321200
1738585439,307.29,309.45,321555
1738585499,307.29,309.45,322533
1738585559,307.29,309.55,322903
1738585619,307.30,309.60,323220
1738585679,307.30,310.00,323968
1738585739,307.33,309.95,327655
1738585799,307.34,309.80,328004
1738585859,307.34,310.05,328791
1738585919,307.35,309.80,329455
1738585979,307.35,309.95,329590
1738586039,307.35,309.95,329623
1738586099,307.35,309.75,329643
1738586159,307.35,309.65,330167
1738586219,307.36,309.60,330705
1738586279,307.36,309.60,330913
1738586339,307.36,309.60,331068
1738586399,307.36,309.60,331468
1738586457,307.36,309.85,331614
1738586519,307.38,310.30,333497
1738586579,307.38,310.20,334040
1738586639,307.41,310.45,337268
1738586699,307.42,310.50,338578
1738586759,307.48,310.60,344120
1738586819,307.48,310.65,344263
1738586879,307.48,310.50,344615
1738586939,307.50,310.25,346805
1738586999,307.50,310.00,347520
1738587059,307.51,310.15,348202
1738587119,307.51,310.25,348646
1738587179,307.52,310.15,350098
1738587239,307.54,310.25,351722
1738587299,307.54,310.25,351938
1738587359,307.60,310.20,360907
1738587419,307.61,310.40,361985
1738587479,307.65,310.65,366469
1738587539,307.65,310.90,366798
1738587599,307.68,311.00,369724
1738587659,307.69,310.90,370510
1738587719,307.73,311.50,375533
1738587779,307.75,311.45,377452
1738587838,307.86,311.35,387930
1738587899,307.87,311.35,388538
1738587959,307.87,311.35,388964
1738588019,307.87,311.40,389263
1738588079,307.89,311.40,391289
1738588139,307.89,311.00,391549
1738588198,307.90,311.40,392325
1738588259,307.91,311.35,393375
1738588319,307.91,311.25,394054
1738588379,307.93,311.85,395369
1738588439,307.96,311.80,398603
1738588499,308.00,312.00,403350
1738588559,308.04,312.00,406919
1738588619,308.05,312.15,408511
1738588679,308.11,312.00,414208
1738588739,308.13,312.00,416059
1738588799,308.13,312.10,416522
1738588859,308.13,312.15,416812
1738588919,308.14,312.15,417938
1738588979,308.15,312.05,418626
1738589039,308.17,312.25,420278
1738589099,308.18,312.25,422033
1738589159,308.20,312.35,423583
1738589219,308.22,312.40,426321
1738589279,308.25,312.50,428527
1738589339,308.25,312.25,428767
1738589399,308.30,311.85,434712
1738589459,308.32,312.20,437022
1738589519,308.33,312.25,438446
1738589579,308.34,312.70,439428
1738589639,308.35,312.45,440136
1738589699,308.40,312.20,446500
1738589759,308.40,312.25,446591
1738589819,308.40,312.05,446864
1738589879,308.41,312.15,447566
1738589939,308.41,312.30,447751
1738589999,308.42,312.35,449190
1738590059,308.44,312.40,451139
1738590119,308.45,312.80,452588
1738590179,308.47,312.85,454115
1738590239,308.48,312.80,455012
1738590299,308.48,313.00,455634
1738590359,308.54,313.00,461599
1738590419,308.55,313.00,462684
1738590479,308.56,313.20,463675
1738590539,308.58,313.30,465754
1738590599,308.60,313.25,468089
1738590659,308.62,313.15,470023
1738590719,308.64,313.00,471581
1738590779,308.65,312.85,473063
1738590839,308.66,312.95,474154
1738590898,308.66,312.90,474548
1738590959,308.67,312.75,475084
1738591019,308.67,313.00,475312
1738591079,308.69,312.85,477207
1738591139,308.70,313.05,478609
1738591199,308.72,312.80,480706
1738591259,308.73,313.20,481622
1738591319,308.77,313.40,486689
1738591379,308.79,313.40,487969
1738591439,308.80,313.25,489367
1738591499,308.80,313.25,489791
1738591559,308.81,313.10,490208
1738591619,308.82,313.20,491703
1738591679,308.83,313.15,492503
1738591739,308.84,313.40,493457
1738591799,308.84,313.25,493717
1738591859,308.84,313.35,494178
1738591919,308.87,313.60,496990
1738591979,308.90,313.60,499692
1738592039,308.92,313.25,501944
1738592099,308.92,313.45,502158
1738592159,308.92,313.40,502498
1738592219,308.93,313.20,503361
1738592279,308.93,313.35,503901
1738592339,308.97,312.85,508280
1738592399,308.98,312.80,509698
1738592459,308.99,312.90,511097
1738592519,309.00,313.20,512734
1738592579,309.01,313.35,513102
1738592639,309.01,313.15,513809
1738592699,309.01,313.35,513859
1738592759,309.02,313.50,515349
1738592819,309.04,313.60,516730
1738592879,309.04,313.50,517732
1738592939,309.05,313.60,518240
1738592999,309.06,313.50,519400
1738593059,309.06,313.60,519952
1738593119,309.08,313.55,521592
1738593179,309.08,313.70,522443
1738593239,309.09,313.55,522627
1738593299,309.11,313.60,526046
1738593359,309.12,313.25,527080
1738593419,309.14,313.30,529827
1738593479,309.16,313.00,531488
1738593539,309.18,313.25,534352
1738593599,309.19,312.90,536085
1738593659,309.20,312.90,537899
1738593719,309.22,312.75,540327
1738593779,309.22,313.00,541066
1738593839,309.22,312.95,541153
1738593899,309.25,312.45,544708
1738593959,309.25,312.80,545741
1738594019,309.26,312.95,546366
1738594079,309.26,312.85,546696
1738594139,309.27,312.45,547986
1738594199,309.27,312.55,549080
1738594259,309.28,312.65,550403
1738594319,309.29,312.85,551682
1738594379,309.29,312.85,552125
1738594439,309.30,312.60,553867
1738594499,309.31,312.75,554496
1738594559,309.31,312.75,554917
1738594617,309.32,312.80,556495
1738594677,309.32,312.75,556576
1738594738,309.34,312.75,559621
1738594799,309.35,312.95,560601
1738594859,309.38,313.60,565293
1738594919,309.44,313.80,573634
1738594979,309.46,313.40,576418
1738595039,309.47,313.70,577304
1738595099,309.47,313.65,578102
1738595159,309.48,313.65,578369
1738595219,309.48,313.45,579087
1738595279,309.49,313.60,580251
1738595339,309.49,313.45,580984
1738595399,309.57,313.30,591796
1738595459,309.58,313.25,593987
1738595519,309.61,313.45,597494
1738595579,309.61,313.45,598135
1738595639,309.62,313.70,599369
1738595699,309.62,313.45,599871
1738595759,309.65,313.70,603877
1738595819,309.66,313.85,606029
1738595879,309.67,313.80,607147
1738595939,309.70,313.65,611325
1738595999,309.71,313.80,612751
1738596057,309.71,313.55,613776
1738596119,309.72,313.45,614607
1738596179,309.73,313.25,615656
1738596239,309.76,313.30,622069
1738596299,309.78,313.25,625609
1738596359,309.79,313.30,626959
1738596419,309.80,313.15,628699
1738596479,309.84,313.15,635445
1738596539,309.85,313.20,638700
1738596599,309.86,313.00,640884
1738596628,309.86,313.00,640884
1738596680,309.86,313.00,640884
1738596802,309.86,313.00,640884
1738596951,309.86,313.00,640884
1738597076,309.86,313.00,640884
1738597132,309.86,313.00,640884
1738597153,309.86,313.00,640884
1738597238,309.86,313.50,640909
1738597284,309.86,313.50,640909
1738597364,309.86,313.50,640935
1738597382,309.86,313.50,640935
1738597467,309.86,313.50,640935
1738597526,309.86,313.50,640935
1738597603,309.86,313.50,640935
1738597678,309.86,313.50,640965
1738597687,309.86,313.50,640965
1738597831,309.86,313.50,640965
1738597916,309.86,313.50,640965
1738598093,309.86,313.50,640965
1738598141,309.86,313.50,640965
1738598217,309.86,313.50,640985
1738598256,309.86,313.50,640985
1738598351,309.86,313.50,641088
1738598402,309.86,313.50,641088
1738598486,309.86,313.50,641088
1738573635,303.75,303.75,2533
1738573727,303.75,303.75,2533
1738573766,303.75,303.75,2533
1738574159,302.65,301.75,13119
1738574219,302.63,302.80,15757
1738574279,302.62,302.20,20297
1738574339,302.44,302.10,28099
1738574399,302.43,302.45,32411
1738574459,302.37,302.00,43113
1738574519,302.39,302.70,46679
1738574578,302.45,303.40,50546
1738574639,302.50,304.00,52745
1738574699,302.57,304.00,55637
1738574759,302.69,305.20,58794
1738574819,302.85,306.80,61784
1738574879,303.28,307.20,69203
1738574939,303.60,308.30,74340
1738574999,303.77,307.95,77369
1738575059,303.89,308.30,79665
1738575119,303.96,307.35,81113
1738575179,304.08,307.05,84368
1738575239,304.21,307.25,87919
1738575299,304.26,307.25,89532
1738575359,304.37,307.30,92702
1738575419,304.47,307.10,95792
1738575479,304.55,307.75,98819
1738575539,304.64,307.20,102198
1738575599,304.73,307.80,105290
1738575659,304.86,308.55,109547
1738575719,304.91,308.25,111198
1738575779,305.01,308.50,114144
1738575839,305.07,308.35,116432
1738575899,305.11,308.35,117780
1738575959,305.13,308.15,118441
1738576019,305.19,307.60,121172
1738576079,305.22,307.10,122948
1738576139,305.25,307.50,124650
1738576197,305.27,307.55,125896
1738576259,305.28,307.65,126678
1738576319,305.33,307.85,129073
1738576379,305.38,307.65,131481
1738576439,305.39,307.95,132146
1738576499,305.42,307.40,133593
1738576559,305.46,307.95,135623
1738576619,305.49,308.25,137406
1738576679,305.65,307.85,146035
1738576739,305.68,308.05,148505
1738576799,305.78,308.45,154359
1738576859,305.81,307.90,156700
1738576919,305.82,307.85,157635
1738576979,305.83,307.80,158385
1738577039,305.84,307.75,158721
1738577099,305.85,307.60,159835
1738577159,305.86,307.50,160814
1738577219,305.87,307.65,161675
1738577279,305.87,307.85,161992
1738577339,305.89,307.85,163908
1738577399,305.93,308.00,167136
1738577459,305.99,308.35,171982
1738577519,306.01,308.10,173216
1738577579,306.01,307.65,173530
1738577639,306.03,307.65,175436
1738577699,306.03,307.80,175919
1738577759,306.04,307.45,176355
1738577819,306.05,308.00,177663
1738577879,306.06,307.90,178472
1738577939,306.06,307.85,178875
1738577999,306.07,307.90,179371
1738578059,306.08,308.25,180413
1738578119,306.09,307.90,181507
1738578179,306.10,308.05,181794
1738578239,306.11,308.25,183111
1738578299,306.16,308.30,187467
1738578358,306.20,308.80,190844
1738578419,306.21,308.45,191333
1738578479,306.22,308.50,191791
1738578539,306.23,308.25,192731
1738578599,306.23,308.15,193029
1738578659,306.23,308.25,193087
1738578719,306.24,308.30,193867
1738578779,306.25,308.20,195189
1738578839,306.26,308.30,196360
1738578899,306.27,308.20,196533
1738578959,306.27,308.75,197009
1738579019,306.29,308.75,199158
1738579079,306.30,308.45,199352
1738579139,306.30,308.30,199931
1738579199,306.30,308.50,199976
1738579259,306.32,308.45,201112
1738579319,306.33,308.70,202319
1738579379,306.37,309.05,205299
1738579439,306.38,309.10,205888
1738579499,306.39,309.00,206866
1738579559,306.41,309.55,208246
1738579618,306.42,309.80,209333
1738579679,306.43,309.55,209967
1738579739,306.62,310.10,221338
1738579799,306.64,310.25,223088
1738579859,306.68,309.70,225273
1738579919,306.69,309.45,226635
1738579979,306.71,309.15,227613
1738580039,306.72,308.95,228840
1738580099,306.73,308.75,229968
1738580159,306.73,308.80,230281
1738580219,306.73,308.75,230296
1738580279,306.74,308.55,231049
1738580339,306.77,309.20,234895
1738580399,306.78,309.10,235258
1738580459,306.78,309.35,235494
1738580519,306.80,309.25,236830
1738580578,306.81,309.10,237981
1738580639,306.81,309.35,238333
1738580699,306.81,309.25,238541
1738580759,306.81,309.00,238698
1738580819,306.84,308.05,243478
1738580879,306.85,307.95,246420
1738580939,306.86,308.15,247222
1738580999,306.86,307.95,247601
1738581059,306.86,308.00,247784
1738581119,306.86,308.15,248039
1738581179,306.86,308.25,248397
1738581239,306.88,307.00,256611
1738581299,306.88,307.10,256749
1738581359,306.88,307.00,257798
1738581419,306.88,306.80,258192
1738581479,306.88,307.30,258586
1738581539,306.88,307.25,260042
1738581599,306.88,307.70,260223
1738581659,306.89,307.80,261085
1738581719,306.89,307.70,261572
1738581779,306.89,307.90,261989
1738581839,306.90,307.90,263960
1738581899,306.90,307.85,265930
1738581959,306.91,307.35,268274
1738582019,306.91,307.65,269036
1738582079,306.91,307.35,269582
1738582139,306.91,307.55,270064
1738582198,306.92,307.55,271304
1738582259,306.92,307.35,271387
1738582319,306.92,307.60,273845
1738582379,306.93,308.70,275317
1738582439,306.93,308.40,275749
1738582499,306.93,308.70,276286
1738582559,306.95,308.85,278163
1738582619,306.95,308.40,278916
1738582679,306.95,308.85,279132
1738582738,306.95,308.55,279748
1738582799,306.96,308.20,279979
1738582859,306.96,308.40,281127
1738582919,306.96,308.55,281408
1738582979,306.98,309.00,284020
1738583039,306.98,308.40,284480
1738583099,306.99,308.65,284927
1738583159,306.99,308.80,285367
1738583219,307.00,308.90,286899
1738583279,307.00,309.05,287439
1738583339,307.00,309.20,287497
1738583399,307.01,309.05,288122
1738583459,307.01,309.00,288739
1738583519,307.02,309.15,289317
1738583579,307.02,308.95,289483
1738583639,307.03,308.85,291471
1738583699,307.03,308.65,292189
1738583759,307.07,309.30,296656
1738583819,307.08,309.60,297563
1738583879,307.09,309.65,298927
1738583938,307.13,310.00,303210
1738583999,307.14,309.70,304190
1738584059,307.14,310.05,304364
1738584119,307.14,310.10,304633
1738584179,307.15,309.85,305097
1738584239,307.15,309.60,305551
1738584299,307.16,309.90,306869
1738584359,307.17,309.75,307197
1738584419,307.17,309.60,307719
1738584479,307.17,309.80,307955
1738584539,307.22,310.40,312502
1738584599,307.24,310.00,314986
1738584659,307.24,309.90,315073
1738584719,307.24,309.75,315176
1738584779,307.24,309.50,315266
1738584838,307.26,309.50,317665
1738584899,307.27,309.40,318847
1738584959,307.27,309.50,319075
1738585019,307.27,309.55,319164
1738585079,307.27,309.70,319751
1738585138,307.28,309.45,320206
1738585199,307.28,309.70,320302
1738585259,307.28,309.60,320617
1738585319,307.28,309.50,320710
1738585379,307.28,309.45,321200
1738585439,307.29,309.45,321555
1738585499,307.29,309.45,322533
1738585559,307.29,309.55,322903
1738585619,307.30,309.60,323220
1738585679,307.30,310.00,323968
1738585739,307.33,309.95,327655
1738585799,307.34,309.80,328004
1738585859,307.34,310.05,328791
1738585919,307.35,309.80,329455
1738585979,307.35,309.95,329590
1738586039,307.35,309.95,329623
1738586099,307.35,309.75,329643
1738586159,307.35,309.65,330167
1738586219,307.36,309.60,330705
1738586279,307.36,309.60,330913
1738586339,307.36,309.60,331068
1738586399,307.36,309.60,331468
1738586457,307.36,309.85,331614
1738586519,307.38,310.30,333497
1738586579,307.38,310.20,334040
1738586639,307.41,310.45,337268
1738586699,307.42,310.50,338578
1738586759,307.48,310.60,344120
1738586819,307.48,310.65,344263
1738586879,307.48,310.50,344615
1738586939,307.50,310.25,346805
1738586999,307.50,310.00,347520
1738587059,307.51,310.15,348202
1738587119,307.51,310.25,348646
1738587179,307.52,310.15,350098
1738587239,307.54,310.25,351722
1738587299,307.54,310.25,351938
1738587359,307.60,310.20,360907
1738587419,307.61,310.40,361985
1738587479,307.65,310.65,366469
1738587539,307.65,310.90,366798
1738587599,307.68,311.00,369724
1738587659,307.69,310.90,370510
1738587719,307.73,311.50,375533
1738587779,307.75,311.45,377452
1738587838,307.86,311.35,387930
1738587899,307.87,311.35,388538
1738587959,307.87,311.35,388964
1738588019,307.87,311.40,389263
1738588079,307.89,311.40,391289
1738588139,307.89,311.00,391549
1738588198,307.90,311.40,392325
1738588259,307.91,311.35,393375
1738588319,307.91,311.25,394054
1738588379,307.93,311.85,395369
1738588439,307.96,311.80,398603
1738588499,308.00,312.00,403350
1738588559,308.04,312.00,406919
1738588619,308.05,312.15,408511
1738588679,308.11,312.00,414208
1738588739,308.13,312.00,416059
1738588799,308.13,312.10,416522
1738588859,308.13,312.15,416812
1738588919,308.14,312.15,417938
1738588979,308.15,312.05,418626
1738589039,308.17,312.25,420278
1738589099,308.18,312.25,422033
1738589159,308.20,312.35,423583
1738589219,308.22,312.40,426321
1738589279,308.25,312.50,428527
1738589339,308.25,312.25,428767
1738589399,308.30,311.85,434712
1738589459,308.32,312.20,437022
1738589519,308.33,312.25,438446
1738589579,308.34,312.70,439428
1738589639,308.35,312.45,440136
1738589699,308.40,312.20,446500
1738589759,308.40,312.25,446591
1738589819,308.40,312.05,446864
1738589879,308.41,312.15,447566
1738589939,308.41,312.30,447751
1738589999,308.42,312.35,449190
1738590059,308.44,312.40,451139
1738590119,308.45,312.80,452588
1738590179,308.47,312.85,454115
1738590239,308.48,312.80,455012
1738590299,308.48,313.00,455634
1738590359,308.54,313.00,461599
1738590419,308.55,313.00,462684
1738590479,308.56,313.20,463675
1738590539,308.58,313.30,465754
1738590599,308.60,313.25,468089
1738590659,308.62,313.15,470023
1738590719,308.64,313.00,471581
1738590779,308.65,312.85,473063
1738590839,308.66,312.95,474154
1738590898,308.66,312.90,474548
1738590959,308.67,312.75,475084
1738591019,308.67,313.00,475312
1738591079,308.69,312.85,477207
1738591139,308.70,313.05,478609
1738591199,308.72,312.80,480706
1738591259,308.73,313.20,481622
1738591319,308.77,313.40,486689
1738591379,308.79,313.40,487969
1738591439,308.80,313.25,489367
1738591499,308.80,313.25,489791
1738591559,308.81,313.10,490208
1738591619,308.82,313.20,491703
1738591679,308.83,313.15,492503
1738591739,308.84,313.40,493457
1738591799,308.84,313.25,493717
1738591859,308.84,313.35,494178
1738591919,308.87,313.60,496990
1738591979,308.90,313.60,499692
1738592039,308.92,313.25,501944
1738592099,308.92,313.45,502158
1738592159,308.92,313.40,502498
1738592219,308.93,313.20,503361
1738592279,308.93,313.35,503901
1738592339,308.97,312.85,508280
1738592399,308.98,312.80,509698
1738592459,308.99,312.90,511097
1738592519,309.00,313.20,512734
1738592579,309.01,313.35,513102
1738592639,309.01,313.15,513809
1738592699,309.01,313.35,513859
1738592759,309.02,313.50,515349
1738592819,309.04,313.60,516730
1738592879,309.04,313.50,517732
1738592939,309.05,313.60,518240
1738592999,309.06,313.50,519400
1738593059,309.06,313.60,519952
1738593119,309.08,313.55,521592
1738593179,309.08,313.70,522443
1738593239,309.09,313.55,522627
1738593299,309.11,313.60,526046
1738593359,309.12,313.25,527080
1738593419,309.14,313.30,529827
1738593479,309.16,313.00,531488
1738593539,309.18,313.25,534352
1738593599,309.19,312.90,536085
1738593659,309.20,312.90,537899
1738593719,309.22,312.75,540327
1738593779,309.22,313.00,541066
1738593839,309.22,312.95,541153
1738593899,309.25,312.45,544708
1738593959,309.25,312.80,545741
1738594019,309.26,312.95,546366
1738594079,309.26,312.85,546696
1738594139,309.27,312.45,547986
1738594199,309.27,312.55,549080
1738594259,309.28,312.65,550403
1738594319,309.29,312.85,551682
1738594379,309.29,312.85,552125
1738594439,309.30,312.60,553867
1738594499,309.31,312.75,554496
1738594559,309.31,312.75,554917
1738594617,309.32,312.80,556495
1738594677,309.32,312.75,556576
1738594738,309.34,312.75,559621
1738594799,309.35,312.95,560601
1738594859,309.38,313.60,565293
1738594919,309.44,313.80,573634
1738594979,309.46,313.40,576418
1738595039,309.47,313.70,577304
1738595099,309.47,313.65,578102
1738595159,309.48,313.65,578369
1738595219,309.48,313.45,579087
1738595279,309.49,313.60,580251
1738595339,309.49,313.45,580984
1738595399,309.57,313.30,591796
1738595459,309.58,313.25,593987
1738595519,309.61,313.45,597494
1738595579,309.61,313.45,598135
1738595639,309.62,313.70,599369
1738595699,309.62,313.45,599871
1738595759,309.65,313.70,603877
1738595819,309.66,313.85,606029
1738595879,309.67,313.80,607147
1738595939,309.70,313.65,611325
1738595999,309.71,313.80,612751
1738596057,309.71,313.55,613776
1738596119,309.72,313.45,614607
1738596179,309.73,313.25,615656
1738596239,309.76,313.30,622069
1738596299,309.78,313.25,625609
1738596359,309.79,313.30,626959
1738596419,309.80,313.15,628699
1738596479,309.84,313.15,635445
1738596539,309.85,313.20,638700
1738596599,309.86,313.00,640884
1738596628,309.86,313.00,640884
1738596680,309.86,313.00,640884
1738596802,309.86,313.00,640884
1738596951,309.86,313.00,640884
1738597076,309.86,313.00,640884
1738597132,309.86,313.00,640884
1738597153,309.86,313.00,640884
1738597238,309.86,313.50,640909
1738597284,309.86,313.50,640909
1738597364,309.86,313.50,640935
1738597382,309.86,313.50,640935
1738597467,309.86,313.50,640935
1738597526,309.86,313.50,640935
1738597603,309.86,313.50,640935
1738597678,309.86,313.50,640965
1738597687,309.86,313.50,640965
1738597831,309.86,313.50,640965
1738597916,309.86,313.50,640965
1738598093,309.86,313.50,640965
1738598141,309.86,313.50,640965
1738598217,309.86,313.50,640985
1738598256,309.86,313.50,640985
1738598351,309.86,313.50,641088
1738598402,309.86,313.50,641088
1738598486,309.86,313.50,641088
