t,ap,cp,v
1738579917,47.12,47.13,24271
1738579961,47.12,47.13,24271
1738580037,47.12,47.13,24271
1738580099,47.12,46.95,24298
1738580159,47.12,46.95,24298
1738580215,47.12,46.95,24298
1738580268,47.12,46.95,24298
1738580337,47.12,47.02,24428
1738580397,47.12,47.16,24429
1738580455,47.12,47.21,24431
1738580517,47.12,47.11,25047
1738580565,47.12,47.13,25061
1738580639,47.12,47.19,25062
1738580699,47.12,47.17,25262
1738580747,47.12,47.17,25262
1738580810,47.12,47.17,25262
1738580879,47.12,47.11,25464
1738580938,47.12,47.03,25777
1738580995,47.12,47.03,25777
1738581055,47.12,47.01,25786
1738581119,47.12,47.01,25786
1738581172,47.12,47.01,25786
1738581239,47.12,47.01,25835
1738581297,47.12,47.10,25923
1738581358,47.12,47.11,25933
1738581419,47.12,47.11,25933
1738581479,47.12,47.18,25934
1738581528,47.12,47.18,25934
1738581596,47.12,47.18,25934
1738581656,47.12,47.16,25935
1738581718,47.12,47.16,25935
1738581778,47.12,47.08,25938
1738581839,47.12,47.05,25957
1738581898,47.12,47.05,26158
1738581959,47.12,47.07,26160
1738582018,47.12,47.07,26160
1738582079,47.12,47.07,26161
1738582131,47.12,47.00,26191
1738582192,47.12,46.99,26359
1738582256,47.12,46.99,26359
1738582316,47.12,46.99,26359
1738582377,47.12,46.99,26360
1738582439,47.12,46.99,26360
1738582499,47.12,46.94,26506
1738582555,47.12,46.93,26507
1738582600,47.12,46.93,26507
1738582678,47.12,46.97,26508
1738582738,47.12,46.89,26516
1738582799,47.12,46.85,26616
1738582857,47.12,46.82,26697
1738582912,47.12,46.82,26697
1738582976,47.12,46.78,26698
1738583039,47.12,46.78,26698
1738583094,47.11,46.82,26739
1738583152,47.11,46.78,26743
1738583217,47.11,46.78,26743
1738583273,47.11,46.86,26744
1738583338,47.11,46.85,26994
1738583380,47.11,46.83,26995
1738583456,47.11,46.89,27101
1738583519,47.11,46.89,27101
1738583579,47.11,46.89,27180
1738583638,47.11,46.89,27180
1738583698,47.11,46.74,27230
1738583753,47.11,46.85,27231
1738583819,47.11,46.84,27232
1738583878,47.11,46.84,27232
1738583939,47.10,46.90,28146
1738583995,47.10,46.87,28156
1738584056,47.10,46.93,28158
1738584116,47.10,46.93,28158
1738584161,47.10,46.93,28158
1738584231,47.10,46.93,28158
1738584298,47.10,46.93,28158
1738584359,47.10,46.93,28158
1738584419,47.10,46.93,28158
1738584476,47.10,46.84,28168
1738584535,47.10,46.87,28169
1738584581,47.10,46.87,28169
1738584641,47.10,46.87,28169
1738584708,47.10,46.87,28169
1738584770,47.10,46.87,28172
1738584833,47.10,46.84,28173
1738584880,47.10,46.84,28173
1738584952,47.10,46.82,28263
1738585013,47.10,46.82,28263
1738585077,47.10,46.82,28263
1738585136,47.10,46.82,28263
1738585198,47.10,46.82,28263
1738585259,47.10,46.82,28263
1738585319,47.10,46.82,28364
1738585370,47.10,46.82,28364
1738585439,46.76,46.29,48019
1738585492,46.75,46.29,49508
1738585559,46.68,46.12,55000
1738585619,46.65,46.30,57435
1738585679,46.65,46.30,57435
1738585739,46.65,46.27,58094
1738585796,46.65,46.25,58297
1738585850,46.65,46.28,58397
1738585917,46.65,46.28,58397
1738585973,46.64,46.21,58980
1738586034,46.64,46.21,58980
1738586099,46.64,46.23,58981
1738586145,46.64,46.27,58989
1738586218,46.64,46.28,58999
1738586274,46.64,46.28,58999
1738586325,46.64,46.28,58999
1738586378,46.64,46.30,59400
1738586455,46.64,46.30,59400
1738586511,46.64,46.30,59400
1738586579,46.64,46.30,59400
1738586639,46.64,46.27,59401
1738586696,46.64,46.19,59402
1738586755,46.64,46.24,59591
1738586816,46.61,46.10,62623
1738586872,46.61,46.07,62624
1738586939,46.61,46.07,62624
1738586997,46.61,46.09,62625
1738587057,46.61,46.14,62629
1738587105,46.61,46.12,62666
1738587178,46.61,46.12,62669
1738587231,46.61,46.15,62681
1738587299,46.61,46.19,62863
1738587358,46.61,46.19,62863
1738587411,46.61,46.19,62863
1738587479,46.61,46.30,63295
1738587539,46.61,46.30,63295
1738587598,46.61,46.22,63296
1738587656,46.61,46.22,63296
1738587719,46.61,46.22,63296
1738587746,46.61,46.22,63296
1738587838,46.61,46.33,63450
1738587884,46.61,46.38,63460
1738587954,46.61,46.38,63460
1738588019,46.61,46.20,63534
1738588075,46.61,46.29,63537
1738588131,46.61,46.29,63537
1738588199,46.61,46.29,63537
1738588257,46.61,46.33,63707
1738588313,46.61,46.33,63707
1738588369,46.61,46.37,63712
1738588439,46.61,46.39,63722
1738588498,46.61,46.39,63722
1738588558,46.61,46.34,63726
1738588614,46.60,46.30,64126
1738588675,46.60,46.26,64401
1738588738,46.60,46.29,64417
1738588792,46.60,46.29,64417
1738588856,46.60,46.26,64432
1738588919,46.60,46.26,64432
1738588969,46.60,46.26,64451
1738589036,46.60,46.22,64453
1738589097,46.60,46.22,64453
1738589157,46.60,46.17,65203
1738589210,46.60,46.20,65208
1738589271,46.60,46.20,65234
1738589338,46.60,46.20,65234
1738589399,46.60,46.20,65234
1738589459,46.60,46.16,65235
1738589519,46.59,46.10,65731
1738589576,46.59,46.10,65731
1738589635,46.59,46.10,65731
1738589698,46.59,46.10,65731
1738589757,46.59,46.18,65732
1738589818,46.59,46.16,65733
1738589875,46.59,46.16,65733
1738589935,46.59,46.16,65733
1738589988,46.59,46.16,65733
1738590059,46.59,46.16,65733
1738590118,46.59,46.16,65733
1738590178,46.59,46.16,65733
1738590239,46.59,46.16,65733
1738590295,46.59,46.16,65743
1738590353,46.59,46.23,65745
1738590415,46.59,46.23,65745
1738590475,46.59,46.23,66045
1738590539,46.59,46.26,66145
1738590588,46.59,46.26,66145
1738590657,46.59,46.26,66145
1738590719,46.59,46.15,66357
1738590778,46.59,46.15,66357
1738590837,46.59,46.16,66365
1738590898,46.59,46.16,66365
1738590956,46.59,46.12,66387
1738591014,46.59,46.12,66387
1738591077,46.59,46.12,66387
1738591137,46.59,46.15,66388
1738591195,46.59,46.10,66528
1738591257,46.59,46.10,66538
1738591316,46.59,46.10,66538
1738591370,46.59,46.10,66538
1738591437,46.59,46.10,66538
1738591491,46.59,46.09,66683
1738591557,46.59,46.09,66683
1738591618,46.59,46.22,66855
1738591679,46.59,46.15,66856
1738591729,46.59,46.15,66856
1738591795,46.59,46.15,66856
1738591857,46.59,46.15,66856
1738591918,46.59,46.15,66856
1738591972,46.59,46.21,66857
1738592034,46.59,46.24,66865
1738592088,46.59,46.24,66865
1738592154,46.59,46.24,66865
1738592219,46.59,46.23,66866
1738592270,46.59,46.23,66866
1738592336,46.59,46.17,66981
1738592386,46.59,46.17,66981
1738592450,46.59,46.17,66981
1738592509,46.59,46.18,66986
1738592574,46.59,46.18,67037
1738592639,46.59,46.18,67037
1738592699,46.59,46.18,67037
1738592754,46.59,46.19,67047
1738592811,46.59,46.18,67049
1738592863,46.59,46.18,67049
1738592938,46.58,46.17,67145
1738592996,46.58,46.17,67145
1738593059,46.58,46.15,67146
1738593119,46.58,46.11,67157
1738593175,46.58,46.11,67157
1738593226,46.58,46.11,67157
1738593292,46.58,46.12,67284
1738593358,46.58,46.20,67291
1738593408,46.58,46.20,67291
1738593477,46.58,46.20,67291
1738593534,46.58,46.14,67510
1738593599,46.58,46.14,67510
1738593654,46.58,46.09,67520
1738593695,46.58,46.09,67520
1738593776,46.58,46.15,67521
1738593837,46.58,46.13,67524
1738593899,46.58,46.13,67524
1738593957,46.58,46.13,67524
1738594015,46.58,46.13,67524
1738594078,46.58,46.13,67524
1738594139,46.58,46.16,67525
1738594199,46.58,46.12,67530
1738594258,46.58,46.12,67530
1738594319,46.58,46.16,67534
1738594373,46.58,46.16,67534
1738594439,46.58,46.21,67755
1738594499,46.58,46.24,67756
1738594555,46.58,46.28,67761
1738594596,46.58,46.28,67761
1738594677,46.58,46.28,67761
1738594737,46.58,46.22,67762
1738594799,46.58,46.23,67951
1738594856,46.58,46.17,68052
1738594919,46.58,46.17,68052
1738594976,46.58,46.13,68161
1738595039,46.58,46.09,68312
1738595099,46.58,46.09,68312
1738595155,46.58,46.11,68313
1738595213,46.58,46.10,68316
1738595279,46.58,46.10,68317
1738595338,46.58,46.12,68327
1738595399,46.56,46.10,70295
1738595458,46.56,46.14,70296
1738595519,46.56,46.13,70297
1738595577,46.54,46.10,74846
1738595639,46.53,46.10,75781
