t,ap,cp,v
1738595673,31.83,31.88,749
1738595700,31.86,31.88,1740
1738595760,31.86,31.88,1740
1738596602,31.86,31.88,1740
1738596674,31.86,31.88,1740
1738598400,31.86,31.88,1740
1738598474,31.86,31.88,1740
1738581300,31.26,31.26,33
1738581360,31.26,31.26,33
1738582205,31.26,31.26,33
1738584232,31.26,31.26,33
1738584279,31.26,31.26,33
1738584846,31.26,31.26,33
1738584900,31.26,31.26,49
1738584960,31.26,31.26,49
1738585222,31.26,31.26,49
1738586618,31.26,31.88,49
1738586734,31.26,31.88,49
1738587359,31.26,31.88,49
1738587365,31.26,31.88,49
1738587655,31.26,31.88,49
1738588120,31.26,31.88,49
1738588447,31.26,31.88,49
1738588500,31.67,31.88,149
1738588560,31.67,31.88,149
1738588694,31.67,31.88,149
1738591377,31.67,31.88,149
1738591913,31.67,31.88,149
1738592043,31.67,31.88,149
1738592101,31.83,31.88,749
1738592160,31.83,31.88,749
1738593005,31.83,31.88,749
1738593131,31.83,31.88,749
1738593596,31.83,31.88,749
1738593978,31.83,31.88,749
1738595122,31.83,31.88,749
1738595673,31.83,31.88,749
1738595700,31.86,31.88,1740
1738595760,31.86,31.88,1740
1738596602,31.86,31.88,1740
1738596674,31.86,31.88,1740
1738598400,31.86,31.88,1740
1738598474,31.86,31.88,1740
