t,ap,cp,v
1738575059,46045.99,46633.65,69
1738575119,46071.10,46651.45,72
1738575179,46071.10,46651.45,72
1738575239,46071.10,46651.45,72
1738575299,46071.10,46651.45,72
1738575359,46071.10,46651.45,72
1738575419,46091.55,46385.95,77
1738575478,46091.55,46385.95,77
1738575539,46091.55,46385.95,77
1738575599,46100.78,46337.75,80
1738575659,46105.71,46500.00,81
1738575719,46105.71,46500.00,81
1738575779,46105.71,46500.00,81
1738575839,46111.57,46585.85,82
1738575898,46111.57,46585.85,82
1738575959,46111.57,46585.85,82
1738576019,46111.57,46585.85,82
1738576079,46111.57,46585.85,82
1738576139,46111.57,46585.85,82
1738576197,46111.57,46585.85,82
1738576259,46111.57,46585.85,82
1738576319,46111.57,46585.85,82
1738576379,46111.57,46585.85,82
1738576439,46111.57,46585.85,82
1738576499,46111.57,46585.85,82
1738576559,46111.57,46585.85,82
1738576619,46111.57,46585.85,82
1738576679,46116.01,46480.00,83
1738576739,46116.01,46480.00,83
1738576799,46116.01,46480.00,83
1738576859,46116.01,46480.00,83
1738576919,46116.01,46480.00,83
1738576979,46116.01,46480.00,83
1738577039,46116.01,46480.00,83
1738577099,46116.01,46480.00,83
1738577159,46120.33,46479.40,84
1738577219,46120.33,46479.40,84
1738577279,46120.33,46479.40,84
1738577339,46120.33,46479.40,84
1738577399,46120.33,46479.40,84
1738577459,46120.33,46479.40,84
1738577519,46120.33,46479.40,84
1738577579,46120.33,46479.40,84
1738577639,46120.33,46479.40,84
1738577699,46120.33,46479.40,84
1738577759,46120.33,46479.40,84
1738577819,46120.33,46479.40,84
1738577879,46120.33,46479.40,84
1738577939,46120.33,46479.40,84
1738577999,46120.33,46479.40,84
1738578058,46124.82,46501.75,85
1738578119,46129.36,46514.95,86
1738578179,46129.36,46514.95,86
1738578239,46129.36,46514.95,86
1738578298,46129.36,46514.95,86
1738578356,46129.36,46514.95,86
1738578419,46129.36,46514.95,86
1738578479,46132.65,46416.00,87
1738578539,46132.65,46416.00,87
1738578598,46132.65,46416.00,87
1738578659,46132.65,46416.00,87
1738578719,46132.65,46416.00,87
1738578779,46132.65,46416.00,87
1738578839,46132.65,46416.00,87
1738578899,46132.65,46416.00,87
1738578959,46132.65,46416.00,87
1738579019,46132.65,46416.00,87
1738579074,46132.65,46416.00,87
1738579139,46132.65,46416.00,87
1738579196,46132.65,46416.00,87
1738579258,46132.65,46416.00,87
1738579319,46132.65,46416.00,87
1738579376,46132.65,46416.00,87
1738579439,46132.65,46416.00,87
1738579499,46132.65,46416.00,87
1738579559,46132.65,46416.00,87
1738579618,46132.65,46416.00,87
1738579677,46132.65,46416.00,87
1738579739,46137.86,46590.95,88
1738579799,46137.86,46590.95,88
1738579859,46137.86,46590.95,88
1738579918,46137.86,46590.95,88
1738579979,46137.86,46590.95,88
1738580039,46137.86,46590.95,88
1738580099,46137.86,46590.95,88
1738580159,46137.86,46590.95,88
1738580219,46137.86,46590.95,88
1738580277,46152.21,46566.40,91
1738580339,46152.21,46566.40,91
1738580398,46152.21,46566.40,91
1738580459,46152.21,46566.40,91
1738580519,46152.21,46566.40,91
1738580578,46152.21,46566.40,91
1738580639,46152.21,46566.40,91
1738580699,46158.90,46767.75,92
1738580759,46158.90,46767.75,92
1738580819,46158.90,46767.75,92
1738580879,46158.90,46767.75,92
1738580939,46158.90,46767.75,92
1738580998,46158.90,46767.75,92
1738581059,46158.90,46767.75,92
1738581119,46158.90,46767.75,92
1738581179,46158.90,46767.75,92
1738581239,46158.90,46767.75,92
1738581299,46158.90,46767.75,92
1738581359,46158.90,46767.75,92
1738581419,46158.90,46767.75,92
1738581479,46158.90,46767.75,92
1738581532,46158.90,46767.75,92
1738581599,46158.90,46767.75,92
1738581659,46158.90,46767.75,92
1738581719,46158.90,46767.75,92
1738581779,46158.90,46767.75,92
1738581839,46158.90,46767.75,92
1738581899,46167.96,46585.10,94
1738581959,46167.96,46585.10,94
1738582019,46167.96,46585.10,94
1738582079,46171.38,46492.00,95
1738582139,46171.38,46492.00,95
1738582199,46171.38,46492.00,95
1738582256,46171.38,46492.00,95
1738582319,46176.51,46663.85,96
1738582379,46176.51,46663.85,96
1738582438,46176.51,46663.85,96
1738582499,46176.51,46663.85,96
1738582559,46176.51,46663.85,96
1738582619,46176.51,46663.85,96
1738582679,46176.51,46663.85,96
1738582739,46176.51,46663.85,96
1738582799,46176.51,46663.85,96
1738582859,46176.51,46663.85,96
1738582919,46176.51,46663.85,96
1738582979,46176.51,46663.85,96
1738583039,46176.51,46663.85,96
1738583099,46176.51,46663.85,96
1738583157,46176.51,46663.85,96
1738583218,46176.51,46663.85,96
1738583279,46180.62,46575.55,97
1738583338,46180.62,46575.55,97
1738583397,46184.89,46598.95,98
1738583459,46184.89,46598.95,98
1738583519,46184.89,46598.95,98
1738583579,46191.21,46810.80,99
1738583639,46191.21,46810.80,99
1738583699,46198.30,46900.00,100
1738583759,46198.30,46900.00,100
1738583818,46198.30,46900.00,100
1738583879,46205.25,46900.00,101
1738583939,46246.67,46846.50,108
1738583999,46246.67,46846.50,108
1738584057,46246.67,46846.50,108
1738584119,46246.67,46846.50,108
1738584178,46246.67,46846.50,108
1738584237,46246.67,46846.50,108
1738584299,46251.56,46779.50,109
1738584359,46257.00,46850.00,110
1738584419,46257.00,46850.00,110
1738584478,46257.00,46850.00,110
1738584539,46277.01,46827.35,114
1738584599,46277.01,46827.35,114
1738584659,46277.01,46827.35,114
1738584719,46277.01,46827.35,114
1738584779,46277.01,46827.35,114
1738584838,46277.01,46827.35,114
1738584899,46277.01,46827.35,114
1738584959,46277.01,46827.35,114
1738585019,46277.01,46827.35,114
1738585079,46277.01,46827.35,114
1738585137,46277.01,46827.35,114
1738585199,46277.01,46827.35,114
1738585259,46277.01,46827.35,114
1738585319,46277.01,46827.35,114
1738585379,46286.28,46814.45,116
1738585439,46286.28,46814.45,116
1738585499,46286.28,46814.45,116
1738585559,46286.28,46814.45,116
1738585619,46291.94,46949.00,117
1738585679,46297.56,46955.00,118
1738585738,46297.56,46955.00,118
1738585799,46297.56,46955.00,118
1738585859,46297.56,46955.00,118
1738585919,46297.56,46955.00,118
1738585979,46297.56,46955.00,118
1738586039,46297.56,46955.00,118
1738586099,46297.56,46955.00,118
1738586159,46297.56,46955.00,118
1738586218,46297.56,46955.00,118
1738586279,46297.56,46955.00,118
1738586339,46297.56,46955.00,118
1738586399,46297.56,46955.00,118
1738586458,46297.56,46955.00,118
1738586519,46297.56,46955.00,118
1738586579,46307.44,46890.00,120
1738586637,46307.44,46890.00,120
1738586699,46316.00,46830.00,122
1738586759,46316.00,46830.00,122
1738586819,46316.00,46830.00,122
1738586879,46333.82,46647.05,129
1738586939,46333.82,46647.05,129
1738586999,46337.59,46823.95,130
1738587059,46337.59,46823.95,130
1738587119,46337.59,46823.95,130
1738587178,46337.59,46823.95,130
1738587239,46342.78,46680.20,132
1738587294,46350.33,46682.05,135
1738587359,46350.33,46682.05,135
1738587419,46350.33,46682.05,135
1738587479,46350.33,46682.05,135
1738587539,46369.63,46805.25,141
1738587599,46378.05,46757.25,144
1738587659,46383.75,46793.90,146
1738587719,46383.75,46793.90,146
1738587779,46383.75,46793.90,146
1738587838,46402.66,46955.00,151
1738587899,46402.66,46955.00,151
1738587959,46402.66,46955.00,151
1738588018,46406.09,46923.30,152
1738588079,46406.09,46923.30,152
1738588139,46406.09,46923.30,152
1738588198,46406.09,46923.30,152
1738588259,46406.09,46923.30,152
1738588319,46406.09,46923.30,152
1738588379,46440.83,47199.95,159
1738588439,46440.83,47199.95,159
1738588499,46440.83,47199.95,159
1738588559,46440.83,47199.95,159
1738588619,46445.14,47131.00,160
1738588679,46445.14,47131.00,160
1738588739,46445.14,47131.00,160
1738588798,46445.14,47131.00,160
1738588859,46449.51,47147.60,161
1738588919,46449.51,47147.60,161
1738588977,46449.51,47147.60,161
1738589039,46449.51,47147.60,161
1738589099,46449.51,47147.60,161
1738589159,46449.51,47147.60,161
1738589219,46449.51,47147.60,161
1738589279,46449.51,47147.60,161
1738589339,46449.51,47147.60,161
1738589399,46453.87,47156.95,162
1738589459,46453.87,47156.95,162
1738589515,46453.87,47156.95,162
1738589579,46453.87,47156.95,162
1738589638,46453.87,47156.95,162
1738589698,46453.87,47156.95,162
1738589759,46453.87,47156.95,162
1738589815,46453.87,47156.95,162
1738589879,46453.87,47156.95,162
1738589939,46453.87,47156.95,162
1738589999,46453.87,47156.95,162
1738590059,46453.87,47156.95,162
1738590116,46453.87,47156.95,162
1738590175,46453.87,47156.95,162
1738590238,46453.87,47156.95,162
1738590289,46453.87,47156.95,162
1738590359,46453.87,47156.95,162
1738590419,46453.87,47156.95,162
1738590479,46457.90,47109.85,163
1738590539,46457.90,47109.85,163
1738590599,46457.90,47109.85,163
1738590659,46462.20,47164.05,164
1738590719,46462.20,47164.05,164
1738590779,46462.20,47164.05,164
1738590839,46462.20,47164.05,164
1738590899,46462.20,47164.05,164
1738590958,46462.20,47164.05,164
1738591019,46462.20,47164.05,164
1738591072,46465.70,47038.20,165
1738591138,46465.70,47038.20,165
1738591197,46465.70,47038.20,165
1738591258,46465.70,47038.20,165
1738591319,46476.71,47083.25,168
1738591377,46476.71,47083.25,168
1738591431,46476.71,47083.25,168
1738591499,46476.71,47083.25,168
1738591558,46476.71,47083.25,168
1738591619,46476.71,47083.25,168
1738591679,46490.34,47253.75,171
1738591737,46490.34,47253.75,171
1738591799,46490.34,47253.75,171
1738591857,46490.34,47253.75,171
1738591919,46490.34,47253.75,171
1738591977,46490.34,47253.75,171
1738592038,46490.34,47253.75,171
1738592096,46490.34,47253.75,171
1738592159,46490.34,47253.75,171
1738592219,46490.34,47253.75,171
1738592279,46499.70,47300.35,173
1738592339,46499.70,47300.35,173
1738592399,46499.70,47300.35,173
1738592459,46499.70,47300.35,173
1738592519,46499.70,47300.35,173
1738592578,46499.70,47300.35,173
1738592639,46499.70,47300.35,173
1738592697,46499.70,47300.35,173
1738592759,46499.70,47300.35,173
1738592819,46499.70,47300.35,173
1738592879,46499.70,47300.35,173
1738592939,46499.70,47300.35,173
1738592999,46499.70,47300.35,173
1738593057,46499.70,47300.35,173
1738593119,46499.70,47300.35,173
1738593179,46499.70,47300.35,173
1738593238,46499.70,47300.35,173
1738593299,46499.70,47300.35,173
1738593359,46499.70,47300.35,173
