t,ap,cp,v
1738578599,716.07,710.00,1517
1738578659,716.07,710.00,1517
1738578719,716.03,710.45,1530
1738578778,715.63,708.95,1627
1738578838,715.63,708.95,1627
1738578899,715.63,708.95,1627
1738578959,715.63,708.95,1627
1738579014,715.60,709.80,1636
1738579078,715.60,709.80,1636
1738579139,715.60,709.80,1636
1738579194,715.53,708.10,1651
1738579255,715.53,708.10,1651
1738579314,715.53,708.10,1651
1738579363,715.53,710.50,1652
1738579437,715.53,710.50,1652
1738579499,715.53,710.50,1652
1738579558,715.53,710.50,1652
1738579617,715.53,710.50,1652
1738579677,715.53,710.50,1653
1738579738,715.52,710.50,1655
1738579793,715.52,710.65,1656
1738579858,715.51,709.65,1657
1738579917,715.51,709.65,1657
1738579973,715.51,709.65,1657
1738580032,715.51,709.65,1657
1738580099,715.51,709.65,1657
1738580156,715.51,709.70,1658
1738580219,715.42,710.65,1687
1738580278,715.40,709.75,1694
1738580335,715.39,711.35,1697
1738580399,715.36,712.25,1717
1738580459,715.36,712.25,1717
1738580516,715.36,712.25,1717
1738580578,715.30,710.65,1739
1738580638,715.30,710.65,1739
1738580697,715.30,710.65,1739
1738580757,715.30,711.15,1740
1738580814,715.30,711.15,1740
1738580874,715.29,710.35,1742
1738580937,715.29,710.35,1742
1738580998,715.20,708.50,1766
1738581059,715.18,708.00,1770
1738581117,715.18,708.00,1770
1738581174,714.94,707.50,1836
1738581231,714.90,706.55,1846
1738581294,714.90,706.55,1846
1738581356,714.84,708.00,1862
1738581418,714.82,709.40,1867
1738581479,714.82,710.00,1868
1738581532,714.82,710.00,1868
1738581599,714.82,710.00,1868
1738581655,714.82,710.00,1868
1738581719,714.82,710.00,1868
1738581779,714.79,709.55,1877
1738581838,714.79,709.55,1877
1738581895,714.79,709.55,1877
1738581959,714.27,709.80,2097
1738582018,714.27,709.80,2097
1738582079,714.27,709.80,2097
1738582137,714.27,709.80,2097
1738582198,714.27,709.80,2097
1738582259,714.26,707.95,2098
1738582316,714.26,707.95,2098
1738582379,714.26,707.95,2098
1738582430,714.26,707.95,2098
1738582495,714.26,707.95,2098
1738582559,714.26,707.95,2098
1738582618,714.12,707.70,2141
1738582678,714.12,707.70,2141
1738582739,714.09,705.70,2149
1738582799,714.09,705.70,2149
1738582858,714.05,705.00,2159
1738582916,714.02,705.00,2166
1738582978,713.85,705.00,2209
1738583031,713.85,705.00,2209
1738583097,713.79,705.00,2224
1738583154,713.79,705.00,2224
1738583212,713.77,704.00,2229
1738583275,713.38,702.70,2311
1738583338,713.38,702.45,2312
1738583396,713.38,702.45,2312
1738583452,713.37,704.55,2314
1738583515,713.36,705.40,2317
1738583579,713.35,705.35,2318
1738583635,713.35,705.35,2318
1738583696,713.35,705.35,2318
1738583752,713.35,703.70,2319
1738583814,713.35,703.70,2319
1738583841,713.35,703.70,2319
1738583934,713.35,703.70,2319
1738583999,713.35,703.70,2319
1738584056,713.35,703.70,2319
1738584116,713.33,703.50,2324
1738584177,713.20,702.45,2354
1738584233,713.20,702.45,2354
1738584299,713.20,702.45,2354
1738584354,713.20,702.45,2354
1738584415,713.20,702.45,2354
1738584478,713.20,702.45,2354
1738584518,713.20,702.45,2354
1738584589,713.20,702.45,2354
1738584659,713.20,702.45,2354
1738584717,712.62,701.80,2483
1738584766,712.28,704.85,2595
1738584836,712.28,704.85,2596
1738584899,712.27,704.70,2597
1738584959,712.27,704.70,2597
1738585014,712.23,702.50,2609
1738585079,712.23,702.50,2609
1738585138,712.23,702.50,2609
1738585199,712.22,702.30,2611
1738585259,712.12,702.35,2639
1738585315,712.12,702.35,2639
1738585379,712.12,702.35,2639
1738585437,712.12,702.35,2639
1738585498,712.11,703.10,2640
1738585559,712.11,703.10,2640
1738585619,712.09,701.05,2645
1738585676,712.09,701.05,2645
1738585739,712.08,701.00,2647
1738585785,712.00,700.00,2665
1738585859,711.95,701.55,2679
1738585919,711.95,701.55,2679
1738585979,711.95,701.55,2679
1738586037,711.95,701.55,2679
1738586097,711.95,701.55,2679
1738586157,711.95,701.55,2679
1738586216,711.95,701.55,2679
1738586276,711.87,701.55,2699
1738586331,711.87,701.55,2699
1738586398,711.87,701.55,2699
1738586441,711.87,701.55,2699
1738586515,711.87,701.55,2699
1738586578,711.71,698.05,2734
1738586636,711.63,698.00,2751
1738586699,711.63,698.00,2751
1738586758,711.61,696.00,2754
1738586814,711.61,696.00,2754
1738586879,711.61,696.00,2754
1738586939,711.56,697.00,2764
1738586998,711.53,695.90,2769
1738587059,709.82,695.95,3054
1738587118,709.82,695.95,3054
1738587176,709.76,695.95,3066
1738587234,709.76,695.95,3066
1738587299,708.75,694.95,3290
1738587359,708.75,694.95,3290
1738587419,708.74,694.00,3291
1738587478,708.73,694.00,3293
1738587539,708.69,694.00,3303
1738587597,708.67,694.35,3308
1738587653,708.66,694.35,3309
1738587715,708.65,695.05,3311
1738587779,708.65,695.05,3311
1738587836,708.65,695.05,3311
1738587899,708.23,694.35,3411
1738587959,708.23,693.00,3412
1738588011,708.19,693.00,3422
1738588079,708.19,693.00,3422
1738588139,707.61,694.50,3567
1738588197,707.57,693.55,3577
1738588259,707.42,691.10,3613
1738588314,707.41,693.45,3614
1738588377,707.41,693.45,3614
1738588432,707.41,693.45,3614
1738588498,707.34,693.45,3634
1738588558,707.34,693.45,3634
1738588614,707.27,696.10,3654
1738588678,707.22,694.45,3669
1738588739,706.89,695.15,3767
1738588797,706.84,694.30,3783
1738588859,706.04,691.90,4003
1738588916,706.04,691.90,4003
1738588971,705.83,692.85,4074
1738589031,705.83,692.85,4074
1738589098,705.83,692.85,4075
1738589158,705.83,692.85,4075
1738589215,705.83,692.85,4075
1738589273,705.83,692.85,4075
1738589337,705.64,693.00,4130
1738589396,705.64,693.00,4130
1738589458,705.64,693.00,4130
1738589516,705.64,692.95,4131
1738589576,705.64,692.95,4131
1738589636,705.55,692.95,4158
1738589698,705.55,692.95,4158
1738589758,705.55,692.95,4158
1738589816,705.55,692.95,4158
1738589878,705.32,693.85,4239
1738589928,705.29,694.25,4249
1738589991,705.29,693.50,4250
1738590058,705.29,693.50,4250
1738590110,705.29,693.50,4252
1738590179,705.09,695.25,4332
1738590239,705.09,695.25,4332
1738590299,705.09,695.25,4332
1738590358,705.04,694.60,4352
1738590418,704.96,696.50,4387
1738590475,704.96,696.50,4389
1738590538,704.92,698.00,4414
1738590598,704.57,697.65,4635
1738590646,704.57,697.65,4635
1738590715,704.57,697.65,4635
1738590778,704.57,697.65,4635
1738590826,704.33,697.50,4783
1738590898,704.33,697.50,4783
1738590957,704.33,697.50,4783
1738591018,704.33,697.50,4783
1738591079,704.20,697.80,4881
1738591139,704.00,698.35,5040
1738591199,704.00,698.35,5040
1738591259,703.95,697.95,5080
1738591319,703.94,698.00,5086
1738591377,703.94,698.00,5086
1738591439,703.89,699.95,5151
1738591496,703.86,700.75,5185
1738591546,703.86,700.75,5185
1738591613,703.86,700.75,5185
1738591678,703.85,698.00,5195
1738591739,703.85,698.00,5195
1738591798,703.64,700.00,5444
1738591858,703.64,700.00,5444
1738591919,703.64,700.00,5444
1738591979,703.64,700.00,5444
1738592038,703.64,700.00,5444
1738592088,703.64,700.00,5444
1738592159,703.41,699.45,5750
1738592219,703.37,697.65,5808
1738592274,703.37,697.65,5808
1738592339,703.22,700.30,6092
1738592399,703.22,701.00,6098
1738592459,703.22,701.00,6098
1738592519,703.18,700.90,6177
1738592577,703.18,700.90,6177
1738592637,703.18,700.90,6177
1738592696,703.18,700.90,6177
1738592758,703.18,698.05,6180
1738592819,703.18,698.05,6180
1738592879,703.05,702.40,7529
1738592937,703.01,700.00,7629
1738592994,703.00,698.00,7630
1738593055,703.00,698.00,7630
1738593119,703.00,698.00,7630
1738593170,703.00,698.00,7630
1738593233,703.00,698.00,7630
1738593299,702.91,695.00,7717
1738593359,702.91,695.00,7717
1738593419,702.91,695.00,7718
1738593479,702.76,692.05,7829
1738593534,702.76,692.05,7829
1738593598,702.64,694.90,7949
1738593659,702.41,696.05,8341
1738593719,702.41,699.20,8349
1738593779,702.25,700.75,8781
1738593839,702.26,702.95,9490
1738593897,702.27,704.80,9615
1738593958,702.31,705.95,9715
1738594016,702.31,705.95,9715
1738594079,702.31,700.65,9716
1738594139,702.31,700.65,9716
1738594198,702.31,700.65,9716
1738594259,702.31,702.35,9799
1738594318,702.32,703.00,10086
1738594379,702.32,703.00,10148
1738594439,702.33,703.00,10221
1738594499,702.33,703.00,10256
1738594559,702.33,701.00,10275
1738594615,702.33,701.00,10275
1738594677,702.32,702.15,10376
1738594727,702.32,702.15,10377
1738594798,702.32,702.15,10377
1738594859,702.32,702.15,10377
1738594919,702.32,702.15,10377
1738594979,702.32,702.15,10377
1738595039,702.32,702.15,10377
1738595091,702.32,702.15,10377
1738595159,702.32,702.15,10377
1738595219,702.32,702.15,10377
1738595279,702.32,702.15,10377
1738595339,702.32,702.15,10377
1738595399,702.32,702.15,10377
1738595459,702.32,702.30,10386
1738595516,702.32,702.30,10386
1738595578,702.32,702.30,10386
1738595639,702.32,702.30,10386
1738595695,702.31,699.55,10399
1738595759,702.31,699.55,10399
1738595819,702.31,703.00,10410
1738595877,702.31,703.00,10410
1738595939,702.31,703.00,10410
1738595999,702.31,703.00,10410
1738596054,702.31,703.00,10410
1738596114,702.31,703.00,10437
1738596179,702.31,703.00,10437
1738596234,702.32,703.90,10466
1738596299,702.32,705.60,10467
1738596356,702.31,704.80,10569
1738596417,702.30,700.30,10723
1738596477,702.30,700.30,10723
1738596539,702.08,703.00,11541
1738596597,702.21,704.00,12379
1738596610,702.21,704.00,12379
1738596679,702.21,704.00,12379
1738597182,702.21,704.00,12379
1738597234,702.21,704.00,12379
1738597285,702.20,701.65,12409
1738598183,702.20,701.65,12424
1738598402,702.20,701.65,12424
1738598486,702.20,701.65,12424
1738573711,725.10,725.10,64
1738573740,725.10,725.10,64
1738574153,725.38,725.10,165
1738574218,725.29,723.40,220
1738574278,725.32,723.40,232
1738574336,725.33,727.55,234
1738574399,725.40,725.95,253
1738574458,725.41,725.90,255
1738574518,725.31,723.40,275
1738574577,724.46,719.40,327
1738574639,724.16,721.65,367
1738574699,724.05,718.45,375
1738574759,723.99,717.55,378
1738574819,723.47,722.95,415
1738574879,723.13,719.50,460
1738574939,723.08,718.60,465
1738574999,723.08,718.60,465
1738575058,723.08,718.60,465
1738575119,722.84,718.35,489
1738575179,722.69,716.00,502
1738575239,721.08,712.45,578
1738575295,721.07,713.85,579
1738575357,721.05,711.00,580
1738575419,720.70,709.90,599
1738575476,720.60,710.40,605
1738575539,720.55,711.35,608
1738575598,720.47,710.70,613
1738575658,719.71,708.95,657
1738575713,719.71,708.95,657
1738575779,719.67,713.95,662
1738575839,719.65,712.70,664
1738575899,718.11,713.00,864
1738575958,718.11,713.00,864
1738576019,718.11,713.00,864
1738576078,718.03,710.35,873
1738576139,717.90,712.40,889
1738576187,717.90,712.40,889
1738576258,717.78,713.55,914
1738576318,717.78,713.55,914
1738576371,717.78,713.55,914
1738576436,717.78,713.55,914
1738576499,717.78,713.55,914
1738576558,716.87,713.95,1163
1738576617,716.87,713.95,1163
1738576679,716.80,711.10,1178
1738576739,716.80,711.10,1178
1738576799,716.80,711.10,1178
1738576854,716.37,711.10,1274
1738576917,716.37,711.10,1274
1738576978,716.37,711.10,1274
1738577035,716.37,711.10,1274
1738577099,716.37,713.80,1275
1738577158,716.37,714.30,1276
1738577218,716.31,714.45,1393
1738577279,716.28,714.45,1413
1738577339,716.27,714.45,1420
1738577399,716.27,714.45,1420
1738577454,716.22,714.35,1455
1738577518,716.22,714.35,1455
1738577577,716.22,714.35,1455
1738577639,716.22,713.65,1458
1738577697,716.22,713.65,1458
1738577759,716.22,713.65,1458
1738577818,716.22,713.65,1458
1738577879,716.22,713.90,1459
1738577930,716.22,713.90,1459
1738577999,716.20,713.75,1468
1738578059,716.20,713.75,1468
1738578117,716.20,713.75,1468
1738578179,716.20,713.75,1468
1738578238,716.16,713.95,1493
1738578298,716.16,713.95,1493
1738578351,716.15,713.00,1498
1738578418,716.15,713.00,1498
1738578478,716.15,710.85,1499
1738578539,716.11,710.00,1509
1738578599,716.07,710.00,1517
1738578659,716.07,710.00,1517
1738578719,716.03,710.45,1530
1738578778,715.63,708.95,1627
1738578838,715.63,708.95,1627
1738578899,715.63,708.95,1627
1738578959,715.63,708.95,1627
1738579014,715.60,709.80,1636
1738579078,715.60,709.80,1636
1738579139,715.60,709.80,1636
1738579194,715.53,708.10,1651
1738579255,715.53,708.10,1651
1738579314,715.53,708.10,1651
1738579363,715.53,710.50,1652
1738579437,715.53,710.50,1652
1738579499,715.53,710.50,1652
1738579558,715.53,710.50,1652
1738579617,715.53,710.50,1652
1738579677,715.53,710.50,1653
1738579738,715.52,710.50,1655
1738579793,715.52,710.65,1656
1738579858,715.51,709.65,1657
1738579917,715.51,709.65,1657
1738579973,715.51,709.65,1657
1738580032,715.51,709.65,1657
1738580099,715.51,709.65,1657
1738580156,715.51,709.70,1658
1738580219,715.42,710.65,1687
1738580278,715.40,709.75,1694
1738580335,715.39,711.35,1697
1738580399,715.36,712.25,1717
1738580459,715.36,712.25,1717
1738580516,715.36,712.25,1717
1738580578,715.30,710.65,1739
1738580638,715.30,710.65,1739
1738580697,715.30,710.65,1739
1738580757,715.30,711.15,1740
1738580814,715.30,711.15,1740
1738580874,715.29,710.35,1742
1738580937,715.29,710.35,1742
1738580998,715.20,708.50,1766
1738581059,715.18,708.00,1770
1738581117,715.18,708.00,1770
1738581174,714.94,707.50,1836
1738581231,714.90,706.55,1846
1738581294,714.90,706.55,1846
1738581356,714.84,708.00,1862
1738581418,714.82,709.40,1867
1738581479,714.82,710.00,1868
1738581532,714.82,710.00,1868
1738581599,714.82,710.00,1868
1738581655,714.82,710.00,1868
1738581719,714.82,710.00,1868
1738581779,714.79,709.55,1877
1738581838,714.79,709.55,1877
1738581895,714.79,709.55,1877
1738581959,714.27,709.80,2097
1738582018,714.27,709.80,2097
1738582079,714.27,709.80,2097
1738582137,714.27,709.80,2097
1738582198,714.27,709.80,2097
1738582259,714.26,707.95,2098
1738582316,714.26,707.95,2098
1738582379,714.26,707.95,2098
1738582430,714.26,707.95,2098
1738582495,714.26,707.95,2098
1738582559,714.26,707.95,2098
1738582618,714.12,707.70,2141
1738582678,714.12,707.70,2141
1738582739,714.09,705.70,2149
1738582799,714.09,705.70,2149
1738582858,714.05,705.00,2159
1738582916,714.02,705.00,2166
1738582978,713.85,705.00,2209
1738583031,713.85,705.00,2209
1738583097,713.79,705.00,2224
1738583154,713.79,705.00,2224
1738583212,713.77,704.00,2229
1738583275,713.38,702.70,2311
1738583338,713.38,702.45,2312
1738583396,713.38,702.45,2312
1738583452,713.37,704.55,2314
1738583515,713.36,705.40,2317
1738583579,713.35,705.35,2318
1738583635,713.35,705.35,2318
1738583696,713.35,705.35,2318
1738583752,713.35,703.70,2319
1738583814,713.35,703.70,2319
1738583841,713.35,703.70,2319
1738583934,713.35,703.70,2319
1738583999,713.35,703.70,2319
1738584056,713.35,703.70,2319
1738584116,713.33,703.50,2324
1738584177,713.20,702.45,2354
1738584233,713.20,702.45,2354
1738584299,713.20,702.45,2354
1738584354,713.20,702.45,2354
1738584415,713.20,702.45,2354
1738584478,713.20,702.45,2354
1738584518,713.20,702.45,2354
1738584589,713.20,702.45,2354
1738584659,713.20,702.45,2354
1738584717,712.62,701.80,2483
1738584766,712.28,704.85,2595
1738584836,712.28,704.85,2596
1738584899,712.27,704.70,2597
1738584959,712.27,704.70,2597
1738585014,712.23,702.50,2609
1738585079,712.23,702.50,2609
1738585138,712.23,702.50,2609
1738585199,712.22,702.30,2611
1738585259,712.12,702.35,2639
1738585315,712.12,702.35,2639
1738585379,712.12,702.35,2639
1738585437,712.12,702.35,2639
1738585498,712.11,703.10,2640
1738585559,712.11,703.10,2640
1738585619,712.09,701.05,2645
1738585676,712.09,701.05,2645
1738585739,712.08,701.00,2647
1738585785,712.00,700.00,2665
1738585859,711.95,701.55,2679
1738585919,711.95,701.55,2679
1738585979,711.95,701.55,2679
1738586037,711.95,701.55,2679
1738586097,711.95,701.55,2679
1738586157,711.95,701.55,2679
1738586216,711.95,701.55,2679
1738586276,711.87,701.55,2699
1738586331,711.87,701.55,2699
1738586398,711.87,701.55,2699
1738586441,711.87,701.55,2699
1738586515,711.87,701.55,2699
1738586578,711.71,698.05,2734
1738586636,711.63,698.00,2751
1738586699,711.63,698.00,2751
1738586758,711.61,696.00,2754
1738586814,711.61,696.00,2754
1738586879,711.61,696.00,2754
1738586939,711.56,697.00,2764
1738586998,711.53,695.90,2769
1738587059,709.82,695.95,3054
1738587118,709.82,695.95,3054
1738587176,709.76,695.95,3066
1738587234,709.76,695.95,3066
1738587299,708.75,694.95,3290
1738587359,708.75,694.95,3290
1738587419,708.74,694.00,3291
1738587478,708.73,694.00,3293
1738587539,708.69,694.00,3303
1738587597,708.67,694.35,3308
1738587653,708.66,694.35,3309
1738587715,708.65,695.05,3311
1738587779,708.65,695.05,3311
1738587836,708.65,695.05,3311
1738587899,708.23,694.35,3411
1738587959,708.23,693.00,3412
1738588011,708.19,693.00,3422
1738588079,708.19,693.00,3422
1738588139,707.61,694.50,3567
1738588197,707.57,693.55,3577
1738588259,707.42,691.10,3613
1738588314,707.41,693.45,3614
1738588377,707.41,693.45,3614
1738588432,707.41,693.45,3614
1738588498,707.34,693.45,3634
1738588558,707.34,693.45,3634
1738588614,707.27,696.10,3654
1738588678,707.22,694.45,3669
1738588739,706.89,695.15,3767
1738588797,706.84,694.30,3783
1738588859,706.04,691.90,4003
1738588916,706.04,691.90,4003
1738588971,705.83,692.85,4074
1738589031,705.83,692.85,4074
1738589098,705.83,692.85,4075
1738589158,705.83,692.85,4075
1738589215,705.83,692.85,4075
1738589273,705.83,692.85,4075
1738589337,705.64,693.00,4130
1738589396,705.64,693.00,4130
1738589458,705.64,693.00,4130
1738589516,705.64,692.95,4131
1738589576,705.64,692.95,4131
1738589636,705.55,692.95,4158
1738589698,705.55,692.95,4158
1738589758,705.55,692.95,4158
1738589816,705.55,692.95,4158
1738589878,705.32,693.85,4239
1738589928,705.29,694.25,4249
1738589991,705.29,693.50,4250
1738590058,705.29,693.50,4250
1738590110,705.29,693.50,4252
1738590179,705.09,695.25,4332
1738590239,705.09,695.25,4332
1738590299,705.09,695.25,4332
1738590358,705.04,694.60,4352
1738590418,704.96,696.50,4387
1738590475,704.96,696.50,4389
1738590538,704.92,698.00,4414
1738590598,704.57,697.65,4635
1738590646,704.57,697.65,4635
1738590715,704.57,697.65,4635
1738590778,704.57,697.65,4635
1738590826,704.33,697.50,4783
1738590898,704.33,697.50,4783
1738590957,704.33,697.50,4783
1738591018,704.33,697.50,4783
1738591079,704.20,697.80,4881
1738591139,704.00,698.35,5040
1738591199,704.00,698.35,5040
1738591259,703.95,697.95,5080
1738591319,703.94,698.00,5086
1738591377,703.94,698.00,5086
1738591439,703.89,699.95,5151
1738591496,703.86,700.75,5185
1738591546,703.86,700.75,5185
1738591613,703.86,700.75,5185
1738591678,703.85,698.00,5195
1738591739,703.85,698.00,5195
1738591798,703.64,700.00,5444
1738591858,703.64,700.00,5444
1738591919,703.64,700.00,5444
1738591979,703.64,700.00,5444
1738592038,703.64,700.00,5444
1738592088,703.64,700.00,5444
1738592159,703.41,699.45,5750
1738592219,703.37,697.65,5808
1738592274,703.37,697.65,5808
1738592339,703.22,700.30,6092
1738592399,703.22,701.00,6098
1738592459,703.22,701.00,6098
1738592519,703.18,700.90,6177
1738592577,703.18,700.90,6177
1738592637,703.18,700.90,6177
1738592696,703.18,700.90,6177
1738592758,703.18,698.05,6180
1738592819,703.18,698.05,6180
1738592879,703.05,702.40,7529
1738592937,703.01,700.00,7629
1738592994,703.00,698.00,7630
1738593055,703.00,698.00,7630
1738593119,703.00,698.00,7630
1738593170,703.00,698.00,7630
1738593233,703.00,698.00,7630
1738593299,702.91,695.00,7717
1738593359,702.91,695.00,7717
1738593419,702.91,695.00,7718
1738593479,702.76,692.05,7829
1738593534,702.76,692.05,7829
1738593598,702.64,694.90,7949
1738593659,702.41,696.05,8341
1738593719,702.41,699.20,8349
1738593779,702.25,700.75,8781
1738593839,702.26,702.95,9490
1738593897,702.27,704.80,9615
1738593958,702.31,705.95,9715
1738594016,702.31,705.95,9715
1738594079,702.31,700.65,9716
1738594139,702.31,700.65,9716
1738594198,702.31,700.65,9716
1738594259,702.31,702.35,9799
1738594318,702.32,703.00,10086
1738594379,702.32,703.00,10148
1738594439,702.33,703.00,10221
1738594499,702.33,703.00,10256
1738594559,702.33,701.00,10275
1738594615,702.33,701.00,10275
1738594677,702.32,702.15,10376
1738594727,702.32,702.15,10377
1738594798,702.32,702.15,10377
1738594859,702.32,702.15,10377
1738594919,702.32,702.15,10377
1738594979,702.32,702.15,10377
1738595039,702.32,702.15,10377
1738595091,702.32,702.15,10377
1738595159,702.32,702.15,10377
1738595219,702.32,702.15,10377
1738595279,702.32,702.15,10377
1738595339,702.32,702.15,10377
1738595399,702.32,702.15,10377
1738595459,702.32,702.30,10386
1738595516,702.32,702.30,10386
1738595578,702.32,702.30,10386
1738595639,702.32,702.30,10386
1738595695,702.31,699.55,10399
1738595759,702.31,699.55,10399
1738595819,702.31,703.00,10410
1738595877,702.31,703.00,10410
1738595939,702.31,703.00,10410
1738595999,702.31,703.00,10410
1738596054,702.31,703.00,10410
1738596114,702.31,703.00,10437
1738596179,702.31,703.00,10437
1738596234,702.32,703.90,10466
1738596299,702.32,705.60,10467
1738596356,702.31,704.80,10569
1738596417,702.30,700.30,10723
1738596477,702.30,700.30,10723
1738596539,702.08,703.00,11541
1738596597,702.21,704.00,12379
1738596610,702.21,704.00,12379
1738596679,702.21,704.00,12379
1738597182,702.21,704.00,12379
1738597234,702.21,704.00,12379
1738597285,702.20,701.65,12409
1738598183,702.20,701.65,12424
1738598402,702.20,701.65,12424
1738598486,702.20,701.65,12424
