t,ap,cp,v
1738591378,821.06,827.55,14171
1738591439,821.06,827.55,14171
1738591498,821.06,827.55,14171
1738591559,821.06,829.00,14176
1738591619,821.54,831.40,14999
1738591679,821.54,830.90,15001
1738591737,821.55,830.15,15018
1738591798,821.55,830.15,15018
1738591859,821.56,829.90,15022
1738591919,821.56,829.90,15022
1738591979,821.56,829.90,15022
1738592039,821.56,829.90,15022
1738592099,821.56,829.90,15022
1738592159,821.56,832.70,15032
1738592219,821.56,831.40,15033
1738592278,821.59,831.45,15072
1738592338,821.63,829.30,15143
1738592398,821.63,828.50,15144
1738592459,821.67,829.50,15235
1738592519,821.67,829.50,15235
1738592579,821.67,829.50,15235
1738592636,821.67,829.50,15235
1738592698,821.71,829.85,15295
1738592759,821.71,830.30,15305
1738592818,821.71,830.30,15305
1738592876,821.71,830.30,15305
1738592936,821.71,830.30,15305
1738592998,821.71,830.30,15305
1738593055,821.71,830.30,15305
1738593116,821.72,829.00,15315
1738593172,821.72,829.00,15315
1738593238,821.74,829.15,15364
1738593298,821.74,829.15,15364
1738593359,821.74,829.15,15364
1738593418,821.75,829.05,15380
1738593476,821.76,831.55,15390
1738593539,821.76,831.55,15390
1738593594,821.76,831.55,15390
1738593659,821.76,831.55,15390
1738593718,821.77,831.25,15414
1738593779,821.77,831.25,15414
1738593836,821.77,831.25,15414
1738593899,821.77,831.25,15414
1738593958,821.78,829.05,15432
1738594017,821.79,828.00,15460
1738594076,821.79,828.00,15460
1738594139,821.79,828.00,15460
1738594195,821.79,828.00,15460
1738594259,822.49,832.00,16943
1738594316,822.55,831.60,17049
1738594376,822.55,831.60,17049
1738594438,822.55,831.60,17049
1738594496,822.55,831.60,17049
1738594559,822.55,831.60,17049
1738594616,822.55,831.60,17049
1738594676,823.00,832.60,17899
1738594739,823.00,832.60,17899
1738594799,823.08,831.45,18056
1738594858,823.08,831.45,18056
1738594919,823.08,831.45,18056
1738594979,823.08,831.45,18056
1738595039,823.14,833.50,18156
1738595099,823.14,833.50,18156
1738595159,823.14,831.30,18158
1738595219,823.15,831.30,18164
1738595277,823.41,828.75,19015
1738595339,823.42,828.60,19038
1738595396,823.47,831.90,19140
1738595459,823.47,831.90,19140
1738595518,823.48,831.90,19166
1738595579,823.49,833.15,19178
1738595638,823.49,833.15,19178
1738595699,823.49,832.95,19183
1738595759,823.49,832.95,19183
1738595819,823.54,829.40,19322
1738595877,823.55,829.50,19335
1738595939,823.56,830.20,19358
1738595997,823.63,830.80,19558
1738596057,823.64,829.15,19597
1738596119,823.64,830.00,19611
1738596179,823.65,830.00,19656
1738596239,823.73,829.55,19875
1738596296,823.74,829.55,19908
1738596359,823.74,829.55,19908
1738596419,824.09,831.65,20935
1738596478,824.09,830.55,20945
1738596537,824.11,830.95,21105
1738596595,824.11,823.20,21150
1738596602,824.11,823.20,21150
1738596675,824.11,823.20,21150
1738597310,824.11,823.20,21150
1738597870,824.11,823.20,21150
1738598263,824.11,823.20,21150
1738598302,824.11,823.20,21150
1738598401,824.11,823.20,21150
1738598486,824.11,823.20,21150
1738573635,802.00,802.00,1
1738573741,802.00,802.00,1
1738574159,793.57,800.05,39
1738574218,798.82,802.00,113
1738574279,798.82,802.00,113
1738574339,799.86,802.15,166
1738574399,799.86,802.15,166
1738574457,800.88,806.60,197
1738574518,802.01,806.25,266
1738574579,804.24,809.95,390
1738574639,804.82,810.50,429
1738574699,805.74,803.05,562
1738574759,805.35,804.95,641
1738574819,805.52,813.95,656
1738574879,806.41,815.15,726
1738574939,806.71,812.75,763
1738574999,806.80,814.65,771
1738575058,806.80,814.65,771
1738575119,807.91,814.65,899
1738575178,807.94,812.65,904
1738575239,808.14,810.65,974
1738575299,808.14,810.65,974
1738575359,808.14,810.65,974
1738575419,808.14,810.65,974
1738575478,808.14,810.65,974
1738575539,808.13,807.95,992
1738575597,808.13,807.95,992
1738575658,808.15,809.80,1000
1738575715,808.14,808.60,1033
1738575779,808.15,809.95,1039
1738575838,808.15,808.35,1042
1738575899,808.16,809.75,1045
1738575956,808.16,809.75,1045
1738576017,808.16,809.75,1045
1738576079,808.21,809.85,1078
1738576138,808.21,809.85,1078
1738576197,808.21,809.95,1080
1738576257,808.21,809.95,1080
1738576310,808.22,810.00,1088
1738576379,808.22,810.00,1088
1738576436,808.47,809.95,1338
1738576498,808.47,809.95,1338
1738576559,808.75,810.70,1638
1738576618,809.09,811.25,1938
1738576679,809.08,807.40,1946
1738576735,808.86,808.25,2096
1738576799,808.82,805.80,2128
1738576859,808.67,805.00,2217
1738576919,808.63,807.75,2273
1738576976,808.63,807.75,2273
1738577039,808.63,807.75,2273
1738577099,808.63,809.00,2283
1738577159,808.63,809.45,2288
1738577219,808.63,809.45,2288
1738577279,808.63,809.45,2288
1738577336,808.63,808.05,2314
1738577399,808.64,809.95,2341
1738577459,808.96,807.30,3221
1738577519,809.03,814.00,3266
1738577577,809.33,815.70,3437
1738577639,809.68,818.00,3582
1738577697,810.18,819.00,3798
1738577759,810.31,818.90,3855
1738577817,810.32,817.05,3866
1738577878,810.35,816.30,3881
1738577939,810.35,816.30,3881
1738577998,810.35,818.40,3882
1738578058,810.54,818.90,3970
1738578119,810.54,818.90,3970
1738578178,810.54,818.90,3970
1738578239,810.57,818.40,3990
1738578299,810.57,818.40,3990
1738578359,810.69,821.15,4043
1738578419,810.79,824.35,4076
1738578479,811.40,823.10,4255
1738578539,811.75,822.05,4395
1738578599,811.75,822.05,4395
1738578659,812.03,824.75,4498
1738578717,812.03,824.75,4498
1738578775,812.11,822.80,4533
1738578839,812.11,822.80,4533
1738578899,812.11,822.80,4533
1738578959,812.11,822.80,4533
1738579019,812.11,822.80,4533
1738579079,812.11,822.80,4533
1738579139,812.12,821.95,4535
1738579199,813.86,824.35,5458
1738579259,813.86,824.35,5458
1738579318,813.94,824.35,5498
1738579379,814.12,822.80,5608
1738579439,814.14,820.30,5620
1738579497,814.14,820.30,5620
1738579559,814.14,820.30,5620
1738579612,814.14,820.30,5620
1738579679,814.14,820.30,5620
1738579738,814.22,823.95,5670
1738579799,814.22,821.00,5672
1738579859,814.23,820.70,5673
1738579918,814.23,820.70,5673
1738579979,814.33,820.35,5773
1738580039,814.33,820.35,5773
1738580098,814.33,820.35,5773
1738580157,814.33,820.35,5773
1738580215,814.33,820.35,5773
1738580279,814.33,820.35,5773
1738580339,814.33,820.35,5773
1738580387,814.33,820.35,5773
1738580457,814.34,820.45,5774
1738580518,814.34,820.45,5774
1738580570,814.34,820.45,5774
1738580639,814.34,820.45,5774
1738580697,814.34,820.45,5774
1738580755,814.35,820.45,5791
1738580819,814.35,820.45,5791
1738580876,814.35,820.45,5791
1738580929,814.35,820.45,5791
1738580998,814.35,820.45,5791
1738581059,814.36,822.30,5794
1738581119,814.38,820.45,5811
1738581166,814.43,821.15,5856
1738581239,814.43,821.15,5856
1738581299,814.43,821.15,5856
1738581359,814.43,821.15,5856
1738581413,814.43,821.15,5856
1738581478,814.43,821.15,5856
1738581536,814.43,821.15,5856
1738581599,814.43,821.15,5856
1738581654,814.43,821.15,5856
1738581719,814.43,821.15,5856
1738581779,814.43,821.15,5856
1738581828,814.43,821.15,5856
1738581898,814.43,821.15,5856
1738581957,814.54,821.15,5956
1738582016,814.54,821.15,5956
1738582079,814.54,821.15,5956
1738582139,814.54,821.15,5956
1738582199,814.54,821.15,5956
1738582255,814.54,821.15,5956
1738582318,814.54,821.15,5956
1738582378,814.54,821.15,5956
1738582433,814.54,821.15,5956
1738582490,814.54,821.15,5956
1738582559,814.54,821.15,5956
1738582619,814.54,821.15,5956
1738582679,814.57,821.95,5979
1738582732,815.22,823.00,6479
1738582798,815.22,823.00,6479
1738582852,815.22,823.00,6479
1738582917,815.22,823.00,6479
1738582978,815.22,823.00,6479
1738583039,815.22,823.00,6479
1738583097,815.22,823.00,6479
1738583158,815.22,823.00,6479
1738583217,815.22,823.00,6479
1738583278,815.24,823.00,6499
1738583335,815.25,821.05,6506
1738583391,815.27,822.95,6526
1738583453,815.27,822.95,6526
1738583511,815.27,822.95,6526
1738583578,815.80,822.15,6921
1738583637,815.80,822.15,6921
1738583697,816.29,824.90,7315
1738583759,816.29,824.90,7315
1738583819,817.84,824.90,8941
1738583870,817.92,824.90,9046
1738583937,818.43,825.95,9750
1738583999,818.43,825.35,9752
1738584057,818.43,825.35,9752
1738584118,818.43,825.35,9752
1738584176,818.43,825.25,9753
1738584237,818.43,824.40,9754
1738584297,818.43,824.40,9754
1738584356,818.95,827.75,10366
1738584419,818.95,827.75,10366
1738584475,818.99,824.35,10446
1738584538,819.24,824.35,10958
1738584598,819.24,826.00,10959
1738584658,819.24,826.00,10959
1738584718,819.29,824.25,11059
1738584779,819.29,825.05,11064
1738584837,819.29,825.05,11064
1738584898,819.29,825.05,11064
1738584956,819.29,825.05,11064
1738585017,819.29,825.05,11064
1738585077,819.29,825.05,11064
1738585139,819.29,825.05,11064
1738585199,819.29,825.05,11064
1738585259,819.29,826.85,11065
1738585316,819.29,826.85,11065
1738585379,819.29,825.50,11067
1738585439,819.50,826.70,11446
1738585499,819.50,826.70,11446
1738585559,819.50,826.70,11446
1738585610,819.50,826.70,11446
1738585679,819.50,826.70,11446
1738585739,819.50,826.70,11446
1738585799,819.56,826.55,11546
1738585858,819.56,826.60,11547
1738585917,819.56,826.60,11547
1738585979,819.56,826.60,11547
1738586035,819.56,826.60,11547
1738586096,819.56,826.60,11547
1738586158,819.56,826.60,11547
1738586218,819.56,826.60,11547
1738586278,819.56,826.60,11547
1738586337,819.56,826.60,11547
1738586396,819.56,826.60,11547
1738586458,819.56,826.60,11547
1738586519,819.56,826.60,11547
1738586579,819.63,826.90,11690
1738586638,819.63,826.90,11690
1738586698,819.64,824.30,11705
1738586758,819.64,825.30,11706
1738586818,819.64,825.05,11707
1738586879,819.64,825.05,11707
1738586937,819.64,825.05,11707
1738586996,819.64,825.05,11707
1738587058,819.64,825.05,11707
1738587119,819.72,824.40,11885
1738587179,819.72,824.40,11885
1738587236,819.72,826.00,11890
1738587298,819.72,826.00,11890
1738587359,819.72,824.05,11891
1738587414,819.78,824.55,12032
1738587474,819.78,824.55,12032
1738587539,819.79,826.65,12062
1738587599,819.79,826.65,12062
1738587658,819.79,826.65,12062
1738587716,819.79,826.65,12062
1738587774,819.79,826.65,12062
1738587836,819.80,826.65,12065
1738587898,819.80,826.65,12065
1738587959,819.80,826.65,12065
1738588018,819.80,826.65,12065
1738588075,819.80,826.65,12065
1738588137,819.80,826.65,12065
1738588199,819.80,826.65,12065
1738588256,819.80,826.65,12065
1738588319,819.80,826.65,12065
1738588374,819.80,826.65,12065
1738588438,819.80,826.65,12065
1738588499,820.13,827.10,12685
1738588559,820.29,828.40,12895
1738588618,820.29,832.05,12898
1738588679,820.47,832.65,13076
1738588739,820.47,832.65,13076
1738588798,820.47,832.65,13076
1738588859,820.49,832.65,13098
1738588919,820.51,830.95,13122
1738588979,820.52,830.10,13134
1738589038,820.52,830.10,13134
1738589099,820.54,830.10,13157
1738589159,820.54,829.05,13162
1738589219,820.55,832.15,13172
1738589279,820.61,831.90,13242
1738589338,820.61,831.90,13242
1738589399,820.61,831.90,13242
1738589459,820.62,829.00,13270
1738589516,820.65,830.15,13306
1738589579,820.65,830.15,13306
1738589639,820.66,828.55,13323
1738589698,820.66,828.55,13323
1738589759,820.67,826.05,13343
1738589815,820.67,826.05,13343
1738589879,820.70,828.00,13393
1738589937,820.81,829.65,13573
1738589996,820.81,829.65,13573
1738590056,820.81,829.65,13573
1738590118,820.81,829.65,13573
1738590174,820.81,829.65,13573
1738590236,820.81,829.65,13573
1738590294,820.81,829.65,13573
1738590359,820.81,829.65,13573
1738590419,820.81,829.65,13573
1738590476,820.81,829.65,13573
1738590538,820.81,829.65,13573
1738590599,820.81,829.65,13573
1738590659,820.81,829.65,13573
1738590719,820.81,829.65,13573
1738590777,820.81,829.65,13573
1738590839,820.81,829.65,13573
1738590899,820.81,826.80,13575
1738590958,820.81,826.80,13575
1738591017,821.02,827.65,14093
1738591078,821.02,827.65,14093
1738591139,821.03,828.65,14103
1738591199,821.04,826.75,14130
1738591259,821.06,827.55,14171
1738591319,821.06,827.55,14171
1738591378,821.06,827.55,14171
1738591439,821.06,827.55,14171
1738591498,821.06,827.55,14171
1738591559,821.06,829.00,14176
1738591619,821.54,831.40,14999
1738591679,821.54,830.90,15001
1738591737,821.55,830.15,15018
1738591798,821.55,830.15,15018
1738591859,821.56,829.90,15022
1738591919,821.56,829.90,15022
1738591979,821.56,829.90,15022
1738592039,821.56,829.90,15022
1738592099,821.56,829.90,15022
1738592159,821.56,832.70,15032
1738592219,821.56,831.40,15033
1738592278,821.59,831.45,15072
1738592338,821.63,829.30,15143
1738592398,821.63,828.50,15144
1738592459,821.67,829.50,15235
1738592519,821.67,829.50,15235
1738592579,821.67,829.50,15235
1738592636,821.67,829.50,15235
1738592698,821.71,829.85,15295
1738592759,821.71,830.30,15305
1738592818,821.71,830.30,15305
1738592876,821.71,830.30,15305
1738592936,821.71,830.30,15305
1738592998,821.71,830.30,15305
1738593055,821.71,830.30,15305
1738593116,821.72,829.00,15315
1738593172,821.72,829.00,15315
1738593238,821.74,829.15,15364
1738593298,821.74,829.15,15364
1738593359,821.74,829.15,15364
1738593418,821.75,829.05,15380
1738593476,821.76,831.55,15390
1738593539,821.76,831.55,15390
1738593594,821.76,831.55,15390
1738593659,821.76,831.55,15390
1738593718,821.77,831.25,15414
1738593779,821.77,831.25,15414
1738593836,821.77,831.25,15414
1738593899,821.77,831.25,15414
1738593958,821.78,829.05,15432
1738594017,821.79,828.00,15460
1738594076,821.79,828.00,15460
1738594139,821.79,828.00,15460
1738594195,821.79,828.00,15460
1738594259,822.49,832.00,16943
1738594316,822.55,831.60,17049
1738594376,822.55,831.60,17049
1738594438,822.55,831.60,17049
1738594496,822.55,831.60,17049
1738594559,822.55,831.60,17049
1738594616,822.55,831.60,17049
1738594676,823.00,832.60,17899
1738594739,823.00,832.60,17899
1738594799,823.08,831.45,18056
1738594858,823.08,831.45,18056
1738594919,823.08,831.45,18056
1738594979,823.08,831.45,18056
1738595039,823.14,833.50,18156
1738595099,823.14,833.50,18156
1738595159,823.14,831.30,18158
1738595219,823.15,831.30,18164
1738595277,823.41,828.75,19015
1738595339,823.42,828.60,19038
1738595396,823.47,831.90,19140
1738595459,823.47,831.90,19140
1738595518,823.48,831.90,19166
1738595579,823.49,833.15,19178
1738595638,823.49,833.15,19178
1738595699,823.49,832.95,19183
1738595759,823.49,832.95,19183
1738595819,823.54,829.40,19322
1738595877,823.55,829.50,19335
1738595939,823.56,830.20,19358
1738595997,823.63,830.80,19558
1738596057,823.64,829.15,19597
1738596119,823.64,830.00,19611
1738596179,823.65,830.00,19656
1738596239,823.73,829.55,19875
1738596296,823.74,829.55,19908
1738596359,823.74,829.55,19908
1738596419,824.09,831.65,20935
1738596478,824.09,830.55,20945
1738596537,824.11,830.95,21105
1738596595,824.11,823.20,21150
1738596602,824.11,823.20,21150
1738596675,824.11,823.20,21150
1738597310,824.11,823.20,21150
1738597870,824.11,823.20,21150
1738598263,824.11,823.20,21150
1738598302,824.11,823.20,21150
1738598401,824.11,823.20,21150
1738598486,824.11,823.20,21150
1738573635,802.00,802.00,1
1738573741,802.00,802.00,1
1738574159,793.57,800.05,39
1738574218,798.82,802.00,113
1738574279,798.82,802.00,113
1738574339,799.86,802.15,166
1738574399,799.86,802.15,166
1738574457,800.88,806.60,197
1738574518,802.01,806.25,266
1738574579,804.24,809.95,390
1738574639,804.82,810.50,429
1738574699,805.74,803.05,562
1738574759,805.35,804.95,641
1738574819,805.52,813.95,656
1738574879,806.41,815.15,726
1738574939,806.71,812.75,763
1738574999,806.80,814.65,771
1738575058,806.80,814.65,771
1738575119,807.91,814.65,899
1738575178,807.94,812.65,904
1738575239,808.14,810.65,974
1738575299,808.14,810.65,974
1738575359,808.14,810.65,974
1738575419,808.14,810.65,974
1738575478,808.14,810.65,974
1738575539,808.13,807.95,992
1738575597,808.13,807.95,992
1738575658,808.15,809.80,1000
1738575715,808.14,808.60,1033
1738575779,808.15,809.95,1039
1738575838,808.15,808.35,1042
1738575899,808.16,809.75,1045
1738575956,808.16,809.75,1045
1738576017,808.16,809.75,1045
1738576079,808.21,809.85,1078
1738576138,808.21,809.85,1078
1738576197,808.21,809.95,1080
1738576257,808.21,809.95,1080
1738576310,808.22,810.00,1088
1738576379,808.22,810.00,1088
1738576436,808.47,809.95,1338
1738576498,808.47,809.95,1338
1738576559,808.75,810.70,1638
1738576618,809.09,811.25,1938
1738576679,809.08,807.40,1946
1738576735,808.86,808.25,2096
1738576799,808.82,805.80,2128
1738576859,808.67,805.00,2217
1738576919,808.63,807.75,2273
1738576976,808.63,807.75,2273
1738577039,808.63,807.75,2273
1738577099,808.63,809.00,2283
1738577159,808.63,809.45,2288
1738577219,808.63,809.45,2288
1738577279,808.63,809.45,2288
1738577336,808.63,808.05,2314
1738577399,808.64,809.95,2341
1738577459,808.96,807.30,3221
1738577519,809.03,814.00,3266
1738577577,809.33,815.70,3437
1738577639,809.68,818.00,3582
1738577697,810.18,819.00,3798
1738577759,810.31,818.90,3855
1738577817,810.32,817.05,3866
1738577878,810.35,816.30,3881
1738577939,810.35,816.30,3881
1738577998,810.35,818.40,3882
1738578058,810.54,818.90,3970
1738578119,810.54,818.90,3970
1738578178,810.54,818.90,3970
1738578239,810.57,818.40,3990
1738578299,810.57,818.40,3990
1738578359,810.69,821.15,4043
1738578419,810.79,824.35,4076
1738578479,811.40,823.10,4255
1738578539,811.75,822.05,4395
1738578599,811.75,822.05,4395
1738578659,812.03,824.75,4498
1738578717,812.03,824.75,4498
1738578775,812.11,822.80,4533
1738578839,812.11,822.80,4533
1738578899,812.11,822.80,4533
1738578959,812.11,822.80,4533
1738579019,812.11,822.80,4533
1738579079,812.11,822.80,4533
1738579139,812.12,821.95,4535
1738579199,813.86,824.35,5458
1738579259,813.86,824.35,5458
1738579318,813.94,824.35,5498
1738579379,814.12,822.80,5608
1738579439,814.14,820.30,5620
1738579497,814.14,820.30,5620
1738579559,814.14,820.30,5620
1738579612,814.14,820.30,5620
1738579679,814.14,820.30,5620
1738579738,814.22,823.95,5670
1738579799,814.22,821.00,5672
1738579859,814.23,820.70,5673
1738579918,814.23,820.70,5673
1738579979,814.33,820.35,5773
1738580039,814.33,820.35,5773
1738580098,814.33,820.35,5773
1738580157,814.33,820.35,5773
1738580215,814.33,820.35,5773
1738580279,814.33,820.35,5773
1738580339,814.33,820.35,5773
1738580387,814.33,820.35,5773
1738580457,814.34,820.45,5774
1738580518,814.34,820.45,5774
1738580570,814.34,820.45,5774
1738580639,814.34,820.45,5774
1738580697,814.34,820.45,5774
1738580755,814.35,820.45,5791
1738580819,814.35,820.45,5791
1738580876,814.35,820.45,5791
1738580929,814.35,820.45,5791
1738580998,814.35,820.45,5791
1738581059,814.36,822.30,5794
1738581119,814.38,820.45,5811
1738581166,814.43,821.15,5856
1738581239,814.43,821.15,5856
1738581299,814.43,821.15,5856
1738581359,814.43,821.15,5856
1738581413,814.43,821.15,5856
1738581478,814.43,821.15,5856
1738581536,814.43,821.15,5856
1738581599,814.43,821.15,5856
1738581654,814.43,821.15,5856
1738581719,814.43,821.15,5856
1738581779,814.43,821.15,5856
1738581828,814.43,821.15,5856
1738581898,814.43,821.15,5856
1738581957,814.54,821.15,5956
1738582016,814.54,821.15,5956
1738582079,814.54,821.15,5956
1738582139,814.54,821.15,5956
1738582199,814.54,821.15,5956
1738582255,814.54,821.15,5956
1738582318,814.54,821.15,5956
1738582378,814.54,821.15,5956
1738582433,814.54,821.15,5956
1738582490,814.54,821.15,5956
1738582559,814.54,821.15,5956
1738582619,814.54,821.15,5956
1738582679,814.57,821.95,5979
1738582732,815.22,823.00,6479
1738582798,815.22,823.00,6479
1738582852,815.22,823.00,6479
1738582917,815.22,823.00,6479
1738582978,815.22,823.00,6479
1738583039,815.22,823.00,6479
1738583097,815.22,823.00,6479
1738583158,815.22,823.00,6479
1738583217,815.22,823.00,6479
1738583278,815.24,823.00,6499
1738583335,815.25,821.05,6506
1738583391,815.27,822.95,6526
1738583453,815.27,822.95,6526
1738583511,815.27,822.95,6526
1738583578,815.80,822.15,6921
1738583637,815.80,822.15,6921
1738583697,816.29,824.90,7315
1738583759,816.29,824.90,7315
1738583819,817.84,824.90,8941
1738583870,817.92,824.90,9046
1738583937,818.43,825.95,9750
1738583999,818.43,825.35,9752
1738584057,818.43,825.35,9752
1738584118,818.43,825.35,9752
1738584176,818.43,825.25,9753
1738584237,818.43,824.40,9754
1738584297,818.43,824.40,9754
1738584356,818.95,827.75,10366
1738584419,818.95,827.75,10366
1738584475,818.99,824.35,10446
1738584538,819.24,824.35,10958
1738584598,819.24,826.00,10959
1738584658,819.24,826.00,10959
1738584718,819.29,824.25,11059
1738584779,819.29,825.05,11064
1738584837,819.29,825.05,11064
1738584898,819.29,825.05,11064
1738584956,819.29,825.05,11064
1738585017,819.29,825.05,11064
1738585077,819.29,825.05,11064
1738585139,819.29,825.05,11064
1738585199,819.29,825.05,11064
1738585259,819.29,826.85,11065
1738585316,819.29,826.85,11065
1738585379,819.29,825.50,11067
1738585439,819.50,826.70,11446
1738585499,819.50,826.70,11446
1738585559,819.50,826.70,11446
1738585610,819.50,826.70,11446
1738585679,819.50,826.70,11446
1738585739,819.50,826.70,11446
1738585799,819.56,826.55,11546
1738585858,819.56,826.60,11547
1738585917,819.56,826.60,11547
1738585979,819.56,826.60,11547
1738586035,819.56,826.60,11547
1738586096,819.56,826.60,11547
1738586158,819.56,826.60,11547
1738586218,819.56,826.60,11547
1738586278,819.56,826.60,11547
1738586337,819.56,826.60,11547
1738586396,819.56,826.60,11547
1738586458,819.56,826.60,11547
1738586519,819.56,826.60,11547
1738586579,819.63,826.90,11690
1738586638,819.63,826.90,11690
1738586698,819.64,824.30,11705
1738586758,819.64,825.30,11706
1738586818,819.64,825.05,11707
1738586879,819.64,825.05,11707
1738586937,819.64,825.05,11707
1738586996,819.64,825.05,11707
1738587058,819.64,825.05,11707
1738587119,819.72,824.40,11885
1738587179,819.72,824.40,11885
1738587236,819.72,826.00,11890
1738587298,819.72,826.00,11890
1738587359,819.72,824.05,11891
1738587414,819.78,824.55,12032
1738587474,819.78,824.55,12032
1738587539,819.79,826.65,12062
1738587599,819.79,826.65,12062
1738587658,819.79,826.65,12062
1738587716,819.79,826.65,12062
1738587774,819.79,826.65,12062
1738587836,819.80,826.65,12065
1738587898,819.80,826.65,12065
1738587959,819.80,826.65,12065
1738588018,819.80,826.65,12065
1738588075,819.80,826.65,12065
1738588137,819.80,826.65,12065
1738588199,819.80,826.65,12065
1738588256,819.80,826.65,12065
1738588319,819.80,826.65,12065
1738588374,819.80,826.65,12065
1738588438,819.80,826.65,12065
1738588499,820.13,827.10,12685
1738588559,820.29,828.40,12895
1738588618,820.29,832.05,12898
1738588679,820.47,832.65,13076
1738588739,820.47,832.65,13076
1738588798,820.47,832.65,13076
1738588859,820.49,832.65,13098
1738588919,820.51,830.95,13122
1738588979,820.52,830.10,13134
1738589038,820.52,830.10,13134
1738589099,820.54,830.10,13157
1738589159,820.54,829.05,13162
1738589219,820.55,832.15,13172
1738589279,820.61,831.90,13242
1738589338,820.61,831.90,13242
1738589399,820.61,831.90,13242
1738589459,820.62,829.00,13270
1738589516,820.65,830.15,13306
1738589579,820.65,830.15,13306
1738589639,820.66,828.55,13323
1738589698,820.66,828.55,13323
1738589759,820.67,826.05,13343
1738589815,820.67,826.05,13343
1738589879,820.70,828.00,13393
1738589937,820.81,829.65,13573
1738589996,820.81,829.65,13573
1738590056,820.81,829.65,13573
1738590118,820.81,829.65,13573
1738590174,820.81,829.65,13573
1738590236,820.81,829.65,13573
1738590294,820.81,829.65,13573
1738590359,820.81,829.65,13573
1738590419,820.81,829.65,13573
1738590476,820.81,829.65,13573
1738590538,820.81,829.65,13573
1738590599,820.81,829.65,13573
1738590659,820.81,829.65,13573
1738590719,820.81,829.65,13573
1738590777,820.81,829.65,13573
1738590839,820.81,829.65,13573
1738590899,820.81,826.80,13575
1738590958,820.81,826.80,13575
1738591017,821.02,827.65,14093
1738591078,821.02,827.65,14093
1738591139,821.03,828.65,14103
1738591199,821.04,826.75,14130
1738591259,821.06,827.55,14171
1738591319,821.06,827.55,14171
1738591378,821.06,827.55,14171
1738591439,821.06,827.55,14171
1738591498,821.06,827.55,14171
1738591559,821.06,829.00,14176
1738591619,821.54,831.40,14999
1738591679,821.54,830.90,15001
1738591737,821.55,830.15,15018
1738591798,821.55,830.15,15018
1738591859,821.56,829.90,15022
1738591919,821.56,829.90,15022
1738591979,821.56,829.90,15022
1738592039,821.56,829.90,15022
1738592099,821.56,829.90,15022
1738592159,821.56,832.70,15032
1738592219,821.56,831.40,15033
1738592278,821.59,831.45,15072
1738592338,821.63,829.30,15143
1738592398,821.63,828.50,15144
1738592459,821.67,829.50,15235
1738592519,821.67,829.50,15235
1738592579,821.67,829.50,15235
1738592636,821.67,829.50,15235
1738592698,821.71,829.85,15295
1738592759,821.71,830.30,15305
1738592818,821.71,830.30,15305
1738592876,821.71,830.30,15305
1738592936,821.71,830.30,15305
1738592998,821.71,830.30,15305
1738593055,821.71,830.30,15305
1738593116,821.72,829.00,15315
1738593172,821.72,829.00,15315
1738593238,821.74,829.15,15364
1738593298,821.74,829.15,15364
1738593359,821.74,829.15,15364
1738593418,821.75,829.05,15380
1738593476,821.76,831.55,15390
1738593539,821.76,831.55,15390
1738593594,821.76,831.55,15390
1738593659,821.76,831.55,15390
1738593718,821.77,831.25,15414
1738593779,821.77,831.25,15414
1738593836,821.77,831.25,15414
1738593899,821.77,831.25,15414
1738593958,821.78,829.05,15432
1738594017,821.79,828.00,15460
1738594076,821.79,828.00,15460
1738594139,821.79,828.00,15460
1738594195,821.79,828.00,15460
1738594259,822.49,832.00,16943
1738594316,822.55,831.60,17049
1738594376,822.55,831.60,17049
1738594438,822.55,831.60,17049
1738594496,822.55,831.60,17049
1738594559,822.55,831.60,17049
1738594616,822.55,831.60,17049
1738594676,823.00,832.60,17899
1738594739,823.00,832.60,17899
1738594799,823.08,831.45,18056
1738594858,823.08,831.45,18056
1738594919,823.08,831.45,18056
1738594979,823.08,831.45,18056
1738595039,823.14,833.50,18156
1738595099,823.14,833.50,18156
1738595159,823.14,831.30,18158
1738595219,823.15,831.30,18164
1738595277,823.41,828.75,19015
1738595339,823.42,828.60,19038
1738595396,823.47,831.90,19140
1738595459,823.47,831.90,19140
1738595518,823.48,831.90,19166
1738595579,823.49,833.15,19178
1738595638,823.49,833.15,19178
1738595699,823.49,832.95,19183
1738595759,823.49,832.95,19183
1738595819,823.54,829.40,19322
1738595877,823.55,829.50,19335
1738595939,823.56,830.20,19358
1738595997,823.63,830.80,19558
1738596057,823.64,829.15,19597
1738596119,823.64,830.00,19611
1738596179,823.65,830.00,19656
1738596239,823.73,829.55,19875
1738596296,823.74,829.55,19908
1738596359,823.74,829.55,19908
1738596419,824.09,831.65,20935
1738596478,824.09,830.55,20945
1738596537,824.11,830.95,21105
1738596595,824.11,823.20,21150
1738596602,824.11,823.20,21150
1738596675,824.11,823.20,21150
1738597310,824.11,823.20,21150
1738597870,824.11,823.20,21150
1738598263,824.11,823.20,21150
1738598302,824.11,823.20,21150
1738598401,824.11,823.20,21150
1738598486,824.11,823.20,21150
