t,ap,cp,v
1738575779,11.04,11.01,402694
1738575839,11.04,11.04,405804
1738575899,11.04,11.03,411007
1738575959,11.03,11.00,412877
1738576018,11.03,11.02,416446
1738576079,11.03,11.02,418987
1738576139,11.03,11.02,422830
1738576199,11.03,11.00,425188
1738576257,11.03,11.02,429334
1738576319,11.03,11.00,437265
1738576379,11.03,11.01,438570
1738576439,11.03,11.02,470173
1738576498,11.03,11.01,483993
1738576559,11.02,11.00,587801
1738576617,11.02,10.98,590735
1738576678,11.02,11.00,596535
1738576739,11.02,11.00,601687
1738576799,11.02,11.01,613315
1738576859,11.02,10.98,613890
1738576919,11.02,11.04,615794
1738576978,11.02,11.04,617928
1738577039,11.02,11.02,622593
1738577098,11.02,11.00,625176
1738577159,11.02,11.02,626290
1738577219,11.02,11.02,628885
1738577279,11.02,11.00,628922
1738577339,11.02,11.03,629439
1738577399,11.02,11.02,636425
1738577458,11.02,11.03,637374
1738577519,11.02,11.03,642659
1738577579,11.02,11.04,646286
1738577638,11.02,11.02,654917
1738577699,11.02,11.03,656089
1738577756,11.02,11.03,656936
1738577819,11.02,11.02,661778
1738577876,11.02,11.00,661898
1738577939,11.02,11.02,662694
1738577998,11.02,11.00,685540
1738578059,11.02,11.00,686208
1738578119,11.02,10.99,688044
1738578178,11.02,11.01,692666
1738578239,11.02,11.01,732660
1738578299,11.02,11.00,734675
1738578358,11.02,11.01,735629
1738578417,11.02,11.00,738093
1738578479,11.02,10.99,738891
1738578539,11.01,11.00,753882
1738578598,11.01,10.97,757950
1738578659,11.01,10.99,757994
1738578719,11.01,10.99,762005
1738578778,11.01,10.99,783273
1738578839,11.01,10.99,791812
1738578899,11.01,10.99,791987
1738578959,11.01,11.00,793567
1738579019,11.01,10.97,797406
1738579078,11.01,10.97,797991
1738579139,11.01,10.97,804929
1738579196,11.01,10.98,811398
1738579258,11.01,10.97,815063
1738579319,11.01,10.98,815734
1738579379,11.01,10.98,818452
1738579438,11.01,10.94,839478
1738579499,11.01,10.98,847042
1738579559,11.00,10.97,938912
1738579619,11.00,10.98,987208
1738579677,11.00,10.98,1018836
1738579739,11.00,11.00,1025043
1738579799,11.00,11.00,1029111
1738579859,11.00,10.98,1041884
1738579919,11.00,10.96,1048246
1738579978,11.00,10.98,1050276
1738580037,11.00,10.98,1050912
1738580098,11.00,10.98,1056193
1738580158,11.00,10.98,1058081
1738580219,11.00,10.98,1059438
1738580279,11.00,10.97,1066774
1738580339,11.00,10.97,1069524
1738580399,11.00,10.99,1074018
1738580459,11.00,11.00,1076287
1738580518,11.00,10.97,1077392
1738580578,11.00,10.99,1084262
1738580637,11.00,11.00,1084279
1738580698,11.00,10.98,1114036
1738580759,11.00,10.96,1133169
1738580819,11.00,10.98,1134186
1738580879,11.00,10.98,1134726
1738580937,11.00,10.97,1135945
1738580999,11.00,10.95,1137807
1738581059,11.00,10.97,1157173
1738581118,11.00,10.97,1158645
1738581179,11.00,10.97,1159800
1738581239,11.00,10.97,1162994
1738581299,11.00,10.96,1188732
1738581359,11.00,10.96,1189968
1738581418,11.00,10.97,1195441
1738581478,11.00,10.97,1197596
1738581539,11.00,10.99,1200136
1738581598,11.00,11.00,1203998
1738581655,11.00,10.98,1204799
1738581719,11.00,10.98,1208672
1738581779,11.00,11.00,1212462
1738581839,11.00,10.98,1217325
1738581896,11.00,10.99,1219430
1738581958,11.00,10.99,1220571
1738582019,11.00,10.96,1227285
1738582078,11.00,10.96,1227744
1738582139,11.00,10.95,1228388
1738582199,11.00,10.97,1230671
1738582258,11.00,10.97,1231306
1738582318,11.00,10.97,1231875
1738582379,11.00,10.96,1239351
1738582438,11.00,10.94,1245170
1738582499,11.00,10.97,1245300
1738582559,11.00,10.96,1245565
1738582619,11.00,10.96,1245715
1738582679,11.00,10.97,1246632
1738582738,11.00,10.95,1248708
1738582786,11.00,10.96,1249287
1738582857,11.00,10.94,1250388
1738582919,10.99,10.95,1302716
1738582979,10.99,10.94,1302957
1738583038,10.99,10.93,1307772
1738583098,10.99,10.94,1310127
1738583159,10.99,10.96,1316181
1738583217,10.99,10.93,1318194
1738583278,10.99,10.94,1327329
1738583339,10.99,10.96,1335119
1738583399,10.99,10.95,1338753
1738583459,10.99,10.95,1339948
1738583519,10.99,10.95,1352359
1738583579,10.99,10.96,1362948
1738583636,10.99,10.93,1364828
1738583694,10.99,10.96,1365530
1738583759,10.99,10.96,1367604
1738583819,10.99,10.96,1370497
1738583878,10.99,10.96,1372457
1738583939,10.99,10.96,1372738
1738583997,10.99,10.94,1374287
1738584059,10.99,10.93,1389279
1738584119,10.99,10.96,1390838
1738584178,10.99,10.93,1391501
1738584238,10.99,10.94,1394020
1738584299,10.99,10.95,1398348
1738584359,10.99,10.95,1398802
1738584416,10.99,10.95,1399849
1738584477,10.99,10.92,1415948
1738584538,10.99,10.91,1418534
1738584598,10.99,10.92,1422354
1738584659,10.98,10.90,1476695
1738584718,10.98,10.90,1477345
1738584776,10.98,10.91,1478621
1738584839,10.98,10.89,1482288
1738584898,10.98,10.90,1484770
1738584959,10.98,10.89,1485875
1738585019,10.98,10.91,1486196
1738585077,10.98,10.91,1498338
1738585139,10.98,10.89,1498388
1738585199,10.98,10.89,1501011
1738585259,10.98,10.89,1519012
1738585319,10.98,10.88,1519221
1738585378,10.98,10.89,1520387
1738585437,10.98,10.89,1520523
1738585499,10.98,10.86,1523902
1738585559,10.98,10.88,1524569
1738585618,10.98,10.87,1526193
1738585677,10.98,10.87,1540746
1738585739,10.98,10.87,1541178
1738585798,10.98,10.88,1543863
1738585858,10.98,10.88,1545321
1738585918,10.98,10.88,1545580
1738585978,10.98,10.89,1548117
1738586039,10.98,10.88,1548504
1738586097,10.98,10.89,1551682
1738586155,10.98,10.89,1552542
1738586218,10.98,10.89,1554972
1738586276,10.98,10.89,1557048
1738586339,10.98,10.88,1563251
1738586399,10.98,10.89,1564538
1738586459,10.98,10.87,1571749
1738586518,10.98,10.87,1584781
1738586579,10.98,10.88,1585763
1738586639,10.98,10.88,1586955
1738586699,10.98,10.88,1588393
1738586759,10.98,10.88,1589572
1738586819,10.98,10.88,1590934
1738586875,10.98,10.89,1593019
1738586939,10.98,10.88,1593165
1738586999,10.98,10.89,1598372
1738587056,10.98,10.89,1599737
1738587119,10.98,10.88,1602707
1738587175,10.98,10.88,1603559
1738587239,10.98,10.88,1603781
1738587299,10.98,10.88,1604757
1738587359,10.98,10.87,1606170
1738587416,10.98,10.87,1607254
1738587478,10.97,10.88,1617352
1738587537,10.97,10.87,1618868
1738587598,10.97,10.90,1622762
1738587658,10.97,10.88,1625739
1738587719,10.97,10.88,1625847
1738587779,10.97,10.92,1627325
1738587838,10.97,10.95,1637120
1738587898,10.97,10.95,1637290
1738587959,10.97,10.92,1644441
1738588018,10.97,10.95,1644443
1738588077,10.97,10.95,1646071
1738588139,10.97,10.95,1646089
1738588198,10.97,10.95,1656709
1738588256,10.97,10.93,1657264
1738588319,10.97,10.96,1662832
1738588379,10.97,10.96,1663382
1738588438,10.97,10.96,1663393
1738588494,10.97,10.96,1664413
1738588558,10.97,10.95,1666858
1738588615,10.97,10.95,1666974
1738588679,10.97,10.95,1668906
1738588739,10.97,10.95,1669143
1738588799,10.97,10.94,1669684
1738588859,10.97,10.94,1669877
1738588918,10.97,10.94,1670146
1738588978,10.97,10.91,1672546
1738589039,10.97,10.93,1672717
1738589099,10.97,10.93,1674035
1738589159,10.97,10.94,1675440
1738589219,10.97,10.93,1675869
1738589279,10.97,10.93,1676473
1738589338,10.97,10.92,1677047
1738589397,10.97,10.91,1685659
1738589459,10.97,10.91,1694482
1738589519,10.97,10.90,1695161
1738589577,10.97,10.91,1696867
1738589635,10.97,10.93,1697989
1738589699,10.97,10.90,1700688
1738589759,10.97,10.93,1748907
1738589818,10.97,10.94,1750505
1738589879,10.97,10.95,1751849
1738589936,10.97,10.95,1752000
1738589997,10.97,10.95,1752366
1738590059,10.97,10.94,1762379
1738590117,10.97,10.94,1763898
1738590179,10.97,10.94,1764686
1738590233,10.97,10.94,1764896
1738590294,10.97,10.95,1767877
1738590355,10.97,10.95,1768684
1738590419,10.97,10.94,1778830
1738590479,10.97,10.94,1779320
1738590537,10.97,10.95,1779803
1738590599,10.97,10.95,1780814
1738590656,10.97,10.95,1780816
1738590719,10.97,10.92,1782789
1738590779,10.97,10.93,1782793
1738590837,10.97,10.95,1784624
1738590897,10.97,10.95,1786433
1738590957,10.97,10.94,1786527
1738591015,10.97,10.93,1788288
1738591078,10.97,10.94,1788670
1738591138,10.97,10.94,1788730
1738591199,10.97,10.94,1789173
1738591259,10.97,10.93,1789289
1738591317,10.97,10.93,1790466
1738591377,10.97,10.94,1791950
1738591438,10.97,10.93,1795860
1738591494,10.97,10.92,1796386
1738591559,10.97,10.92,1798853
1738591619,10.97,10.94,1798875
1738591674,10.97,10.94,1799681
1738591739,10.97,10.94,1800476
1738591799,10.97,10.94,1801436
1738591852,10.97,10.94,1806254
1738591918,10.97,10.92,1809059
1738591979,10.97,10.93,1809110
